miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	146811	21105.724858	N
hsa-let-7a-2	144223	20733.670885	Y
hsa-let-7a-3	145081	20857.017990	N
hsa-let-7b	56001	8050.770704	N
hsa-let-7c	60616	8714.228621	Y
hsa-let-7d	46435	6675.551109	N
hsa-let-7e	15895	2285.084201	N
hsa-let-7f-1	141957	20407.908016	N
hsa-let-7f-2	151774	21819.211671	N
hsa-let-7g	110736	15919.539734	N
hsa-let-7i	59366	8534.527126	N
hsa-mir-1-1	380	54.629254	N
hsa-mir-1-2	415	59.660896	N
hsa-mir-100	50169	7212.355412	Y
hsa-mir-101-1	16676	2397.361695	N
hsa-mir-101-2	17775	2555.355248	N
hsa-mir-103a-1	83049	11939.223517	Y
hsa-mir-103a-2	86949	12499.892179	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	26	3.737791	N
hsa-mir-105-2	21	3.018985	N
hsa-mir-106a	1094	157.274748	Y
hsa-mir-106b	23577	3389.457704	N
hsa-mir-107	12184	1751.586405	Y
hsa-mir-10a	36500	5247.283632	N
hsa-mir-10b	243613	35022.096096	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	1.006328	N
hsa-mir-1180	1886	271.133615	N
hsa-mir-1181	2	0.287522	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	46	6.613015	N
hsa-mir-1185-2	66	9.488239	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	43	6.181731	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	3	0.431284	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	23	3.306507	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	33	4.744119	N
hsa-mir-1229	12	1.725134	N
hsa-mir-1231	2	0.287522	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.575045	N
hsa-mir-1236	1	0.143761	N
hsa-mir-1237	2	0.287522	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	7	1.006328	N
hsa-mir-124-2	6	0.862567	N
hsa-mir-124-3	4	0.575045	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	1.293851	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	683	98.188896	N
hsa-mir-1248	146	20.989135	N
hsa-mir-1249	87	12.507224	N
hsa-mir-1250	68	9.775761	N
hsa-mir-1251	5	0.718806	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	26	3.737791	N
hsa-mir-1254-2	35	5.031642	N
hsa-mir-1255a	20	2.875224	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.143761	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	99443	14296.044554	N
hsa-mir-125b-1	146212	21019.611902	N
hsa-mir-125b-2	145554	20925.017036	N
hsa-mir-126	27270	3920.367799	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	103	14.807403	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	13	1.868896	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	176	25.301970	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1508	216.791883	N
hsa-mir-1269b	3	0.431284	N
hsa-mir-127	9668	1389.883237	N
hsa-mir-1270	48	6.900537	N
hsa-mir-1271	529	76.049672	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	26	3.737791	N
hsa-mir-1277	3	0.431284	N
hsa-mir-1278	17	2.443940	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	7232	1039.680965	N
hsa-mir-128-2	4532	651.525738	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.143761	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	27	3.881552	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	89	12.794746	N
hsa-mir-1288	1	0.143761	N
hsa-mir-1289-1	1	0.143761	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	68	9.775761	N
hsa-mir-129-2	75	10.782090	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	19	2.731463	N
hsa-mir-1292	71	10.207045	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	8	1.150090	N
hsa-mir-1295a	25	3.594030	N
hsa-mir-1295b	1	0.143761	N
hsa-mir-1296	1256	180.564061	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	8874	1275.736848	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1808	259.920241	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	9	1.293851	N
hsa-mir-1304	42	6.037970	N
hsa-mir-1305	2	0.287522	N
hsa-mir-1306	109	15.669970	N
hsa-mir-1307	2560	368.028660	N
hsa-mir-130a	1094	157.274748	N
hsa-mir-130b	2335	335.682391	N
hsa-mir-132	3563	512.221139	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	2	0.287522	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	143	20.557851	Y
hsa-mir-133a-2	124	17.826388	Y
hsa-mir-133b	9	1.293851	Y
hsa-mir-134	551	79.212419	N
hsa-mir-1343	41	5.894209	N
hsa-mir-135a-1	1851	266.101973	N
hsa-mir-135a-2	2281	327.919287	N
hsa-mir-135b	11534	1658.141628	N
hsa-mir-136	608	87.406807	N
hsa-mir-137	9	1.293851	N
hsa-mir-138-1	13	1.868896	N
hsa-mir-138-2	7	1.006328	N
hsa-mir-139	1483	213.197853	N
hsa-mir-140	32362	4652.399806	N
hsa-mir-141	1	0.143761	N
hsa-mir-142	3723	535.222930	N
hsa-mir-143	86868	12488.247522	N
hsa-mir-144	7441	1069.727055	N
hsa-mir-145	16234	2333.819246	N
hsa-mir-1468	45	6.469254	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	2254	324.037734	N
hsa-mir-146b	76073	10936.345418	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	7	1.006328	N
hsa-mir-148a	20242	2910.014117	N
hsa-mir-148b	2772	398.506034	N
hsa-mir-149	2247	323.031406	N
hsa-mir-150	2562	368.316183	N
hsa-mir-151a	23591	3391.470361	N
hsa-mir-151b	64	9.200717	N
hsa-mir-152	6554	942.210875	N
hsa-mir-153-1	4	0.575045	N
hsa-mir-153-2	1	0.143761	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	2	0.287522	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	585	84.100299	N
hsa-mir-155	3598	517.252781	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1548	222.542330	N
hsa-mir-15b	24917	3582.097706	N
hsa-mir-16-1	42239	6072.329133	N
hsa-mir-16-2	47335	6804.936184	N
hsa-mir-17	9994	1436.749387	Y
hsa-mir-181a-1	51580	7415.202459	N
hsa-mir-181a-2	54537	7840.304314	N
hsa-mir-181b-1	15025	2160.011961	N
hsa-mir-181b-2	19185	2758.058534	N
hsa-mir-181c	660	94.882389	N
hsa-mir-181d	532	76.480956	N
hsa-mir-182	69177	9944.968214	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	23778	3418.353704	N
hsa-mir-184	7	1.006328	N
hsa-mir-185	6412	921.796785	N
hsa-mir-186	6884	989.652069	N
hsa-mir-187	11	1.581373	N
hsa-mir-188	21	3.018985	N
hsa-mir-18a	831	119.465553	Y
hsa-mir-18b	34	4.887881	Y
hsa-mir-1908	5	0.718806	N
hsa-mir-1909	2	0.287522	N
hsa-mir-190a	143	20.557851	N
hsa-mir-190b	15	2.156418	N
hsa-mir-191	50669	7284.236010	N
hsa-mir-1910	10	1.437612	N
hsa-mir-1911	351	50.460180	N
hsa-mir-1912	609	87.550568	N
hsa-mir-1913	3	0.431284	N
hsa-mir-1914	5	0.718806	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	2196	315.699585	Y
hsa-mir-193a	2065	296.866869	N
hsa-mir-193b	2168	311.674272	N
hsa-mir-194-1	625	89.850747	N
hsa-mir-194-2	1927	277.027824	N
hsa-mir-195	4249	610.841319	N
hsa-mir-196a-1	8218	1181.429504	N
hsa-mir-196a-2	12985	1866.739122	N
hsa-mir-196b	8074	1160.727892	N
hsa-mir-197	3241	465.930034	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	24	3.450269	N
hsa-mir-198	3	0.431284	N
hsa-mir-199a-1	108321	15572.356447	Y
hsa-mir-199a-2	191225	27490.734591	Y
hsa-mir-199b	267170	38408.678576	Y
hsa-mir-19a	1337	192.208718	N
hsa-mir-19b-1	4911	706.011231	N
hsa-mir-19b-2	5272	757.909022	N
hsa-mir-200a	47	6.756776	N
hsa-mir-200b	198	28.464717	N
hsa-mir-200c	456	65.555105	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	90	12.938508	N
hsa-mir-203b	1	0.143761	N
hsa-mir-204	13515	1942.932556	N
hsa-mir-205	22	3.162746	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	259	37.234150	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	23898	3435.605048	N
hsa-mir-20b	873	125.503524	N
hsa-mir-21	597305	85869.280820	N
hsa-mir-210	306	43.990926	N
hsa-mir-211	11	1.581373	N
hsa-mir-2110	195	28.033433	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	4	0.575045	N
hsa-mir-2116	10	1.437612	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	500	71.880598	N
hsa-mir-214	24716	3553.201706	N
hsa-mir-215	6	0.862567	Y
hsa-mir-216a	6	0.862567	N
hsa-mir-216b	25	3.594030	N
hsa-mir-217	30	4.312836	N
hsa-mir-218-1	2971	427.114512	N
hsa-mir-218-2	2386	343.014212	N
hsa-mir-219a-1	15	2.156418	N
hsa-mir-219a-2	4	0.575045	N
hsa-mir-219b	1	0.143761	N
hsa-mir-22	4877	701.123350	N
hsa-mir-221	15276	2196.096021	N
hsa-mir-222	8365	1202.562400	N
hsa-mir-223	19796	2845.896624	N
hsa-mir-224	6224	894.769680	N
hsa-mir-2276	6	0.862567	N
hsa-mir-2277	35	5.031642	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	132	18.976478	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	103902	14937.075725	Y
hsa-mir-23b	118129	16982.366252	Y
hsa-mir-23c	4	0.575045	N
hsa-mir-24-1	15775	2267.832857	N
hsa-mir-24-2	16128	2318.580559	N
hsa-mir-2467	1	0.143761	N
hsa-mir-25	42452	6102.950267	N
hsa-mir-2681	5	0.718806	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	230753	33173.327123	N
hsa-mir-26a-2	234188	33667.146829	N
hsa-mir-26b	82956	11925.853726	N
hsa-mir-27a	7243	1041.262338	Y
