miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	256413	24323.681318	N
hsa-let-7a-2	249458	23663.920684	N
hsa-let-7a-3	250547	23767.224685	N
hsa-let-7b	111785	10604.075129	N
hsa-let-7c	50224	4764.316047	N
hsa-let-7d	41526	3939.212093	N
hsa-let-7e	36234	3437.205871	N
hsa-let-7f-1	209368	19860.929478	N
hsa-let-7f-2	222783	21133.494383	N
hsa-let-7g	276016	26183.248208	N
hsa-let-7i	111610	10587.474395	N
hsa-mir-1-1	3836	363.888108	N
hsa-mir-1-2	3910	370.907848	N
hsa-mir-100	44580	4228.918632	Y
hsa-mir-101-1	14883	1411.821355	N
hsa-mir-101-2	15702	1489.512794	N
hsa-mir-103a-1	95038	9015.432233	Y
hsa-mir-103a-2	98377	9332.174254	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.094861	N
hsa-mir-106a	250	23.715336	Y
hsa-mir-106b	13728	1302.256505	N
hsa-mir-107	8940	848.060399	Y
hsa-mir-10a	204048	19356.267138	N
hsa-mir-10b	199417	18916.964263	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	22	2.086950	N
hsa-mir-1180	1583	150.165505	N
hsa-mir-1181	1	0.094861	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	22	2.086950	N
hsa-mir-1185-2	23	2.181811	N
hsa-mir-1193	2	0.189723	N
hsa-mir-1197	4	0.379445	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5	0.474307	N
hsa-mir-1224	3	0.284584	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	14	1.328059	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	20	1.897227	N
hsa-mir-1229	4	0.379445	N
hsa-mir-1231	5	0.474307	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.189723	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	3	0.284584	N
hsa-mir-124-2	5	0.474307	N
hsa-mir-124-3	1	0.094861	N
hsa-mir-1243	3	0.284584	N
hsa-mir-1244-1	1	0.094861	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.189723	N
hsa-mir-1245b	4	0.379445	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	27	2.561256	N
hsa-mir-1248	20	1.897227	N
hsa-mir-1249	190	18.023655	N
hsa-mir-1250	5	0.474307	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	26	2.466395	N
hsa-mir-1254-2	19	1.802366	N
hsa-mir-1255a	27	2.561256	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.094861	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	157514	14941.989443	N
hsa-mir-125b-1	88404	8386.122089	N
hsa-mir-125b-2	89153	8457.173234	N
hsa-mir-126	37541	3561.189645	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	23	2.181811	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	18	1.707504	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	11	1.043475	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	27	2.561256	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1951	185.074478	N
hsa-mir-1270	110	10.434748	N
hsa-mir-1271	737	69.912809	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	6	0.569168	N
hsa-mir-1275	5	0.474307	N
hsa-mir-1276	5	0.474307	N
hsa-mir-1277	3	0.284584	N
hsa-mir-1278	18	1.707504	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5178	491.192030	N
hsa-mir-128-2	3507	332.678727	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	10	0.948613	N
hsa-mir-1285-1	3	0.284584	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	52	4.932790	N
hsa-mir-1288	2	0.189723	N
hsa-mir-1289-1	3	0.284584	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	17	1.612643	N
hsa-mir-129-2	8	0.758891	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	26	2.466395	N
hsa-mir-1292	85	8.063214	N
hsa-mir-1293	3	0.284584	N
hsa-mir-1294	6	0.569168	N
hsa-mir-1295a	22	2.086950	N
hsa-mir-1295b	4	0.379445	N
hsa-mir-1296	251	23.810197	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1369	129.865177	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	3	0.284584	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	4	0.379445	N
hsa-mir-1304	23	2.181811	N
hsa-mir-1305	9	0.853752	N
hsa-mir-1306	115	10.909054	N
hsa-mir-1307	1974	187.256289	N
hsa-mir-130a	1003	95.145926	N
hsa-mir-130b	1240	117.628064	N
hsa-mir-132	4511	427.919514	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	2	0.189723	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	408	38.703428	Y
hsa-mir-133a-2	404	38.323982	Y
hsa-mir-133b	3	0.284584	Y
hsa-mir-134	225	21.343802	N
hsa-mir-1343	5	0.474307	N
hsa-mir-135a-1	580	55.019578	N
hsa-mir-135a-2	812	77.027410	N
hsa-mir-135b	4667	442.717884	N
hsa-mir-136	299	28.363541	N
hsa-mir-137	52	4.932790	N
hsa-mir-138-1	204	19.351714	N
hsa-mir-138-2	78	7.399185	N
hsa-mir-139	2284	216.663305	N
hsa-mir-140	45650	4330.420268	N
hsa-mir-141	190	18.023655	N
hsa-mir-142	6191	587.286569	N
hsa-mir-143	345035	32730.483180	N
hsa-mir-144	732	69.438502	N
hsa-mir-145	53923	5115.208151	N
hsa-mir-1468	66	6.260849	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	8777	832.598000	N
hsa-mir-146b	124353	11796.292477	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	7	0.664029	N
hsa-mir-148a	9373	889.135360	N
hsa-mir-148b	2088	198.070482	N
hsa-mir-149	1451	137.643807	N
hsa-mir-150	20828	1975.772034	N
hsa-mir-151a	26069	2472.940328	N
hsa-mir-151b	127	12.047390	N
hsa-mir-152	1431	135.746581	N
hsa-mir-153-1	0	0.000000	N
