miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	146717	15215.828685	N
hsa-let-7a-2	142803	14809.912850	N
hsa-let-7a-3	142513	14779.837329	N
hsa-let-7b	53496	5548.000377	N
hsa-let-7c	6808	706.048799	N
hsa-let-7d	41268	4279.850448	N
hsa-let-7e	15559	1613.603594	N
hsa-let-7f-1	187571	19452.743733	N
hsa-let-7f-2	198488	20584.931562	N
hsa-let-7g	231327	23990.621415	N
hsa-let-7i	118387	12277.761340	N
hsa-mir-1-1	346	35.883209	N
hsa-mir-1-2	369	38.268509	N
hsa-mir-100	11449	1187.360855	Y
hsa-mir-101-1	17581	1823.302576	N
hsa-mir-101-2	18683	1937.589559	N
hsa-mir-103a-1	100127	10384.040559	Y
hsa-mir-103a-2	104098	10795.867789	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	662	68.655156	Y
hsa-mir-106b	18815	1951.279107	N
hsa-mir-107	11799	1223.658899	Y
hsa-mir-10a	25628	2657.846450	N
hsa-mir-10b	122346	12688.344066	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	1009	104.642074	N
hsa-mir-1181	1	0.103709	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.207417	N
hsa-mir-1185-2	4	0.414835	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	0.518543	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	645	66.892109	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	38	3.940930	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	86	8.918948	N
hsa-mir-1229	9	0.933378	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	6	0.622252	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
