miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	148882	9743.726677	N
hsa-let-7a-2	145417	9516.956396	Y
hsa-let-7a-3	148280	9704.328204	N
hsa-let-7b	39199	2565.416518	N
hsa-let-7c	36277	2374.183398	Y
hsa-let-7d	58184	3807.908229	N
hsa-let-7e	157724	10322.399930	N
hsa-let-7f-1	85329	5584.439043	N
hsa-let-7f-2	89319	5845.568457	N
hsa-let-7g	163023	10669.198117	N
hsa-let-7i	86552	5664.479462	N
hsa-mir-1-1	1326	86.781354	N
hsa-mir-1-2	1326	86.781354	N
hsa-mir-100	49154	3216.931134	Y
hsa-mir-101-1	31279	2047.084448	N
hsa-mir-101-2	32245	2110.305253	N
hsa-mir-103a-1	361157	23636.269632	Y
hsa-mir-103a-2	369435	24178.031359	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.130892	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	4261	278.865272	Y
hsa-mir-106b	98888	6471.820929	N
hsa-mir-107	35123	2298.658750	Y
hsa-mir-10a	1539740	100769.775481	N
hsa-mir-10b	1081288	70765.940347	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	41	2.683285	N
hsa-mir-1180	7856	514.143528	N
hsa-mir-1181	11	0.719906	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	192	12.565626	N
hsa-mir-1185-2	53	3.468636	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	84	5.497461	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	14	0.916244	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	495	32.395754	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	579	37.893216	N
hsa-mir-1229	81	5.301123	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	21	1.374365	N
hsa-mir-1236	2	0.130892	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	41	2.683285	N
hsa-mir-124-2	32	2.094271	N
hsa-mir-124-3	35	2.290609	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	0.589014	N
hsa-mir-1245b	11	0.719906	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1600	104.713550	N
hsa-mir-1248	14	0.916244	N
hsa-mir-1249	263	17.212290	N
hsa-mir-1250	469	30.694159	N
hsa-mir-1251	4	0.261784	N
hsa-mir-1252	32	2.094271	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	160	10.471355	N
hsa-mir-1254-2	195	12.761964	N
hsa-mir-1255a	11	0.719906	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.065446	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	341028	22318.907733	N
hsa-mir-125b-1	67927	4445.548300	N
hsa-mir-125b-2	68177	4461.909792	N
hsa-mir-126	49278	3225.046434	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	288	18.848439	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	38	2.486947	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	33	2.159717	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	16078	1052.240281	N
hsa-mir-1269b	2	0.130892	N
hsa-mir-127	15047	984.765487	N
hsa-mir-1270	716	46.859313	N
hsa-mir-1271	1691	110.669133	N
hsa-mir-1272	4	0.261784	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.130892	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	17	1.112581	N
hsa-mir-1276	209	13.678207	N
hsa-mir-1277	7	0.458122	N
hsa-mir-1278	13	0.850798	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	16883	1104.924286	N
hsa-mir-128-2	12653	828.087839	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	88	5.759245	N
hsa-mir-1285-1	10	0.654460	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	5	0.327230	N
hsa-mir-1287	443	28.992564	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	12	0.785352	N
hsa-mir-1289-2	9	0.589014	N
hsa-mir-129-1	19	1.243473	N
hsa-mir-129-2	22	1.439811	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	43	2.814177	N
hsa-mir-1292	366	23.953224	N
hsa-mir-1293	0	0.000000	N
