miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	219332	22357.001557	N
hsa-let-7a-2	211491	21557.750881	Y
hsa-let-7a-3	211698	21578.850855	N
hsa-let-7b	60718	6189.121608	N
hsa-let-7c	33660	3431.039121	Y
hsa-let-7d	39416	4017.761081	N
hsa-let-7e	22814	2325.482071	N
hsa-let-7f-1	208620	21265.103427	N
hsa-let-7f-2	222576	22687.669736	N
hsa-let-7g	189128	19278.240250	N
hsa-let-7i	65704	6697.355745	N
hsa-mir-1-1	1244	126.803704	N
hsa-mir-1-2	1313	133.837028	N
hsa-mir-100	30165	3074.785950	Y
hsa-mir-101-1	37059	3777.506797	N
hsa-mir-101-2	39635	4040.084241	N
hsa-mir-103a-1	66064	6734.051351	Y
hsa-mir-103a-2	68731	7005.904629	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	327	33.331842	Y
hsa-mir-106b	18088	1843.750315	N
hsa-mir-107	8807	897.717217	Y
hsa-mir-10a	119168	12147.060901	N
hsa-mir-10b	349527	35628.069243	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	14	1.427051	N
hsa-mir-1180	628	64.013445	N
hsa-mir-1181	3	0.305797	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.407729	N
hsa-mir-1185-2	4	0.407729	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	2	0.203864	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	6934	706.798136	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	32	3.261832	N
hsa-mir-1227	2	0.203864	N
hsa-mir-1228	64	6.523663	N
hsa-mir-1229	12	1.223187	N
hsa-mir-1231	3	0.305797	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	15	1.528984	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	38	3.873425	N
hsa-mir-124-2	29	2.956035	N
hsa-mir-124-3	39	3.975357	N
hsa-mir-1243	1	0.101932	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.203864	N
hsa-mir-1245b	2	0.203864	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	38	3.873425	N
hsa-mir-1248	15	1.528984	N
hsa-mir-1249	237	24.157940	N
hsa-mir-1250	43	4.383086	N
hsa-mir-1251	6	0.611593	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.509661	N
hsa-mir-1254-2	4	0.407729	N
hsa-mir-1255a	28	2.854103	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.305797	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	236338	24090.461191	N
hsa-mir-125b-1	63080	6429.885554	N
hsa-mir-125b-2	64380	6562.397463	N
hsa-mir-126	208272	21229.631008	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	8	0.815458	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	8	0.815458	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	1	0.101932	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	442	45.054049	N
hsa-mir-1269b	1365	139.137504	N
hsa-mir-127	523	53.310560	N
hsa-mir-1270	291	29.662281	N
hsa-mir-1271	4765	485.707113	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	4	0.407729	N
hsa-mir-1275	2	0.203864	N
hsa-mir-1276	1	0.101932	N
hsa-mir-1277	8	0.815458	N
hsa-mir-1278	14	1.427051	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3873	394.783557	N
hsa-mir-128-2	2634	268.489514	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	18	1.834780	N
hsa-mir-1285-1	2	0.203864	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	61	6.217866	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	10	1.019322	N
hsa-mir-129-2	30	3.057967	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	42	4.281154	N
hsa-mir-1292	40	4.077290	N
hsa-mir-1293	18	1.834780	N
hsa-mir-1294	3	0.305797	N
hsa-mir-1295a	33	3.363764	N
hsa-mir-1295b	4	0.407729	N
hsa-mir-1296	406	41.384489	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	7	0.713526	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1092	111.310004	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	10	1.019322	N
hsa-mir-1304	27	2.752170	N
hsa-mir-1305	5	0.509661	N
hsa-mir-1306	125	12.741530	N
hsa-mir-1307	1504	153.306085	N
hsa-mir-130a	718	73.187347	N
hsa-mir-130b	761	77.570433	N
hsa-mir-132	1118	113.960242	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.101932	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	207	21.099973	N
hsa-mir-133a-2	197	20.080651	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	41	4.179222	N
hsa-mir-1343	22	2.242509	N
hsa-mir-135a-1	1254	127.823026	N
hsa-mir-135a-2	1652	168.392057	N
hsa-mir-135b	752	76.653043	N
hsa-mir-136	142	14.474378	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	72	7.339121	N
hsa-mir-138-2	33	3.363764	N
hsa-mir-139	4694	478.469924	N
hsa-mir-140	59509	6065.885533	N
hsa-mir-141	10	1.019322	N
hsa-mir-142	5565	567.252903	N
hsa-mir-143	446230	45485.222425	N
hsa-mir-144	3984	406.098035	N
hsa-mir-145	46854	4775.933065	N
hsa-mir-1468	120	12.231869	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	4982	507.826408	N
hsa-mir-146b	60105	6126.637146	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	31	3.159899	N
hsa-mir-148a	16261	1657.520117	N
hsa-mir-148b	5033	513.024952	N
hsa-mir-149	483	49.233271	N
hsa-mir-150	8121	827.791702	N
hsa-mir-151a	25519	2601.208774	N
hsa-mir-151b	268	27.317840	N
hsa-mir-152	3201	326.285093	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	7	0.713526	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	72	7.339121	N
hsa-mir-155	14632	1491.472502	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2169	221.091024	N
hsa-mir-15b	13868	1413.596272	N
hsa-mir-16-1	35054	3573.132660	N
hsa-mir-16-2	37303	3802.378263	N
hsa-mir-17	2171	221.294888	Y
hsa-mir-181a-1	34951	3562.633640	N
hsa-mir-181a-2	35684	3637.349970	N
hsa-mir-181b-1	7990	814.438579	N
hsa-mir-181b-2	9236	941.446147	N
hsa-mir-181c	732	74.614398	N
hsa-mir-181d	283	28.846823	N
hsa-mir-182	9156	933.291568	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	6913	704.657559	N
hsa-mir-184	0	0.000000	N
hsa-mir-185	3998	407.525086	N
hsa-mir-186	14129	1440.200586	N
hsa-mir-187	2	0.203864	N
hsa-mir-188	23	2.344441	N
hsa-mir-18a	242	24.667602	Y
hsa-mir-18b	2	0.203864	Y
hsa-mir-1908	16	1.630916	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	1558	158.810426	N
hsa-mir-190b	70	7.135257	N
hsa-mir-191	56370	5745.920239	N
hsa-mir-1910	12	1.223187	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	3	0.305797	N
hsa-mir-1914	2	0.203864	N
hsa-mir-1915	1	0.101932	N
hsa-mir-192	48265	4919.759452	Y
hsa-mir-193a	2584	263.392902	N
hsa-mir-193b	609	62.076733	N
hsa-mir-194-1	10326	1052.552286	N
hsa-mir-194-2	32501	3312.899657	N
hsa-mir-195	13675	1393.923350	N
hsa-mir-196a-1	4181	426.178686	N
hsa-mir-196a-2	7865	801.697049	N
hsa-mir-196b	7441	758.477781	N
hsa-mir-197	3290	335.357062	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	30	3.057967	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	12516	1275.783887	Y
hsa-mir-199a-2	22482	2291.640568	Y
hsa-mir-199b	29922	3050.016416	Y
hsa-mir-19a	391	39.855505	N
hsa-mir-19b-1	1595	162.581919	N
hsa-mir-19b-2	1625	165.639886	N
hsa-mir-200a	11668	1189.345349	N
hsa-mir-200b	29003	2956.340690	N
hsa-mir-200c	307	31.293197	N
hsa-mir-202	67	6.829460	N
hsa-mir-203a	61	6.217866	N
hsa-mir-203b	0	0.000000	N
hsa-mir-204	17671	1801.244572	N
hsa-mir-205	110	11.212546	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	7257	739.722249	N
hsa-mir-20b	132	13.455055	N
hsa-mir-21	2387450	243358.120875	N
hsa-mir-210	2252	229.551399	N
hsa-mir-211	20	2.038645	N
hsa-mir-2110	208	21.201905	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	1	0.101932	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	102	10.397088	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	176	17.940074	N
hsa-mir-214	1848	188.370775	N
hsa-mir-215	101	10.295156	Y
hsa-mir-216a	20	2.038645	N
hsa-mir-216b	5	0.509661	N
hsa-mir-217	55	5.606273	N
hsa-mir-218-1	668	68.090735	N
hsa-mir-218-2	534	54.431815	N
hsa-mir-219a-1	2	0.203864	N
hsa-mir-219a-2	22	2.242509	N
hsa-mir-219b	2	0.203864	N
hsa-mir-22	11888	1211.770442	N
hsa-mir-221	23109	2355.552081	N
hsa-mir-222	10635	1084.049348	N
hsa-mir-223	6851	698.337760	N
hsa-mir-224	8783	895.270844	N
hsa-mir-2276	7	0.713526	N
hsa-mir-2277	55	5.606273	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	686	69.925515	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	210714	21478.549533	Y
hsa-mir-23b	68078	6939.342878	Y
hsa-mir-23c	1	0.101932	N
hsa-mir-24-1	24932	2541.374550	N
hsa-mir-24-2	25877	2637.700515	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	15346	1564.252120	N
hsa-mir-2681	16	1.630916	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	301193	30701.276467	N
hsa-mir-26a-2	311556	31757.600246	N
hsa-mir-26b	226341	23071.444611	N
hsa-mir-27a	44351	4520.796674	Y
hsa-mir-27b	153299	15626.110106	Y
hsa-mir-28	12629	1287.302230	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	202	20.590312	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	33	3.363764	N
hsa-mir-29a	95211	9705.070283	N
hsa-mir-29b-1	1520	154.937001	Y
hsa-mir-29b-2	1663	169.513311	Y
hsa-mir-29c	4657	474.698431	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	61	6.217866	N
hsa-mir-301b	3	0.305797	N
hsa-mir-302a	1	0.101932	N
hsa-mir-302b	1	0.101932	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	37	3.771493	N
hsa-mir-3065	76	7.746850	N
hsa-mir-3074	23	2.344441	N
hsa-mir-30a	521162	53123.208859	Y
hsa-mir-30b	24977	2545.961501	Y
hsa-mir-30c-1	64120	6535.895081	Y
hsa-mir-30c-2	66681	6796.943541	Y
hsa-mir-30d	231421	23589.260379	N
hsa-mir-30e	30767	3136.149157	Y
hsa-mir-31	176	17.940074	N
hsa-mir-3115	2	0.203864	N
hsa-mir-3116-1	6	0.611593	N
hsa-mir-3116-2	3	0.305797	N
hsa-mir-3117	10	1.019322	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
