miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	63783	11784.575238	N
hsa-let-7a-2	62207	11493.392782	Y
hsa-let-7a-3	62942	11629.191706	N
hsa-let-7b	20134	3719.966728	N
hsa-let-7c	4618	853.223719	Y
hsa-let-7d	11129	2056.198953	N
hsa-let-7e	13305	2458.237674	N
hsa-let-7f-1	52395	9680.523330	N
hsa-let-7f-2	55251	10208.199151	N
hsa-let-7g	76412	14117.914853	N
hsa-let-7i	23695	4377.898660	N
hsa-mir-1-1	1047	193.444182	N
hsa-mir-1-2	1173	216.723998	N
hsa-mir-100	17682	3266.934126	N
hsa-mir-101-1	19728	3644.953989	N
hsa-mir-101-2	20738	3831.562035	N
hsa-mir-103a-1	79281	14647.992559	Y
hsa-mir-103a-2	82360	15216.869959	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	790	145.960749	Y
hsa-mir-106b	28002	5173.661882	N
hsa-mir-107	8029	1483.441584	Y
hsa-mir-10a	704469	130158.003434	N
hsa-mir-10b	597706	110432.424423	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	10	1.847604	N
hsa-mir-1180	1396	257.925576	N
hsa-mir-1181	1	0.184760	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	1.478084	N
hsa-mir-1185-2	4	0.739042	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	9	1.662844	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	11	2.032365	N
hsa-mir-1224	2	0.369521	N
hsa-mir-1225	2	0.369521	N
hsa-mir-1226	93	17.182721	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	23	4.249490	N
hsa-mir-1229	14	2.586646	N
hsa-mir-1231	1	0.184760	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.369521	N
hsa-mir-1236	3	0.554281	N
