miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	203283	19550.185040	N
hsa-let-7a-2	197792	19022.103174	Y
hsa-let-7a-3	198338	19074.613226	N
hsa-let-7b	58055	5583.280415	N
hsa-let-7c	15455	1486.342241	Y
hsa-let-7d	35836	3446.429023	N
hsa-let-7e	13821	1329.196772	N
hsa-let-7f-1	229529	22074.322113	N
hsa-let-7f-2	251976	24233.100779	N
hsa-let-7g	219936	21151.741646	N
hsa-let-7i	72341	6957.197287	N
hsa-mir-1-1	820	78.861251	N
hsa-mir-1-2	852	81.938763	N
hsa-mir-100	29185	2806.787338	Y
hsa-mir-101-1	121103	11646.748911	N
hsa-mir-101-2	132017	12696.372931	N
hsa-mir-103a-1	63768	6132.712522	Y
hsa-mir-103a-2	66320	6378.144124	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.288517	N
hsa-mir-105-2	4	0.384689	N
hsa-mir-106a	472	45.393306	Y
hsa-mir-106b	13465	1294.959448	N
hsa-mir-107	6212	597.422064	Y
hsa-mir-10a	111180	10692.431599	N
hsa-mir-10b	305551	29385.529480	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.384689	N
hsa-mir-1180	480	46.162684	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.096172	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2323	223.408154	N
hsa-mir-1224	8	0.769378	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	31	2.981340	N
hsa-mir-1227	2	0.192345	N
hsa-mir-1228	3	0.288517	N
hsa-mir-1229	9	0.865550	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.192345	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.096172	N
hsa-mir-124-1	3	0.288517	N
hsa-mir-124-2	1	0.096172	N
hsa-mir-124-3	4	0.384689	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	1	0.096172	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	5	0.480861	N
hsa-mir-1248	28	2.692823	N
hsa-mir-1249	142	13.656461	N
hsa-mir-1250	30	2.885168	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.096172	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	2	0.192345	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	206409	19850.819517	N
hsa-mir-125b-1	65301	6280.144593	N
hsa-mir-125b-2	65239	6274.181913	N
hsa-mir-126	138259	13296.680163	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	10	0.961723	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	23	2.211962	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.288517	N
