miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	228578	22587.352592	N
hsa-let-7a-2	224067	22141.589888	Y
hsa-let-7a-3	224781	22212.145102	N
hsa-let-7b	72969	7210.565021	N
hsa-let-7c	31771	3139.509398	Y
hsa-let-7d	34028	3362.538976	N
hsa-let-7e	19855	1962.008092	N
hsa-let-7f-1	193696	19140.424047	N
hsa-let-7f-2	205200	20277.212820	N
hsa-let-7g	207002	20455.280742	N
hsa-let-7i	70132	6930.221684	N
hsa-mir-1-1	1966	194.273881	N
hsa-mir-1-2	2024	200.005257	N
hsa-mir-100	84016	8302.194504	Y
hsa-mir-101-1	30823	3045.831047	N
hsa-mir-101-2	33515	3311.845944	N
hsa-mir-103a-1	63052	6230.598551	Y
hsa-mir-103a-2	66892	6610.055165	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	382	37.748028	Y
hsa-mir-106b	20566	2032.266856	N
hsa-mir-107	9420	930.854507	Y
hsa-mir-10a	159031	15714.938752	N
hsa-mir-10b	302520	29894.066386	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	10	0.988168	N
hsa-mir-1180	287	28.360429	N
hsa-mir-1181	1	0.098817	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	10	0.988168	N
hsa-mir-1185-2	4	0.395267	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	794	78.460560	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	17	1.679886	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	14	1.383436	N
hsa-mir-1229	11	1.086985	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.197634	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	3	0.296450	N
hsa-mir-124-2	9	0.889351	N
hsa-mir-124-3	10	0.988168	N
hsa-mir-1243	4	0.395267	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	1	0.098817	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	15	1.482252	N
hsa-mir-1248	10	0.988168	N
hsa-mir-1249	93	9.189965	N
hsa-mir-1250	32	3.162138	N
hsa-mir-1251	1	0.098817	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.494084	N
hsa-mir-1254-2	9	0.889351	N
hsa-mir-1255a	13	1.284619	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	247462	24453.409546	N
hsa-mir-125b-1	82344	8136.972770	N
hsa-mir-125b-2	82558	8158.119571	N
hsa-mir-126	238050	23523.345574	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	13	1.284619	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	25	2.470421	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	1	0.098817	N
hsa-mir-1267	2	0.197634	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.098817	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	679	67.096625	N
hsa-mir-1270	375	37.056310	N
hsa-mir-1271	2791	275.797763	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	3	0.296450	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	4	0.395267	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	4	0.395267	N
hsa-mir-1278	19	1.877520	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3997	394.970856	N
hsa-mir-128-2	2405	237.654468	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	5	0.494084	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	53	5.237292	N
hsa-mir-1288	1	0.098817	N
hsa-mir-1289-1	2	0.197634	N
hsa-mir-1289-2	2	0.197634	N
hsa-mir-129-1	12	1.185802	N
hsa-mir-129-2	13	1.284619	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	60	5.929010	N
hsa-mir-1292	34	3.359772	N
hsa-mir-1293	8	0.790535	N
hsa-mir-1294	23	2.272787	N
hsa-mir-1295a	59	5.830193	N
hsa-mir-1295b	4	0.395267	N
hsa-mir-1296	333	32.906003	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	639	63.143952	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	3	0.296450	N
hsa-mir-1304	23	2.272787	N
hsa-mir-1305	5	0.494084	N
hsa-mir-1306	115	11.363935	N
hsa-mir-1307	830	82.017966	N
hsa-mir-130a	803	79.349912	N
hsa-mir-130b	888	87.749342	N
hsa-mir-132	1455	143.778483	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	2	0.197634	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	302	29.842682	Y
hsa-mir-133a-2	315	31.127300	Y
hsa-mir-133b	2	0.197634	Y
hsa-mir-134	61	6.027826	N
hsa-mir-1343	6	0.592901	N
hsa-mir-135a-1	540	53.361086	N
hsa-mir-135a-2	564	55.732690	N
hsa-mir-135b	409	40.416082	N
hsa-mir-136	137	13.537905	N
hsa-mir-137	4	0.395267	N
hsa-mir-138-1	14	1.383436	N
hsa-mir-138-2	11	1.086985	N
hsa-mir-139	8637	853.480931	N
hsa-mir-140	86272	8525.125265	N
hsa-mir-141	24	2.371604	N
hsa-mir-142	4249	419.872696	N
hsa-mir-143	630336	62287.803217	N
hsa-mir-144	8775	867.117653	N
hsa-mir-145	70815	6997.713576	N
hsa-mir-1468	256	25.297108	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	5652	558.512704	N
hsa-mir-146b	31149	3078.045332	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	10	0.988168	N
hsa-mir-148a	18157	1794.217121	N
hsa-mir-148b	4314	426.295790	N
hsa-mir-149	221	21.838519	N
hsa-mir-150	3690	364.634090	N
hsa-mir-151a	32205	3182.395901	N
hsa-mir-151b	275	27.174627	N
hsa-mir-152	2504	247.437334	N
hsa-mir-153-1	8	0.790535	N
hsa-mir-153-2	3	0.296450	N
hsa-mir-1537	6	0.592901	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	50	4.940841	N
hsa-mir-155	13163	1300.725889	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	3371	333.111522	N
hsa-mir-15b	19934	1969.814622	N
hsa-mir-16-1	43262	4275.013553	N
hsa-mir-16-2	46384	4583.519685	N
hsa-mir-17	2748	271.548640	Y
hsa-mir-181a-1	36279	3584.975653	N
hsa-mir-181a-2	37425	3698.219736	N
hsa-mir-181b-1	7678	758.715595	N
hsa-mir-181b-2	9445	933.324927	N
hsa-mir-181c	1448	143.086765	N
hsa-mir-181d	660	65.219106	N
hsa-mir-182	6615	653.673308	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	3250	321.154686	N
hsa-mir-184	4	0.395267	N
hsa-mir-185	4755	469.874011	N
hsa-mir-186	11293	1115.938423	N
hsa-mir-187	17	1.679886	N
hsa-mir-188	21	2.075153	N
hsa-mir-18a	363	35.870508	Y
hsa-mir-18b	6	0.592901	Y
hsa-mir-1908	10	0.988168	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	726	71.741016	N
hsa-mir-190b	34	3.359772	N
hsa-mir-191	60428	5971.303198	N
hsa-mir-1910	5	0.494084	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	9651	953.681194	Y
hsa-mir-193a	3131	309.395484	N
hsa-mir-193b	711	70.258764	N
hsa-mir-194-1	1608	158.897457	N
hsa-mir-194-2	6154	608.118751	N
hsa-mir-195	11088	1095.680973	N
hsa-mir-196a-1	3891	384.496272	N
hsa-mir-196a-2	9057	894.983999	N
hsa-mir-196b	5462	539.737507	N
hsa-mir-197	2945	291.015554	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	34	3.359772	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	12149	1200.525626	Y
hsa-mir-199a-2	21460	2120.609099	Y
hsa-mir-199b	28036	2770.428551	Y
hsa-mir-19a	686	67.788343	N
hsa-mir-19b-1	2127	210.183390	N
hsa-mir-19b-2	2265	223.820112	N
