miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	267382	26409.387283	N
hsa-let-7a-2	259296	25610.731032	Y
hsa-let-7a-3	259992	25679.475127	N
hsa-let-7b	103108	10184.003052	N
hsa-let-7c	42830	4230.329855	Y
hsa-let-7d	33262	3285.296092	N
hsa-let-7e	22139	2186.674589	N
hsa-let-7f-1	200743	19827.436519	N
hsa-let-7f-2	214408	21177.132000	N
hsa-let-7g	211564	20896.229406	N
hsa-let-7i	76091	7515.527177	N
hsa-mir-1-1	3543	349.943000	N
hsa-mir-1-2	3570	352.609796	N
hsa-mir-100	102563	10130.173265	Y
hsa-mir-101-1	15077	1489.159076	N
hsa-mir-101-2	16168	1596.917420	N
hsa-mir-103a-1	81743	8073.776637	Y
hsa-mir-103a-2	84651	8361.000527	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	375	37.038844	Y
hsa-mir-106b	9957	983.455390	N
hsa-mir-107	7371	728.035521	Y
hsa-mir-10a	218837	21614.585442	N
hsa-mir-10b	372326	36774.732515	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.395081	N
hsa-mir-1180	286	28.248292	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.691392	N
hsa-mir-1185-2	5	0.493851	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	378	37.335155	N
hsa-mir-1224	1	0.098770	N
hsa-mir-1225	3	0.296311	N
hsa-mir-1226	23	2.271716	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.197541	N
hsa-mir-1229	2	0.197541	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	9	0.888932	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	11	1.086473	N
hsa-mir-124-2	10	0.987703	N
hsa-mir-124-3	10	0.987703	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	0.493851	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	100	9.877025	N
hsa-mir-1248	11	1.086473	N
hsa-mir-1249	131	12.938903	N
hsa-mir-1250	27	2.666797	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	0.691392	N
hsa-mir-1254-2	3	0.296311	N
hsa-mir-1255a	9	0.888932	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.098770	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	338960	33479.164317	N
hsa-mir-125b-1	97688	9648.668291	N
hsa-mir-125b-2	98150	9694.300147	N
hsa-mir-126	243481	24048.679511	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	18	1.777865	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	12	1.185243	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	1	0.098770	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.197541	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	91	8.988093	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1184	116.943977	N
hsa-mir-1270	98	9.679485	N
hsa-mir-1271	1214	119.907085	N
