miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	241789	14801.483668	N
hsa-let-7a-2	236216	14460.323944	Y
hsa-let-7a-3	237139	14516.826802	N
hsa-let-7b	71929	4403.243815	N
hsa-let-7c	24233	1483.460181	Y
hsa-let-7d	24589	1505.253266	N
hsa-let-7e	17269	1057.148263	N
hsa-let-7f-1	252850	15478.599711	N
hsa-let-7f-2	269033	16469.266822	N
hsa-let-7g	368603	22564.596754	N
hsa-let-7i	82356	5041.548577	N
hsa-mir-1-1	1269	77.683777	N
hsa-mir-1-2	1341	82.091367	N
hsa-mir-100	60678	3714.496631	Y
hsa-mir-101-1	37667	2305.843050	N
hsa-mir-101-2	40033	2450.681361	N
hsa-mir-103a-1	47841	2928.660031	Y
hsa-mir-103a-2	49434	3026.177964	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	279	17.079412	Y
hsa-mir-106b	15944	976.036361	N
hsa-mir-107	4488	274.739788	Y
hsa-mir-10a	508876	31151.623123	N
hsa-mir-10b	387580	23726.302852	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.428516	N
hsa-mir-1180	864	52.891082	N
hsa-mir-1181	9	0.550949	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	14	0.857031	N
hsa-mir-1185-2	4	0.244866	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.183650	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	5	0.306083	N
hsa-mir-1225	1	0.061217	N
hsa-mir-1226	22	1.346764	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	17	1.040681	N
hsa-mir-1229	1	0.061217	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	5	0.306083	N
hsa-mir-124-2	12	0.734598	N
hsa-mir-124-3	6	0.367299	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	0.367299	N
hsa-mir-1245b	4	0.244866	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	56	3.428126	N
hsa-mir-1248	32	1.958929	N
hsa-mir-1249	142	8.692747	N
hsa-mir-1250	2	0.122433	N
hsa-mir-1251	1	0.061217	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	0.428516	N
hsa-mir-1254-2	8	0.489732	N
hsa-mir-1255a	12	0.734598	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.183650	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	305186	18682.428046	N
hsa-mir-125b-1	69364	4246.223415	N
hsa-mir-125b-2	70052	4288.340387	N
hsa-mir-126	24090	1474.706217	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	26	1.591630	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	9	0.550949	N
hsa-mir-1263	1	0.061217	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	12	0.734598	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.122433	N
