miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	173912	20398.923330	N
hsa-let-7a-2	169367	19865.819769	Y
hsa-let-7a-3	168898	19810.808642	N
hsa-let-7b	65946	7735.103949	N
hsa-let-7c	18137	2127.370581	Y
hsa-let-7d	27981	3282.017766	N
hsa-let-7e	9019	1057.879212	N
hsa-let-7f-1	177084	20770.981525	N
hsa-let-7f-2	189035	22172.768249	N
hsa-let-7g	211971	24863.035197	N
hsa-let-7i	101930	11955.829702	N
hsa-mir-1-1	1442	169.138688	N
hsa-mir-1-2	1542	180.868139	N
hsa-mir-100	36253	4252.277977	Y
hsa-mir-101-1	14952	1753.787557	N
hsa-mir-101-2	15521	1820.528135	N
hsa-mir-103a-1	78609	9220.404366	Y
hsa-mir-103a-2	83056	9742.013065	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	404	47.386983	Y
hsa-mir-106b	10122	1187.255060	N
hsa-mir-107	9304	1091.308148	Y
hsa-mir-10a	63086	7399.641642	N
hsa-mir-10b	158561	18598.335262	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.469178	N
hsa-mir-1180	356	41.756847	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.117295	N
hsa-mir-1185-2	1	0.117295	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.469178	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1513	177.466598	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	32	3.753424	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	13	1.524829	N
hsa-mir-1229	18	2.111301	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.117295	N
hsa-mir-124-1	3	0.351884	N
hsa-mir-124-2	4	0.469178	N
hsa-mir-124-3	7	0.821062	N
hsa-mir-1243	2	0.234589	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.469178	N
hsa-mir-1245b	2	0.234589	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	163	19.119006	N
hsa-mir-1248	16	1.876712	N
hsa-mir-1249	159	18.649828	N
hsa-mir-1250	11	1.290240	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	12	1.407534	N
hsa-mir-1254-2	11	1.290240	N
hsa-mir-1255a	23	2.697774	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.234589	N
hsa-mir-1257	4	0.469178	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	99530	11674.322871	N
hsa-mir-125b-1	37828	4437.016835	N
hsa-mir-125b-2	37687	4420.478308	N
hsa-mir-126	58953	6914.863420	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	8	0.938356	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	0.703767	N
