miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	197641	22105.076201	N
hsa-let-7a-2	195412	21855.774614	Y
hsa-let-7a-3	194685	21774.463599	N
hsa-let-7b	111676	12490.356200	N
hsa-let-7c	16071	1797.454372	Y
hsa-let-7d	42706	4776.434972	N
hsa-let-7e	19284	2156.811033	N
hsa-let-7f-1	130462	14591.468629	N
hsa-let-7f-2	136060	15217.574632	N
hsa-let-7g	204870	22913.600727	N
hsa-let-7i	70483	7883.142090	N
hsa-mir-1-1	1667	186.444928	N
hsa-mir-1-2	1796	200.872880	N
hsa-mir-100	84106	9406.800911	Y
hsa-mir-101-1	6627	741.194084	N
hsa-mir-101-2	7146	799.241425	N
hsa-mir-103a-1	98908	11062.324502	Y
hsa-mir-103a-2	104004	11632.284522	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.223689	N
hsa-mir-105-2	3	0.335534	N
hsa-mir-106a	953	106.587892	Y
hsa-mir-106b	17500	1957.280289	N
hsa-mir-107	9662	1080.642408	Y
hsa-mir-10a	131450	14701.971082	N
hsa-mir-10b	399157	44643.550180	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.559223	N
hsa-mir-1180	484	54.132781	N
hsa-mir-1181	3	0.335534	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.559223	N
hsa-mir-1185-2	12	1.342135	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5064	566.380993	N
hsa-mir-1224	16	1.789513	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	47	5.256696	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	23	2.572426	N
hsa-mir-1229	13	1.453980	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	13	1.453980	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	10	1.118446	N
hsa-mir-124-2	8	0.894757	N
hsa-mir-124-3	9	1.006601	N
hsa-mir-1243	0	0.000000	N
