miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	52805	6408.059605	N
hsa-let-7a-2	52653	6389.613907	N
hsa-let-7a-3	52965	6427.476129	N
hsa-let-7b	8972	1088.781569	N
hsa-let-7c	3717	451.070117	N
hsa-let-7d	7051	855.661931	N
hsa-let-7e	13349	1619.944847	N
hsa-let-7f-1	59799	7256.804399	N
hsa-let-7f-2	62029	7527.422199	N
hsa-let-7g	89641	10878.228786	N
hsa-let-7i	36732	4457.548441	N
hsa-mir-1-1	1410	171.108116	N
hsa-mir-1-2	1536	186.398628	N
hsa-mir-100	24918	3023.880868	Y
hsa-mir-101-1	39683	4815.661951	N
hsa-mir-101-2	40832	4955.096862	N
hsa-mir-103a-1	67765	8223.504576	Y
hsa-mir-103a-2	69371	8418.397933	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.242707	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1522	184.699682	Y
hsa-mir-106b	80690	9791.995635	N
hsa-mir-107	6562	796.320180	Y
hsa-mir-10a	870220	105604.045627	N
hsa-mir-10b	521272	63258.063561	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	10	1.213533	N
hsa-mir-1180	697	84.583232	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	95	11.528561	N
hsa-mir-1185-2	28	3.397892	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	14	1.698946	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	5	0.606766	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.364060	N
hsa-mir-1224	7	0.849473	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	52	6.310370	N
hsa-mir-1227	1	0.121353	N
hsa-mir-1228	12	1.456239	N
hsa-mir-1229	7	0.849473	N
hsa-mir-1231	1	0.121353	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.242707	N
hsa-mir-1236	4	0.485413	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	13	1.577593	N
hsa-mir-124-2	17	2.063006	N
hsa-mir-124-3	13	1.577593	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	1	0.121353	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	0.606766	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	9	1.092179	N
hsa-mir-1248	378	45.871537	N
hsa-mir-1249	51	6.189017	N
hsa-mir-1250	11	1.334886	N
hsa-mir-1251	10	1.213533	N
hsa-mir-1252	5	0.606766	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	8	0.970826	N
hsa-mir-1254-2	7	0.849473	N
hsa-mir-1255a	1	0.121353	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	5	0.606766	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	75721	9188.991219	N
hsa-mir-125b-1	14904	1808.649188	N
hsa-mir-125b-2	14598	1771.515086	N
hsa-mir-126	112511	13653.578150	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	29	3.519245	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.364060	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	7	0.849473	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2693	326.804365	N
hsa-mir-1269b	3	0.364060	N
hsa-mir-127	1512	183.486149	N
hsa-mir-1270	64	7.766610	N
hsa-mir-1271	622	75.481736	N
hsa-mir-1272	4	0.485413	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.242707	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	96	11.649914	N
hsa-mir-1277	79	9.586909	N
hsa-mir-1278	52	6.310370	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	6038	732.731065	N
hsa-mir-128-2	4350	527.886740	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.121353	N
hsa-mir-1283-2	2	0.242707	N
hsa-mir-1284	43	5.218191	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	4	0.485413	N
hsa-mir-1287	81	9.829615	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	2	0.242707	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	6	0.728120	N
hsa-mir-129-2	6	0.728120	N
