miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	44777	6677.509274	N
hsa-let-7a-2	43919	6549.557358	N
hsa-let-7a-3	44244	6598.023993	N
hsa-let-7b	3544	528.510013	N
hsa-let-7c	631	94.099836	N
hsa-let-7d	5840	870.908148	N
hsa-let-7e	25960	3871.365673	N
hsa-let-7f-1	22888	3413.244127	N
hsa-let-7f-2	24415	3640.962747	N
hsa-let-7g	38761	5780.354579	N
hsa-let-7i	12720	1896.909529	N
hsa-mir-1-1	328	48.914019	N
hsa-mir-1-2	349	52.045710	N
hsa-mir-100	4640	691.954419	N
hsa-mir-101-1	14439	2153.260746	N
hsa-mir-101-2	15154	2259.887343	N
hsa-mir-103a-1	87435	13039.016089	Y
hsa-mir-103a-2	91164	13595.114802	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.447384	N
hsa-mir-105-2	7	1.043897	N
hsa-mir-106a	2357	351.494950	Y
hsa-mir-106b	49460	7375.876202	N
hsa-mir-107	12077	1801.020156	Y
hsa-mir-10a	1153465	172014.052640	N
hsa-mir-10b	1266190	188824.518570	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	14	2.087794	N
hsa-mir-1180	2418	360.591764	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.894769	N
hsa-mir-1185-2	3	0.447384	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	24	3.579075	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	170	25.351778	N
hsa-mir-1224	1	0.149128	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	211	31.466031	N
hsa-mir-1227	2	0.298256	N
hsa-mir-1228	10	1.491281	N
hsa-mir-1229	21	3.131690	N
hsa-mir-1231	3	0.447384	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.149128	N
hsa-mir-1236	1	0.149128	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	9	1.342153	N
hsa-mir-124-2	9	1.342153	N
hsa-mir-124-3	14	2.087794	N
hsa-mir-1243	1	0.149128	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	9	1.342153	N
hsa-mir-1248	50	7.456405	N
hsa-mir-1249	19	2.833434	N
hsa-mir-1250	157	23.413113	N
hsa-mir-1251	7	1.043897	N
hsa-mir-1252	8	1.193025	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	33	4.921228	N
hsa-mir-1254-2	37	5.517740	N
hsa-mir-1255a	1	0.149128	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
