miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	207199	19377.467787	N
hsa-let-7a-2	204006	19078.855078	Y
hsa-let-7a-3	204605	19134.874186	N
hsa-let-7b	65545	6129.837142	N
hsa-let-7c	4920	460.123560	Y
hsa-let-7d	36263	3391.353792	N
hsa-let-7e	8832	825.977903	N
hsa-let-7f-1	262352	24535.434190	N
hsa-let-7f-2	275632	25777.393718	N
hsa-let-7g	217227	20315.296864	N
hsa-let-7i	65841	6157.519373	N
hsa-mir-1-1	439	41.055740	N
hsa-mir-1-2	453	42.365035	N
hsa-mir-100	192610	18013.089206	Y
hsa-mir-101-1	36775	3439.236569	N
hsa-mir-101-2	39180	3664.154691	N
hsa-mir-103a-1	64910	6070.451276	Y
hsa-mir-103a-2	68443	6400.861142	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	453	42.365035	Y
hsa-mir-106b	14197	1327.718330	N
hsa-mir-107	15236	1424.886699	Y
hsa-mir-10a	346691	32422.905923	N
hsa-mir-10b	432936	40488.628776	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.280563	N
hsa-mir-1180	591	55.270940	N
hsa-mir-1181	2	0.187042	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.561126	N
hsa-mir-1185-2	3	0.280563	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.280563	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1884	176.193656	N
hsa-mir-1224	1	0.093521	N
hsa-mir-1225	2	0.187042	N
hsa-mir-1226	53	4.956616	N
hsa-mir-1227	5	0.467605	N
hsa-mir-1228	39	3.647321	N
hsa-mir-1229	29	2.712110	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	9	0.841689	N
hsa-mir-1236	1	0.093521	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	166	15.524494	N
hsa-mir-124-2	176	16.459705	N
hsa-mir-124-3	151	14.121678	N
hsa-mir-1243	2	0.187042	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.093521	N
hsa-mir-1245b	4	0.374084	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	61	5.704784	N
hsa-mir-1248	8	0.748168	N
hsa-mir-1249	282	26.372936	N
hsa-mir-1250	8	0.748168	N
hsa-mir-1251	12	1.122253	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	13	1.215774	N
hsa-mir-1254-2	10	0.935210	N
hsa-mir-1255a	11	1.028732	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	202937	18978.881077	N
hsa-mir-125b-1	49940	4670.441176	N
hsa-mir-125b-2	49641	4642.478383	N
hsa-mir-126	142262	13304.491442	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	50	4.676052	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	4	0.374084	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	0.467605	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	58	5.424221	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	795	74.349234	N
hsa-mir-1270	1086	101.563859	N
hsa-mir-1271	3625	339.013802	N
hsa-mir-1272	4	0.374084	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	3	0.280563	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.187042	N
hsa-mir-1276	2	0.187042	N
hsa-mir-1277	8	0.748168	N
hsa-mir-1278	33	3.086195	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5728	535.688567	N
hsa-mir-128-2	3834	358.559701	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	22	2.057463	N
hsa-mir-1285-1	1	0.093521	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	49	4.582531	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	3	0.280563	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-129-2	1	0.093521	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	26	2.431547	N
hsa-mir-1292	51	4.769573	N
hsa-mir-1293	1	0.093521	N
hsa-mir-1294	19	1.776900	N
hsa-mir-1295a	135	12.625342	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	421	39.372362	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1320	123.447784	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	14	1.309295	N
hsa-mir-1304	16	1.496337	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	126	11.783652	N
hsa-mir-1307	887	82.953170	N
hsa-mir-130a	316	29.552651	N
hsa-mir-130b	1499	140.188052	N
hsa-mir-132	1030	96.326680	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	73	6.827037	N
hsa-mir-133a-2	95	8.884500	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	61	5.704784	N
hsa-mir-1343	23	2.150984	N
hsa-mir-135a-1	7024	656.891847	N
hsa-mir-135a-2	7658	716.184192	N
hsa-mir-135b	2921	273.174983	N
hsa-mir-136	36	3.366758	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	6	0.561126	N
hsa-mir-138-2	4	0.374084	N
hsa-mir-139	5742	536.997862	N
hsa-mir-140	55088	5151.887535	N
hsa-mir-141	3	0.280563	N
hsa-mir-142	5241	490.143817	N
hsa-mir-143	173633	16238.340263	N
hsa-mir-144	14059	1314.812425	N
hsa-mir-145	25400	2375.434639	N
hsa-mir-1468	238	22.258010	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	12645	1182.573662	N
hsa-mir-146b	22736	2126.294565	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	14	1.309295	N
hsa-mir-148a	27776	2597.640651	N
hsa-mir-148b	6164	576.463745	N
hsa-mir-149	144	13.467031	N
hsa-mir-150	3874	362.300543	N
hsa-mir-151a	44935	4202.368327	N
hsa-mir-151b	557	52.091224	N
hsa-mir-152	2278	213.040949	N
hsa-mir-153-1	8	0.748168	N
hsa-mir-153-2	2	0.187042	N
hsa-mir-1537	5	0.467605	N
hsa-mir-1538	2	0.187042	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	19	1.776900	N
hsa-mir-155	2049	191.624629	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2879	269.247099	N
hsa-mir-15b	26873	2513.191144	N
hsa-mir-16-1	60006	5611.824053	N
hsa-mir-16-2	64871	6066.803956	N
hsa-mir-17	2794	261.297810	Y
hsa-mir-181a-1	28106	2628.502597	Y
hsa-mir-181a-2	28465	2662.076654	N
hsa-mir-181b-1	6694	626.029901	N
hsa-mir-181b-2	7618	712.443350	N
hsa-mir-181c	182	17.020831	Y
hsa-mir-181d	104	9.726189	N
hsa-mir-182	11374	1063.708409	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	5099	476.863828	N
hsa-mir-184	9	0.841689	N
