miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	157198	16773.603305	N
hsa-let-7a-2	155878	16632.754462	Y
hsa-let-7a-3	155920	16637.236016	N
hsa-let-7b	92698	9891.216677	N
hsa-let-7c	11680	1246.298850	Y
hsa-let-7d	23084	2463.147487	N
hsa-let-7e	10080	1075.572980	N
hsa-let-7f-1	160465	17122.204190	N
hsa-let-7f-2	167530	17876.065610	N
hsa-let-7g	246687	26322.407909	N
hsa-let-7i	142574	15213.168855	N
hsa-mir-1-1	376	40.120579	N
hsa-mir-1-2	396	42.254653	N
hsa-mir-100	146634	15646.385749	Y
hsa-mir-101-1	13570	1447.968784	N
hsa-mir-101-2	14093	1503.774802	N
hsa-mir-103a-1	43471	4638.515180	Y
hsa-mir-103a-2	45595	4865.153772	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	740	78.960715	Y
hsa-mir-106b	19826	2115.506935	N
hsa-mir-107	5367	572.678590	Y
hsa-mir-10a	71081	7584.603472	N
hsa-mir-10b	223252	23821.807434	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	22	2.347481	N
hsa-mir-1180	906	96.673524	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.746926	N
hsa-mir-1185-2	5	0.533518	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	9	0.960333	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5442	580.681365	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	20	2.134073	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	45	4.801665	N
hsa-mir-1229	10	1.067037	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	6	0.640222	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	4	0.426815	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	26	2.774295	N
