miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	187505	35137.056163	N
hsa-let-7a-2	179340	33606.995292	N
hsa-let-7a-3	180139	33756.722008	N
hsa-let-7b	176577	33089.229440	N
hsa-let-7c	16340	3061.995668	N
hsa-let-7d	30606	5735.339009	N
hsa-let-7e	29340	5498.099932	N
hsa-let-7f-1	65372	12250.231383	N
hsa-let-7f-2	68187	12777.741653	N
hsa-let-7g	76725	14377.699977	N
hsa-let-7i	57871	10844.599222	N
hsa-mir-1-1	69	12.930092	N
hsa-mir-1-2	95	17.802300	N
hsa-mir-100	3662	686.231832	N
hsa-mir-101-1	8685	1627.505041	N
hsa-mir-101-2	9291	1741.064979	N
hsa-mir-103a-1	54594	10230.513555	Y
hsa-mir-103a-2	56070	10507.105085	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.187393	N
hsa-mir-106a	352	65.962208	Y
hsa-mir-106b	21242	3980.594368	N
hsa-mir-107	5617	1052.584435	Y
hsa-mir-10a	25928	4858.716259	N
hsa-mir-10b	79590	14914.579878	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.374785	N
hsa-mir-1180	1551	290.645978	N
hsa-mir-1181	2	0.374785	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3645	683.046157	N
hsa-mir-1224	2	0.374785	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	165	30.919785	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	186	34.855030	N
hsa-mir-1229	51	9.557024	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.374785	N
hsa-mir-1236	3	0.562178	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	96	17.989693	N
hsa-mir-124-2	91	17.052730	N
hsa-mir-124-3	81	15.178803	N
hsa-mir-1243	8	1.499141	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	13	2.436104	N
hsa-mir-1248	28	5.246994	N
hsa-mir-1249	350	65.587423	N
hsa-mir-1250	23	4.310031	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	172	32.231533	N
hsa-mir-1254-2	177	33.168497	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	216700	40607.984163	N
hsa-mir-125b-1	57067	10693.935543	N
hsa-mir-125b-2	60497	11336.692284	N
hsa-mir-126	36462	6832.710284	N
