miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	375632	22352.267431	N
hsa-let-7a-2	366274	21795.412534	Y
hsa-let-7a-3	367399	21862.356514	N
hsa-let-7b	96329	5732.130301	N
hsa-let-7c	41626	2476.986743	Y
hsa-let-7d	61643	3668.113529	N
hsa-let-7e	58282	3468.114672	N
hsa-let-7f-1	315866	18795.846212	N
hsa-let-7f-2	338870	20164.716703	N
hsa-let-7g	358080	21307.822342	N
hsa-let-7i	105832	6297.613533	N
hsa-mir-1-1	8475	504.311311	N
hsa-mir-1-2	8944	532.219512	N
hsa-mir-100	130538	7767.762826	Y
hsa-mir-101-1	83837	4988.784354	N
hsa-mir-101-2	90069	5359.624247	N
hsa-mir-103a-1	151773	9031.367628	Y
hsa-mir-103a-2	155319	9242.375051	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.059506	N
hsa-mir-106a	2130	126.747268	Y
hsa-mir-106b	72816	4332.971380	N
hsa-mir-107	17365	1033.317513	Y
hsa-mir-10a	147217	8760.259388	N
hsa-mir-10b	1071991	63789.638572	N
hsa-mir-1178	6	0.357035	N
hsa-mir-1179	16	0.952092	N
hsa-mir-1180	2368	140.909638	N
hsa-mir-1181	2	0.119012	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	53	3.153805	N
hsa-mir-1185-2	25	1.487644	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	21	1.249621	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	17	1.011598	N
hsa-mir-1224	1	0.059506	N
hsa-mir-1225	2	0.119012	N
hsa-mir-1226	86	5.117495	N
hsa-mir-1227	2	0.119012	N
hsa-mir-1228	32	1.904184	N
hsa-mir-1229	7	0.416540	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.119012	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.059506	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.119012	N
hsa-mir-124-2	1	0.059506	N
hsa-mir-124-3	2	0.119012	N
hsa-mir-1243	1	0.059506	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	42	2.499242	N
hsa-mir-1245b	15	0.892586	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	267	15.888038	N
hsa-mir-1248	108	6.426622	N
hsa-mir-1249	259	15.411992	N
hsa-mir-1250	214	12.734233	N
hsa-mir-1251	9	0.535552	N
hsa-mir-1252	7	0.416540	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	16	0.952092	N
hsa-mir-1254-2	18	1.071104	N
hsa-mir-1255a	49	2.915782	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.178517	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	431594	25682.328741	N
hsa-mir-125b-1	336497	20023.509535	N
hsa-mir-125b-2	326312	19417.443376	N
hsa-mir-126	266364	15850.192108	N
hsa-mir-1260a	1	0.059506	N
hsa-mir-1260b	165	9.818450	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	31	1.844679	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	9	0.535552	N
hsa-mir-1266	10	0.595058	N
hsa-mir-1267	1	0.059506	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	15	0.892586	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	4077	242.604981	N
hsa-mir-1270	21	1.249621	N
hsa-mir-1271	2562	152.453756	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.119012	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.119012	N
hsa-mir-1275	1	0.059506	N
hsa-mir-1276	43	2.558748	N
hsa-mir-1277	30	1.785173	N
hsa-mir-1278	24	1.428138	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	14768	878.781055	N
hsa-mir-128-2	8495	505.501426	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	14	0.833081	N
hsa-mir-1283-2	14	0.833081	N
hsa-mir-1284	73	4.343920	N
hsa-mir-1285-1	1	0.059506	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.059506	N
hsa-mir-1287	224	13.329290	N
hsa-mir-1288	8	0.476046	N
hsa-mir-1289-1	5	0.297529	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	22	1.309127	N
hsa-mir-129-2	53	3.153805	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	45	2.677759	N
hsa-mir-1292	120	7.140691	N
hsa-mir-1293	0	0.000000	N
