miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	122255	16608.407165	N
hsa-let-7a-2	119364	16215.663268	Y
hsa-let-7a-3	120291	16341.596714	N
hsa-let-7b	59056	8022.789199	N
hsa-let-7c	21559	2928.801686	Y
hsa-let-7d	24359	3309.183184	N
hsa-let-7e	15165	2060.173364	N
hsa-let-7f-1	105557	14339.974930	N
hsa-let-7f-2	110122	14960.132623	N
hsa-let-7g	140027	19022.742874	N
hsa-let-7i	56637	7694.166755	N
hsa-mir-1-1	1795	243.851710	N
hsa-mir-1-2	1874	254.583903	N
hsa-mir-100	56585	7687.102527	Y
hsa-mir-101-1	38616	5246.004262	N
hsa-mir-101-2	39868	5416.089132	N
hsa-mir-103a-1	76292	10364.309021	Y
hsa-mir-103a-2	79251	10766.290755	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	501	68.061118	Y
hsa-mir-106b	13106	1780.457113	N
hsa-mir-107	8511	1156.223904	Y
hsa-mir-10a	58661	7969.128238	N
hsa-mir-10b	198113	26913.757054	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.271701	N
hsa-mir-1180	742	100.801097	N
hsa-mir-1181	5	0.679253	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.543402	N
hsa-mir-1185-2	10	1.358505	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	636	86.400940	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	43	5.841573	N
hsa-mir-1227	1	0.135851	N
hsa-mir-1228	83	11.275594	N
hsa-mir-1229	20	2.717011	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.679253	N
hsa-mir-1236	1	0.135851	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	3	0.407552	N
hsa-mir-124-2	7	0.950954	N
hsa-mir-124-3	7	0.950954	N
hsa-mir-1243	1	0.135851	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	7	0.950954	N
hsa-mir-1248	19	2.581160	N
hsa-mir-1249	303	41.162712	N
hsa-mir-1250	3	0.407552	N
hsa-mir-1251	15	2.037758	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.543402	N
hsa-mir-1254-2	6	0.815103	N
hsa-mir-1255a	46	6.249125	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	140247	19052.629992	N
hsa-mir-125b-1	43234	5873.362033	N
hsa-mir-125b-2	44057	5985.167023	N
hsa-mir-126	99831	13562.094766	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	16	2.173609	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	12	1.630206	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	8	1.086804	N
hsa-mir-1267	3	0.407552	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	6	0.815103	N
hsa-mir-1269b	4	0.543402	N
hsa-mir-127	278	37.766449	N
hsa-mir-1270	938	127.427802	N
hsa-mir-1271	3266	443.687848	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
