miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	142527	13215.789181	N
hsa-let-7a-2	139154	12903.028392	Y
hsa-let-7a-3	138338	12827.364946	N
hsa-let-7b	59258	5494.686868	N
hsa-let-7c	20479	1898.911411	Y
hsa-let-7d	21609	2003.690447	N
hsa-let-7e	9660	895.721677	N
hsa-let-7f-1	156110	14475.270293	N
hsa-let-7f-2	166188	15409.750941	N
hsa-let-7g	205487	19053.743301	N
hsa-let-7i	81782	7583.220518	N
hsa-mir-1-1	1899	176.084417	N
hsa-mir-1-2	1949	180.720657	N
hsa-mir-100	66905	6203.753500	Y
hsa-mir-101-1	27879	2585.075014	N
hsa-mir-101-2	29411	2727.129425	N
hsa-mir-103a-1	64318	5963.874414	Y
hsa-mir-103a-2	66964	6209.224264	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	455	42.189789	Y
hsa-mir-106b	17075	1583.276153	N
hsa-mir-107	6545	606.883890	Y
hsa-mir-10a	109363	10140.663539	N
hsa-mir-10b	152757	14164.364001	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	0.556349	N
hsa-mir-1180	555	51.462270	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	12	1.112698	N
hsa-mir-1185-2	3	0.278174	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.092725	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	121	11.219702	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	16	1.483597	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	37	3.430818	N
hsa-mir-1229	11	1.019973	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.185450	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	5	0.463624	N
hsa-mir-124-2	2	0.185450	N
hsa-mir-124-3	8	0.741798	N
hsa-mir-1243	5	0.463624	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.185450	N
hsa-mir-1245b	8	0.741798	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	289	26.797470	N
hsa-mir-1248	44	4.079892	N
hsa-mir-1249	382	35.420878	N
hsa-mir-1250	5	0.463624	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	27	2.503570	N
hsa-mir-1254-2	19	1.761771	N
hsa-mir-1255a	5	0.463624	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	146895	13620.811157	N
hsa-mir-125b-1	86873	8055.282533	N
hsa-mir-125b-2	88249	8182.871873	N
hsa-mir-126	28674	2658.791239	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	10	0.927248	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	14	1.298147	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	2	0.185450	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.278174	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	514	47.660553	N
hsa-mir-1269b	717	66.483690	N
hsa-mir-127	1161	107.653506	N
hsa-mir-1270	348	32.268234	N
hsa-mir-1271	466	43.209762	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.185450	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.092725	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	15	1.390872	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3463	321.106022	N
hsa-mir-128-2	2226	206.405430	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.092725	N
hsa-mir-1284	12	1.112698	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	51	4.728965	N
hsa-mir-1288	2	0.185450	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	7	0.649074	N
hsa-mir-129-2	6	0.556349	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	54	5.007140	N
hsa-mir-1292	46	4.265341	N
hsa-mir-1293	6	0.556349	N
hsa-mir-1294	12	1.112698	N
hsa-mir-1295a	98	9.087032	N
hsa-mir-1295b	3	0.278174	N
hsa-mir-1296	205	19.008586	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	20	1.854496	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	932	86.419524	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	8	0.741798	N
hsa-mir-1304	17	1.576322	N
hsa-mir-1305	9	0.834523	N
hsa-mir-1306	86	7.974334	N
hsa-mir-1307	1930	178.958886	N
hsa-mir-130a	798	73.994399	N
hsa-mir-130b	1070	99.215548	N
hsa-mir-132	2248	208.445376	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	1	0.092725	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	196	18.174063	Y
hsa-mir-133a-2	209	19.379486	N
hsa-mir-133b	1	0.092725	Y
hsa-mir-134	92	8.530683	N
hsa-mir-1343	31	2.874469	N
hsa-mir-135a-1	195	18.081338	N
hsa-mir-135a-2	175	16.226842	N
hsa-mir-135b	3001	278.267159	N
hsa-mir-136	158	14.650520	N
hsa-mir-137	17	1.576322	N
hsa-mir-138-1	54	5.007140	N
hsa-mir-138-2	21	1.947221	N
hsa-mir-139	725	67.225488	N
hsa-mir-140	40721	3775.847041	N
hsa-mir-141	25	2.318120	N
hsa-mir-142	12267	1137.455260	N
hsa-mir-143	296174	27462.678263	N
hsa-mir-144	253	23.459377	N
hsa-mir-145	31995	2966.730338	N
hsa-mir-1468	59	5.470764	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	66905	6203.753500	N
hsa-mir-146b	115137	10676.056599	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	29	2.689020	N
hsa-mir-148a	40001	3709.085177	N
hsa-mir-148b	4483	415.685329	N
hsa-mir-149	349	32.360959	N
hsa-mir-150	17102	1585.779723	N
