miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	212265	21978.321225	N
hsa-let-7a-2	208339	21571.815729	Y
hsa-let-7a-3	208341	21572.022813	N
hsa-let-7b	54649	5658.461247	N
hsa-let-7c	53874	5578.216275	Y
hsa-let-7d	40878	4232.585754	N
hsa-let-7e	16249	1682.452319	N
hsa-let-7f-1	232310	24053.818594	N
hsa-let-7f-2	250873	25975.866868	N
hsa-let-7g	194280	20116.120169	N
hsa-let-7i	66019	6835.732641	N
hsa-mir-1-1	377	39.035296	N
hsa-mir-1-2	356	36.860916	N
hsa-mir-100	101160	10474.298519	Y
hsa-mir-101-1	87674	9077.932467	N
hsa-mir-101-2	90596	9380.481896	N
hsa-mir-103a-1	72550	7511.964784	Y
hsa-mir-103a-2	75595	7827.249867	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	573	59.329508	Y
hsa-mir-106b	21488	2224.908329	N
hsa-mir-107	11770	1218.688153	Y
hsa-mir-10a	75623	7830.149040	N
hsa-mir-10b	452892	46893.297795	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	17	1.760212	N
hsa-mir-1180	1432	148.272000	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	6	0.621251	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	7157	741.049372	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	30	3.106257	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	45	4.659385	N
hsa-mir-1229	8	0.828335	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.310626	N
hsa-mir-1236	5	0.517709	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	119	12.321486	N
hsa-mir-124-2	99	10.250648	N
hsa-mir-124-3	93	9.629397	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	1	0.103542	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	51	5.280637	N
hsa-mir-1248	21	2.174380	N
hsa-mir-1249	151	15.634827	N
hsa-mir-1250	23	2.381464	N
hsa-mir-1251	35	3.623966	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.103542	N
hsa-mir-1254-2	6	0.621251	N
hsa-mir-1255a	8	0.828335	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.207084	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	201267	20839.567419	N
hsa-mir-125b-1	81797	8469.416726	N
hsa-mir-125b-2	81846	8474.490279	N
hsa-mir-126	122966	12732.133172	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	16	1.656670	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	13	1.346045	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.310626	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	87	9.008145	N
hsa-mir-1270	1130	117.002346	N
hsa-mir-1271	2787	288.571273	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.207084	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	2	0.207084	N
hsa-mir-1277	25	2.588547	N
hsa-mir-1278	20	2.070838	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3547	367.263116	N
hsa-mir-128-2	2196	227.378011	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	20	2.070838	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	53	5.487721	N
hsa-mir-1288	2	0.207084	N
hsa-mir-1289-1	2	0.207084	N
hsa-mir-1289-2	1	0.103542	N
hsa-mir-129-1	2	0.207084	N
hsa-mir-129-2	1	0.103542	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	56	5.798346	N
hsa-mir-1292	33	3.416883	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	4	0.414168	N
hsa-mir-1295a	85	8.801061	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	220	22.779218	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	2	0.207084	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1034	107.062324	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	1	0.103542	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	6	0.621251	N
hsa-mir-1304	24	2.485006	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	120	12.425028	N
hsa-mir-1307	1476	152.827843	N
hsa-mir-130a	1044	108.097743	N
hsa-mir-130b	881	91.220413	N
hsa-mir-132	1226	126.942368	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	81	8.386894	Y
hsa-mir-133a-2	72	7.455017	N
hsa-mir-133b	1	0.103542	Y
hsa-mir-134	9	0.931877	N
hsa-mir-1343	21	2.174380	N
hsa-mir-135a-1	6094	630.984333	N
hsa-mir-135a-2	7669	794.062825	N
hsa-mir-135b	1408	145.786994	N
hsa-mir-136	30	3.106257	N
hsa-mir-137	4	0.414168	N
hsa-mir-138-1	21	2.174380	N
hsa-mir-138-2	4	0.414168	N
hsa-mir-139	3020	312.696535	N
hsa-mir-140	39183	4057.082235	N
hsa-mir-141	21	2.174380	N
hsa-mir-142	6922	716.717026	N
hsa-mir-143	205346	21261.914825	N
hsa-mir-144	704	72.893497	N
hsa-mir-145	19456	2014.511190	N
hsa-mir-1468	294	30.441318	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	4216	436.532647	N
hsa-mir-146b	19447	2013.579313	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
