miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	93621	8662.199479	N
hsa-let-7a-2	92146	8525.726421	N
hsa-let-7a-3	92906	8596.044742	N
hsa-let-7b	11033	1020.818479	N
hsa-let-7c	4528	418.949159	N
hsa-let-7d	29098	2692.266483	N
hsa-let-7e	49196	4551.815998	N
hsa-let-7f-1	79471	7352.983357	N
hsa-let-7f-2	82354	7619.730359	N
hsa-let-7g	105308	9743.528725	N
hsa-let-7i	46871	4336.697448	N
hsa-mir-1-1	1077	99.648464	N
hsa-mir-1-2	1123	103.904573	N
hsa-mir-100	14349	1327.628420	N
hsa-mir-101-1	29437	2723.632156	N
hsa-mir-101-2	30596	2830.867597	N
hsa-mir-103a-1	98221	9087.810374	Y
hsa-mir-103a-2	101414	9383.239850	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	21	1.943006	N
hsa-mir-105-2	26	2.405627	N
hsa-mir-106a	395	36.547023	Y
hsa-mir-106b	59261	5483.071142	N
hsa-mir-107	10914	1009.808111	Y
hsa-mir-10a	2277977	210767.789101	N
hsa-mir-10b	1249569	115615.256633	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	22	2.035530	N
hsa-mir-1180	2797	258.789929	N
hsa-mir-1181	14	1.295338	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	0.832717	N
hsa-mir-1185-2	1	0.092524	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	11	1.017765	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	9	0.832717	N
hsa-mir-1224	11	1.017765	N
hsa-mir-1225	3	0.277572	N
hsa-mir-1226	742	68.652888	N
hsa-mir-1227	4	0.370096	N
hsa-mir-1228	240	22.205786	N
hsa-mir-1229	77	7.124356	N
hsa-mir-1231	4	0.370096	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	8	0.740193	N
hsa-mir-1236	7	0.647669	N
hsa-mir-1237	5	0.462621	N
hsa-mir-1238	14	1.295338	N
hsa-mir-124-1	9	0.832717	N
hsa-mir-124-2	10	0.925241	N
hsa-mir-124-3	7	0.647669	N
hsa-mir-1243	9	0.832717	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	8	0.740193	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	9	0.832717	N
hsa-mir-1247	72	6.661736	N
hsa-mir-1248	708	65.507068	N
hsa-mir-1249	112	10.362700	N
hsa-mir-1250	122	11.287941	N
hsa-mir-1251	18	1.665434	N
hsa-mir-1252	3	0.277572	N
