miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	207326	23555.861919	N
hsa-let-7a-2	202366	22992.319116	Y
hsa-let-7a-3	203026	23067.306666	N
hsa-let-7b	72258	8209.773355	N
hsa-let-7c	19491	2214.518703	Y
hsa-let-7d	33998	3862.767784	N
hsa-let-7e	17595	1999.099922	N
hsa-let-7f-1	181233	20591.240477	N
hsa-let-7f-2	192131	21829.443998	N
hsa-let-7g	211489	24028.851574	N
hsa-let-7i	52563	5972.076681	N
hsa-mir-1-1	5879	667.957286	N
hsa-mir-1-2	6272	712.608963	N
hsa-mir-100	65497	7441.605433	Y
hsa-mir-101-1	67497	7668.840435	N
hsa-mir-101-2	72879	8280.329823	N
hsa-mir-103a-1	68053	7732.011765	Y
hsa-mir-103a-2	70316	7989.128169	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.113618	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	968	109.981741	Y
hsa-mir-106b	17099	1942.745642	N
hsa-mir-107	6250	710.109378	Y
hsa-mir-10a	119276	13551.840995	N
hsa-mir-10b	216876	24640.909049	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.340853	N
hsa-mir-1180	389	44.197208	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	10	1.136175	N
hsa-mir-1185-2	6	0.681705	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	7	0.795323	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.113618	N
hsa-mir-1224	1	0.113618	N
hsa-mir-1225	6	0.681705	N
hsa-mir-1226	258	29.313315	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	66	7.498755	N
hsa-mir-1229	41	4.658318	N
hsa-mir-1231	1	0.113618	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.113618	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.113618	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.113618	N
hsa-mir-124-2	1	0.113618	N
hsa-mir-124-3	2	0.227235	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	0.681705	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.113618	N
hsa-mir-1247	257	29.199698	N
hsa-mir-1248	110	12.497925	N
hsa-mir-1249	136	15.451980	N
hsa-mir-1250	10	1.136175	N
hsa-mir-1251	1	0.113618	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	18	2.045115	N
hsa-mir-1254-2	12	1.363410	N
hsa-mir-1255a	22	2.499585	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	351189	39901.216400	N
hsa-mir-125b-1	47246	5367.972431	N
hsa-mir-125b-2	47806	5431.598231	N
