miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	79075	9827.902643	N
hsa-let-7a-2	77518	9634.389593	Y
hsa-let-7a-3	77129	9586.042402	N
hsa-let-7b	37056	4605.536014	N
hsa-let-7c	3145	390.878961	Y
hsa-let-7d	15448	1919.967626	N
hsa-let-7e	4331	538.281965	N
hsa-let-7f-1	93359	11603.201553	N
hsa-let-7f-2	98835	12283.790803	N
hsa-let-7g	143307	17811.030592	N
hsa-let-7i	47887	5951.675926	N
hsa-mir-1-1	675	83.892941	N
hsa-mir-1-2	783	97.315811	N
hsa-mir-100	13774	1711.913133	Y
hsa-mir-101-1	43405	5394.626800	N
hsa-mir-101-2	44587	5541.532661	N
hsa-mir-103a-1	68023	8454.295561	Y
hsa-mir-103a-2	72107	8961.878923	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.248572	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	350	43.500043	Y
hsa-mir-106b	15490	1925.187631	N
hsa-mir-107	13665	1698.365977	Y
hsa-mir-10a	29930	3719.875133	N
hsa-mir-10b	156368	19434.327922	N
hsa-mir-1178	2	0.248572	N
hsa-mir-1179	6	0.745715	N
hsa-mir-1180	575	71.464357	N
hsa-mir-1181	4	0.497143	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.621429	N
hsa-mir-1185-2	2	0.248572	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.372858	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	720	89.485803	N
hsa-mir-1224	2	0.248572	N
hsa-mir-1225	2	0.248572	N
hsa-mir-1226	19	2.361431	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	47	5.841434	N
hsa-mir-1229	56	6.960007	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	7	0.870001	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	55	6.835721	N
hsa-mir-124-2	51	6.338578	N
hsa-mir-124-3	45	5.592863	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	1	0.124286	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	5	0.621429	N
hsa-mir-1248	34	4.225718	N
hsa-mir-1249	196	24.360024	N
hsa-mir-1250	15	1.864288	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	16	1.988573	N
hsa-mir-1254-2	13	1.615716	N
hsa-mir-1255a	17	2.112859	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.124286	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	65690	8164.336701	N
hsa-mir-125b-1	10669	1326.005606	N
hsa-mir-125b-2	10811	1343.654195	N
hsa-mir-126	83230	10344.310300	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	14	1.740002	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.248572	N
hsa-mir-1263	2	0.248572	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.372858	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	263	32.687175	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	414	51.454337	N
hsa-mir-1270	251	31.195745	N
hsa-mir-1271	652	81.034366	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.124286	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	9	1.118573	N
hsa-mir-1278	14	1.740002	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2426	301.517443	N
hsa-mir-128-2	1830	227.443084	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	5	0.621429	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
