miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	241463	16560.085218	N
hsa-let-7a-2	235768	16169.509082	Y
hsa-let-7a-3	239354	16415.445170	N
hsa-let-7b	101428	6956.164396	N
hsa-let-7c	10491	719.496793	Y
hsa-let-7d	179874	12336.170628	N
hsa-let-7e	180420	12373.616558	N
hsa-let-7f-1	257075	17630.791911	N
hsa-let-7f-2	271417	18614.399098	N
hsa-let-7g	295623	20274.501983	N
hsa-let-7i	155289	10650.075056	N
hsa-mir-1-1	196	13.442129	N
hsa-mir-1-2	217	14.882357	N
hsa-mir-100	6480	444.413232	N
hsa-mir-101-1	30110	2065.012718	N
hsa-mir-101-2	31828	2182.837090	N
hsa-mir-103a-1	259988	17830.572119	Y
hsa-mir-103a-2	264147	18115.805858	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.137165	N
hsa-mir-105-2	3	0.205747	N
hsa-mir-106a	1466	100.541635	Y
hsa-mir-106b	80429	5516.004912	N
hsa-mir-107	20370	1397.021224	Y
hsa-mir-10a	1225560	84051.709948	N
hsa-mir-10b	3096554	212368.760932	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	10	0.685823	N
hsa-mir-1180	6478	444.276067	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	13	0.891570	N
hsa-mir-1185-2	11	0.754405	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	6	0.411494	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	16	1.097317	N
hsa-mir-1224	2	0.137165	N
hsa-mir-1225	1	0.068582	N
hsa-mir-1226	656	44.989981	N
hsa-mir-1227	10	0.685823	N
hsa-mir-1228	92	6.309571	N
hsa-mir-1229	92	6.309571	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	6	0.411494	N
hsa-mir-1236	4	0.274329	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	9	0.617241	N
hsa-mir-124-1	9	0.617241	N
hsa-mir-124-2	3	0.205747	N
hsa-mir-124-3	4	0.274329	N
hsa-mir-1243	4	0.274329	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	121	8.298457	N
hsa-mir-1248	74	5.075089	N
hsa-mir-1249	104	7.132558	N
hsa-mir-1250	163	11.178913	N
hsa-mir-1251	12	0.822987	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	47	3.223368	N
hsa-mir-1254-2	55	3.772026	N
hsa-mir-1255a	6	0.411494	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
