miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	204880	21626.674700	N
hsa-let-7a-2	198199	20921.443279	Y
hsa-let-7a-3	197896	20889.459276	N
hsa-let-7b	50005	5278.415992	N
hsa-let-7c	9079	958.358940	Y
hsa-let-7d	41601	4391.308543	N
hsa-let-7e	17190	1814.537964	N
hsa-let-7f-1	205563	21698.770653	N
hsa-let-7f-2	217161	22923.029601	N
hsa-let-7g	185004	19528.608582	N
hsa-let-7i	56373	5950.607833	N
hsa-mir-1-1	1941	204.887620	N
hsa-mir-1-2	2075	219.032360	N
hsa-mir-100	34592	3651.454174	Y
hsa-mir-101-1	22317	2355.732620	N
hsa-mir-101-2	23511	2481.768591	N
hsa-mir-103a-1	85093	8982.226817	Y
hsa-mir-103a-2	88648	9357.484668	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	482	50.878842	Y
hsa-mir-106b	17948	1894.550749	N
hsa-mir-107	10746	1134.323733	Y
hsa-mir-10a	86883	9171.175215	N
hsa-mir-10b	321201	33905.259373	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.738904	N
hsa-mir-1180	762	80.435016	N
hsa-mir-1181	2	0.211116	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.422231	N
hsa-mir-1185-2	7	0.738904	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.211116	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
