miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	258350	23390.820640	N
hsa-let-7a-2	253610	22961.664496	Y
hsa-let-7a-3	255425	23125.993272	N
hsa-let-7b	81040	7337.302515	N
hsa-let-7c	19560	1770.948139	Y
hsa-let-7d	119106	10783.770401	N
hsa-let-7e	61510	5569.070554	N
hsa-let-7f-1	321855	29140.517039	N
hsa-let-7f-2	337531	30559.810650	N
hsa-let-7g	328285	29722.684551	N
hsa-let-7i	158962	14392.303583	N
hsa-mir-1-1	1927	174.469175	N
hsa-mir-1-2	2034	184.156877	N
hsa-mir-100	45012	4075.353662	Y
hsa-mir-101-1	40799	3693.911714	N
hsa-mir-101-2	42756	3871.097067	N
hsa-mir-103a-1	152506	13807.782050	Y
hsa-mir-103a-2	156929	14208.237245	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1881	170.304369	Y
hsa-mir-106b	59721	5407.095798	N
hsa-mir-107	16106	1458.225497	Y
hsa-mir-10a	227117	20563.007591	N
hsa-mir-10b	1329627	120383.459163	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	16	1.448628	N
hsa-mir-1180	1710	154.822153	N
hsa-mir-1181	4	0.362157	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	44	3.983728	N
hsa-mir-1185-2	20	1.810785	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	20	1.810785	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	130	11.770105	N
hsa-mir-1224	1	0.090539	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	160	14.486283	N
hsa-mir-1227	6	0.543236	N
hsa-mir-1228	53	4.798581	N
hsa-mir-1229	18	1.629707	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.181079	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	2	0.181079	N
hsa-mir-124-1	6	0.543236	N
hsa-mir-124-2	6	0.543236	N
hsa-mir-124-3	6	0.543236	N
hsa-mir-1243	5	0.452696	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.362157	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	57	5.160738	N
