miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	268416	27896.587569	N
hsa-let-7a-2	256495	26657.633035	Y
hsa-let-7a-3	257465	26758.445542	N
hsa-let-7b	80526	8369.100987	N
hsa-let-7c	56304	5851.698358	Y
hsa-let-7d	49899	5186.024019	N
hsa-let-7e	23387	2430.620729	N
hsa-let-7f-1	246595	25628.721878	N
hsa-let-7f-2	268258	27880.166563	N
hsa-let-7g	222260	23099.575112	N
hsa-let-7i	72648	7550.337140	N
hsa-mir-1-1	344	35.752064	N
hsa-mir-1-2	399	41.468238	N
hsa-mir-100	47239	4909.569102	Y
hsa-mir-101-1	68711	7141.163077	N
hsa-mir-101-2	73057	7592.844682	N
hsa-mir-103a-1	95352	9909.973392	Y
hsa-mir-103a-2	99499	10340.972843	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.103930	N
hsa-mir-106a	615	63.917208	Y
hsa-mir-106b	16588	1723.997804	N
hsa-mir-107	12528	1302.040300	Y
hsa-mir-10a	198228	20601.919262	N
hsa-mir-10b	607434	63130.870640	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	8	0.831443	N
hsa-mir-1180	1563	162.443246	N
hsa-mir-1181	1	0.103930	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.103930	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.103930	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	12557	1305.054282	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	49	5.092591	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	23	2.390400	N
hsa-mir-1229	17	1.766817	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.311791	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.207861	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	52	5.404382	N
hsa-mir-124-2	51	5.300451	N
hsa-mir-124-3	54	5.612243	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	62	6.443686	N
hsa-mir-1248	41	4.261147	N
hsa-mir-1249	184	19.123197	N
hsa-mir-1250	7	0.727513	N
hsa-mir-1251	5	0.519652	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	0.623583	N
hsa-mir-1254-2	11	1.143235	N
hsa-mir-1255a	13	1.351095	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	300086	31188.063965	N
hsa-mir-125b-1	71303	7410.550725	N
hsa-mir-125b-2	72064	7489.641775	N
hsa-mir-126	188275	19567.499794	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	11	1.143235	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	26	2.702191	N
hsa-mir-1263	13	1.351095	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	0.623583	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	95	9.873390	N
hsa-mir-1270	1686	175.226688	N
hsa-mir-1271	3654	379.761754	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	7	0.727513	N
hsa-mir-1276	2	0.207861	N
hsa-mir-1277	2	0.207861	N
hsa-mir-1278	7	0.727513	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4325	449.499066	N
hsa-mir-128-2	2979	309.608721	N
hsa-mir-1281	4	0.415722	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	12	1.247165	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	62	6.443686	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	7	0.727513	N
hsa-mir-129-2	17	1.766817	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	22	2.286469	N
hsa-mir-1292	39	4.053286	N
hsa-mir-1293	3	0.311791	N
hsa-mir-1294	12	1.247165	N
hsa-mir-1295a	97	10.081251	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	244	25.359022	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.103930	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1139	118.376748	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	3	0.311791	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	25	2.598260	N
hsa-mir-1304	21	2.182539	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	108	11.224485	N
hsa-mir-1307	1590	165.249368	N
hsa-mir-130a	612	63.605417	N
hsa-mir-130b	1044	108.503358	N
hsa-mir-132	1712	177.928879	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	59	6.131895	Y
hsa-mir-133a-2	68	7.067269	N
hsa-mir-133b	2	0.207861	Y
hsa-mir-134	8	0.831443	N
hsa-mir-1343	32	3.325773	N
hsa-mir-135a-1	2109	219.189255	N
hsa-mir-135a-2	2830	294.123088	N
hsa-mir-135b	659	68.490147	N
hsa-mir-136	13	1.351095	N
hsa-mir-137	4	0.415722	N
hsa-mir-138-1	6	0.623583	N
hsa-mir-138-2	14	1.455026	N
hsa-mir-139	6233	647.798307	N
hsa-mir-140	58802	6111.316547	N
