miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	300210	32695.092371	N
hsa-let-7a-2	292704	31877.633381	Y
hsa-let-7a-3	293458	31959.749565	N
hsa-let-7b	156699	17065.681621	N
hsa-let-7c	6750	735.124991	Y
hsa-let-7d	50744	5526.397413	N
hsa-let-7e	20339	2215.067732	N
hsa-let-7f-1	210861	22964.324548	N
hsa-let-7f-2	222895	24274.916272	N
hsa-let-7g	295545	32187.039322	N
hsa-let-7i	149871	16322.061852	N
hsa-mir-1-1	710	77.324258	N
hsa-mir-1-2	783	85.274499	N
hsa-mir-100	4135	450.332124	Y
hsa-mir-101-1	7031	765.727972	N
hsa-mir-101-2	7326	797.855657	N
hsa-mir-103a-1	167337	18224.238607	Y
hsa-mir-103a-2	172591	18796.438118	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	181	19.712240	Y
hsa-mir-106b	8969	976.790525	N
hsa-mir-107	13534	1473.952834	Y
hsa-mir-10a	64145	6985.865561	N
hsa-mir-10b	105930	11536.561523	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	19	2.069241	N
hsa-mir-1180	913	99.432462	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.653444	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	2	0.217815	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2112	230.012442	N
hsa-mir-1224	28	3.049407	N
hsa-mir-1225	4	0.435630	N
hsa-mir-1226	33	3.593944	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	73	7.950241	N
hsa-mir-1229	35	3.811759	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.108907	N
hsa-mir-1236	4	0.435630	N
hsa-mir-1237	2	0.217815	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.217815	N
hsa-mir-124-2	2	0.217815	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	6	0.653444	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	4	0.435630	N
hsa-mir-1248	23	2.504870	N
hsa-mir-1249	460	50.097407	N
hsa-mir-1250	2	0.217815	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	20	2.178148	N
hsa-mir-1254-2	21	2.287056	N
hsa-mir-1255a	39	4.247389	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	5	0.544537	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	74085	8068.405177	N
hsa-mir-125b-1	5869	639.177566	N
hsa-mir-125b-2	5870	639.286474	N
hsa-mir-126	58803	6404.082198	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	3	0.326722	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.544537	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	0.653444	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2169	236.220164	N
hsa-mir-1269b	1	0.108907	N
hsa-mir-127	245	26.682314	N
hsa-mir-1270	1576	171.638072	N
hsa-mir-1271	291	31.692055	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.217815	N
hsa-mir-1275	23	2.504870	N
hsa-mir-1276	12	1.306889	N
hsa-mir-1277	7	0.762352	N
hsa-mir-1278	10	1.089074	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5239	570.565900	N
hsa-mir-128-2	4205	457.955642	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	16	1.742518	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	3	0.326722	N
hsa-mir-1286	31	3.376130	N
hsa-mir-1287	101	10.999648	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	3	0.326722	N
hsa-mir-129-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	43	4.683018	N
hsa-mir-1292	112	12.197629	N
hsa-mir-1293	476	51.839925	N
hsa-mir-1294	19	2.069241	N
hsa-mir-1295a	1	0.108907	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	204	22.217111	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.108907	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	2215	241.229904	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	10	1.089074	N
hsa-mir-1304	44	4.791926	N
