miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	257263	15708.042154	N
hsa-let-7a-2	254864	15561.563285	Y
hsa-let-7a-3	254294	15526.760053	N
hsa-let-7b	82257	5022.472814	N
hsa-let-7c	36910	2253.661956	Y
hsa-let-7d	43146	2634.421533	N
hsa-let-7e	25214	1539.524047	N
hsa-let-7f-1	267858	16354.954872	N
hsa-let-7f-2	282332	17238.712747	N
hsa-let-7g	340494	20789.985754	N
hsa-let-7i	112999	6899.527158	N
hsa-mir-1-1	3594	219.443540	N
hsa-mir-1-2	3901	238.188439	N
hsa-mir-100	95437	5827.221245	Y
hsa-mir-101-1	69528	4245.261677	N
hsa-mir-101-2	73762	4503.782531	N
hsa-mir-103a-1	98556	6017.662091	Y
hsa-mir-103a-2	102885	6281.983484	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.122117	N
hsa-mir-105-2	1	0.061058	N
hsa-mir-106a	586	35.780165	Y
hsa-mir-106b	30436	1858.370504	N
hsa-mir-107	11340	692.401154	Y
hsa-mir-10a	202233	12348.003751	N
hsa-mir-10b	860327	52530.106475	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.305292	N
hsa-mir-1180	856	52.265907	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	0.488466	N
hsa-mir-1185-2	14	0.854816	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	7	0.427408	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1010	61.668886	N
hsa-mir-1224	3	0.183175	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	51	3.113973	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	49	2.991857	N
hsa-mir-1229	21	1.282224	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	3	0.183175	N
hsa-mir-124-2	7	0.427408	N
hsa-mir-124-3	5	0.305292	N
hsa-mir-1243	1	0.061058	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	0.366350	N
hsa-mir-1245b	2	0.122117	N
hsa-mir-1246	1	0.061058	N
hsa-mir-1247	65	3.968790	N
hsa-mir-1248	24	1.465399	N
hsa-mir-1249	233	14.226585	N
hsa-mir-1250	70	4.274081	N
hsa-mir-1251	2	0.122117	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	9	0.549525	N
hsa-mir-1254-2	13	0.793758	N
hsa-mir-1255a	47	2.869740	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	6	0.366350	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	311184	19000.366899	N
hsa-mir-125b-1	82937	5063.992460	N
hsa-mir-125b-2	84052	5132.072467	N
hsa-mir-126	272121	16615.246417	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	51	3.113973	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	19	1.160108	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	4	0.244233	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3	0.183175	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1285	78.459919	N
hsa-mir-1270	659	40.237422	N
hsa-mir-1271	7987	487.672664	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	4	0.244233	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.061058	N
hsa-mir-1276	5	0.305292	N
hsa-mir-1277	11	0.671641	N
hsa-mir-1278	30	1.831749	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	13063	797.604610	N
hsa-mir-128-2	7807	476.682170	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	34	2.075982	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	57	3.480323	N
hsa-mir-1288	3	0.183175	N
hsa-mir-1289-1	2	0.122117	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	9	0.549525	N
hsa-mir-129-2	8	0.488466	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	99	6.044772	N
hsa-mir-1292	40	2.442332	N
hsa-mir-1293	1	0.061058	N
hsa-mir-1294	48	2.930799	N
hsa-mir-1295a	34	2.075982	N
hsa-mir-1295b	3	0.183175	N
hsa-mir-1296	891	54.402948	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.061058	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1241	75.773354	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	8	0.488466	N
hsa-mir-1304	73	4.457256	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	190	11.601078	N
hsa-mir-1307	1440	87.923956	N
hsa-mir-130a	659	40.237422	N
hsa-mir-130b	1872	114.301143	N
hsa-mir-132	2599	158.690529	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	687	41.947054	Y
hsa-mir-133a-2	702	42.862929	Y
hsa-mir-133b	4	0.244233	Y
hsa-mir-134	94	5.739480	N
hsa-mir-1343	39	2.381274	N
hsa-mir-135a-1	3847	234.891291	N
hsa-mir-135a-2	4293	262.123294	N
hsa-mir-135b	4608	281.356659	N
hsa-mir-136	135	8.242871	N
hsa-mir-137	4	0.244233	N
hsa-mir-138-1	25	1.526458	N
hsa-mir-138-2	7	0.427408	N
hsa-mir-139	4483	273.724371	N
hsa-mir-140	112737	6883.529883	N
hsa-mir-141	34	2.075982	N
hsa-mir-142	15659	956.111964	N
hsa-mir-143	840610	51326.219919	N
hsa-mir-144	28034	1711.708461	N
hsa-mir-145	84298	5147.092810	N
hsa-mir-1468	173	10.563086	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	14617	892.489212	N
hsa-mir-146b	48599	2967.372458	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	88	5.373131	N
hsa-mir-148a	57257	3496.015244	N
hsa-mir-148b	12270	749.185375	N
hsa-mir-149	349	21.309348	N
hsa-mir-150	8992	549.036259	N
hsa-mir-151a	37832	2309.957712	N
hsa-mir-151b	164	10.013562	N
hsa-mir-152	10236	624.992787	N
hsa-mir-153-1	8	0.488466	N
hsa-mir-153-2	1	0.061058	N
hsa-mir-1537	2	0.122117	N
hsa-mir-1538	4	0.244233	N
hsa-mir-1539	2	0.122117	N
hsa-mir-154	101	6.166889	N
hsa-mir-155	19068	1164.259718	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	4359	266.153142	N
hsa-mir-15b	36272	2214.706759	N
hsa-mir-16-1	89293	5452.079032	N
hsa-mir-16-2	95694	5842.913228	N
hsa-mir-17	4342	265.115151	Y
hsa-mir-181a-1	33588	2050.826275	N
hsa-mir-181a-2	34479	2105.229222	N
hsa-mir-181b-1	8003	488.649597	N
hsa-mir-181b-2	9123	557.034896	N
hsa-mir-181c	648	39.565780	N
hsa-mir-181d	438	26.743537	N
hsa-mir-182	11597	708.093138	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	6253	381.797567	N
hsa-mir-184	7	0.427408	N
hsa-mir-185	11234	685.928974	N
hsa-mir-186	24759	1511.742519	N
hsa-mir-187	5	0.305292	N
hsa-mir-188	57	3.480323	N
hsa-mir-18a	616	37.611915	Y
hsa-mir-18b	35	2.137041	Y
hsa-mir-1908	19	1.160108	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	1595	97.387993	N
hsa-mir-190b	37	2.259157	N
hsa-mir-191	106076	6476.820528	N
hsa-mir-1910	10	0.610583	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	16	0.976933	N
hsa-mir-1914	2	0.122117	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	43955	2683.817700	Y
hsa-mir-193a	4167	254.429948	N
hsa-mir-193b	316	19.294424	N
hsa-mir-194-1	9140	558.072888	N
hsa-mir-194-2	26649	1627.142711	N
hsa-mir-195	16723	1021.077998	N
hsa-mir-196a-1	6139	374.836921	N
hsa-mir-196a-2	12396	756.878722	N
hsa-mir-196b	6285	383.751433	N
hsa-mir-197	4226	258.032388	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	54	3.297148	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	35137	2145.405586	Y
hsa-mir-199a-2	62179	3796.544210	Y
hsa-mir-199b	84364	5151.122658	Y
hsa-mir-19a	1145	69.911757	N
hsa-mir-19b-1	3746	228.724402	N
hsa-mir-19b-2	3711	226.587362	N
hsa-mir-200a	13753	839.734838	N
hsa-mir-200b	67098	4096.890001	N
hsa-mir-200c	1399	85.420566	N
hsa-mir-202	30	1.831749	N
hsa-mir-203a	850	51.899557	N
hsa-mir-203b	0	0.000000	N
hsa-mir-204	12993	793.330528	N
hsa-mir-205	518	31.628201	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	6	0.366350	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	15142	924.544821	N
hsa-mir-20b	586	35.780165	N
hsa-mir-21	4100634	250377.752455	N
hsa-mir-210	3572	218.100258	N
hsa-mir-211	223	13.616002	N
hsa-mir-2110	329	20.088182	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	4	0.244233	N
hsa-mir-2115	7	0.427408	N
hsa-mir-2116	71	4.335139	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	339	20.698765	N
hsa-mir-214	4533	276.777287	N
hsa-mir-215	75	4.579373	Y
hsa-mir-216a	3	0.183175	N
hsa-mir-216b	8	0.488466	N
hsa-mir-217	39	2.381274	N
hsa-mir-218-1	2467	150.630833	N
hsa-mir-218-2	2410	147.150510	N
hsa-mir-219a-1	13	0.793758	N
hsa-mir-219a-2	2	0.122117	N
