miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	232329	22818.968476	N
hsa-let-7a-2	220688	21675.608792	Y
hsa-let-7a-3	221287	21734.441577	N
hsa-let-7b	53678	5272.163999	N
hsa-let-7c	11183	1098.375685	Y
hsa-let-7d	46604	4577.367470	N
hsa-let-7e	21555	2117.096297	N
hsa-let-7f-1	251385	24690.617143	N
hsa-let-7f-2	272833	26797.204077	N
hsa-let-7g	208564	20484.809650	N
hsa-let-7i	72390	7110.025558	N
hsa-mir-1-1	1419	139.371823	N
hsa-mir-1-2	1486	145.952452	N
hsa-mir-100	138454	13598.721904	Y
hsa-mir-101-1	73762	7244.781119	N
hsa-mir-101-2	80334	7890.272043	N
hsa-mir-103a-1	90848	8922.939659	Y
hsa-mir-103a-2	92302	9065.749124	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	338	33.197799	Y
hsa-mir-106b	19398	1905.239339	N
hsa-mir-107	7440	730.744442	Y
hsa-mir-10a	51764	5084.174099	N
hsa-mir-10b	608657	59781.279545	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	17	1.669712	N
hsa-mir-1180	1626	159.703019	N
hsa-mir-1181	4	0.392873	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.392873	N
hsa-mir-1185-2	4	0.392873	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.392873	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2980	292.690650	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	18	1.767930	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	25	2.455458	N
hsa-mir-1229	13	1.276838	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.392873	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.098218	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	23	2.259022	N
hsa-mir-124-2	29	2.848332	N
hsa-mir-124-3	28	2.750113	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
