miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	223902	23340.156020	N
hsa-let-7a-2	213137	22217.983018	Y
hsa-let-7a-3	213862	22293.558998	N
hsa-let-7b	61531	6414.159499	N
hsa-let-7c	46345	4831.129381	Y
hsa-let-7d	33333	3474.722962	N
hsa-let-7e	18566	1935.370549	N
hsa-let-7f-1	222974	23243.418765	N
hsa-let-7f-2	237426	24749.934718	N
hsa-let-7g	198343	20675.816051	N
hsa-let-7i	72012	7506.727565	N
hsa-mir-1-1	5580	581.674441	N
hsa-mir-1-2	5927	617.846668	N
hsa-mir-100	36391	3793.497234	Y
hsa-mir-101-1	40087	4178.778369	N
hsa-mir-101-2	43281	4511.729653	N
hsa-mir-103a-1	79255	8261.757668	Y
hsa-mir-103a-2	82359	8585.327106	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.104243	N
hsa-mir-106a	235	24.497042	Y
hsa-mir-106b	9536	994.058686	N
hsa-mir-107	8435	879.287438	Y
hsa-mir-10a	88877	9264.781228	N
hsa-mir-10b	305398	31835.521649	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.312728	N
hsa-mir-1180	445	46.388015	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.208485	N
hsa-mir-1185-2	7	0.729699	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.104243	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	369	38.465568	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	29	3.023039	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	10	1.042427	N
hsa-mir-1229	34	3.544253	N
hsa-mir-1231	4	0.416971	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.104243	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	60	6.254564	N
hsa-mir-124-2	58	6.046078	N
hsa-mir-124-3	55	5.733350	N
hsa-mir-1243	1	0.104243	N
hsa-mir-1244-1	1	0.104243	N
hsa-mir-1244-2	1	0.104243	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	0.938185	N
hsa-mir-1245b	5	0.521214	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	201	20.952789	N
hsa-mir-1248	17	1.772126	N
hsa-mir-1249	168	17.512779	N
hsa-mir-1250	18	1.876369	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	0.625456	N
hsa-mir-1254-2	9	0.938185	N
hsa-mir-1255a	23	2.397583	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	155060	16163.877913	N
hsa-mir-125b-1	88397	9214.744717	N
hsa-mir-125b-2	90081	9390.289477	N
hsa-mir-126	90039	9385.911282	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	17	1.772126	N
hsa-mir-1261	0	0.000000	N
