miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	96532	15052.429803	N
hsa-let-7a-2	94365	14714.525114	Y
hsa-let-7a-3	94779	14779.080971	N
hsa-let-7b	35530	5540.264688	N
hsa-let-7c	1945	303.287780	Y
hsa-let-7d	16299	2541.536002	N
hsa-let-7e	8496	1324.798446	N
hsa-let-7f-1	115858	18065.972031	N
hsa-let-7f-2	121415	18932.486269	N
hsa-let-7g	181191	28253.478726	N
hsa-let-7i	62353	9722.829274	N
hsa-mir-1-1	304	47.403334	N
hsa-mir-1-2	296	46.155878	N
hsa-mir-100	39479	6156.040237	Y
hsa-mir-101-1	10725	1672.370920	N
hsa-mir-101-2	11439	1783.706383	N
hsa-mir-103a-1	43509	6784.446280	Y
hsa-mir-103a-2	45292	7062.473072	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	260	40.542325	Y
hsa-mir-106b	8640	1347.252657	N
hsa-mir-107	5273	822.229544	Y
hsa-mir-10a	75893	11834.148832	N
hsa-mir-10b	256177	39946.197216	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.155932	N
hsa-mir-1180	446	69.545681	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	1.091524	N
hsa-mir-1185-2	11	1.715252	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	345	53.796547	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	18	2.806776	N
hsa-mir-1227	2	0.311864	N
hsa-mir-1228	7	1.091524	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	1	0.155932	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	6	0.935592	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.155932	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	2	0.311864	N
hsa-mir-124-3	3	0.467796	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	0	0.000000	N
hsa-mir-1248	82	12.786426	N
hsa-mir-1249	33	5.145757	N
hsa-mir-1250	31	4.833893	N
hsa-mir-1251	16	2.494912	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	0.935592	N
hsa-mir-1254-2	11	1.715252	N
hsa-mir-1255a	5	0.779660	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	45220	7051.245967	N
hsa-mir-125b-1	7331	1143.137642	N
hsa-mir-125b-2	7223	1126.296984	N
hsa-mir-126	62337	9720.334362	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	9	1.403388	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.623728	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1427	222.514993	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	471	73.443982	N
hsa-mir-1270	51	7.952533	N
hsa-mir-1271	465	72.508390	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.155932	N
hsa-mir-1275	1	0.155932	N
hsa-mir-1276	1	0.155932	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	12	1.871184	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2623	409.009690	N
hsa-mir-128-2	1946	303.443712	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	20	3.118640	N
hsa-mir-1285-1	2	0.311864	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	15	2.338980	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	2	0.311864	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	9	1.403388	N
hsa-mir-129-2	14	2.183048	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	24	3.742368	N
hsa-mir-1292	20	3.118640	N
hsa-mir-1293	37	5.769485	N
hsa-mir-1294	21	3.274572	N
hsa-mir-1295a	57	8.888125	N
hsa-mir-1295b	1	0.155932	N
hsa-mir-1296	126	19.647435	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	497	77.498214	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	2	0.311864	N
hsa-mir-1304	8	1.247456	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	18	2.806776	N
hsa-mir-1307	587	91.532096	N
hsa-mir-130a	197	30.718608	N
hsa-mir-130b	1172	182.752328	N
hsa-mir-132	3581	558.392565	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.155932	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	100	15.593202	Y
hsa-mir-133a-2	102	15.905066	N
hsa-mir-133b	2	0.311864	Y
hsa-mir-134	64	9.979649	N
hsa-mir-1343	4	0.623728	N
hsa-mir-135a-1	4363	680.331405	N
hsa-mir-135a-2	4976	775.917734	N
hsa-mir-135b	5914	922.181969	N
hsa-mir-136	25	3.898301	N
hsa-mir-137	4	0.623728	N
hsa-mir-138-1	19	2.962708	N
hsa-mir-138-2	8	1.247456	N
hsa-mir-139	314	48.962654	N
hsa-mir-140	47306	7376.520162	N
hsa-mir-141	8	1.247456	N
hsa-mir-142	7506	1170.425746	N
hsa-mir-143	135169	21077.175279	N
hsa-mir-144	3683	574.297632	N
hsa-mir-145	13898	2167.143221	N
hsa-mir-1468	43	6.705077	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	43328	6756.222584	N
hsa-mir-146b	40499	6315.090898	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	32	4.989825	N
hsa-mir-148a	27606	4304.659358	N
hsa-mir-148b	5393	840.941387	N
hsa-mir-149	133	20.738959	N
hsa-mir-150	3319	517.538376	N
hsa-mir-151a	10747	1675.801424	N
hsa-mir-151b	88	13.722018	N
hsa-mir-152	1100	171.525223	N
hsa-mir-153-1	1	0.155932	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	2	0.311864	N
hsa-mir-1538	3	0.467796	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	56	8.732193	N
hsa-mir-155	6793	1059.246215	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1638	255.416650	N
hsa-mir-15b	17961	2800.695020	N
hsa-mir-16-1	29185	4550.876018	N
hsa-mir-16-2	32169	5016.177167	N
hsa-mir-17	2036	317.477594	Y
hsa-mir-181a-1	8611	1342.730629	N
hsa-mir-181a-2	8862	1381.869566	N
hsa-mir-181b-1	2441	380.630062	N
hsa-mir-181b-2	2833	441.755414	N
hsa-mir-181c	69	10.759309	N
hsa-mir-181d	79	12.318630	N
hsa-mir-182	5334	831.741397	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	2282	355.836871	N
hsa-mir-184	7	1.091524	N
hsa-mir-185	3663	571.178991	N
hsa-mir-186	15239	2376.248060	N
hsa-mir-187	1	0.155932	N
hsa-mir-188	17	2.650844	N
hsa-mir-18a	175	27.288104	N
hsa-mir-18b	10	1.559320	N
hsa-mir-1908	3	0.467796	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	22	3.430504	N
hsa-mir-190b	19	2.962708	N
hsa-mir-191	58444	9113.291006	N
hsa-mir-1910	16	2.494912	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	1	0.155932	N
hsa-mir-1914	1	0.155932	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	37909	5911.226965	Y
hsa-mir-193a	1216	189.613337	N
hsa-mir-193b	3410	531.728190	N
hsa-mir-194-1	3321	517.850240	N
hsa-mir-194-2	11204	1747.062358	N
hsa-mir-195	2372	369.870753	N
hsa-mir-196a-1	3931	612.968773	N
hsa-mir-196a-2	6312	984.242913	N
hsa-mir-196b	2819	439.572366	N
hsa-mir-197	2710	422.575776	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	39	6.081349	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	8497	1324.954378	Y
hsa-mir-199a-2	14728	2296.566798	Y
hsa-mir-199b	20822	3246.816531	Y
hsa-mir-19a	168	26.196579	N
hsa-mir-19b-1	819	127.708325	N
hsa-mir-19b-2	817	127.396461	N
hsa-mir-200a	5622	876.649819	N
hsa-mir-200b	23367	3643.663523	N
hsa-mir-200c	421	65.647381	N
hsa-mir-202	2	0.311864	N
hsa-mir-203a	22	3.430504	N
hsa-mir-203b	0	0.000000	N
hsa-mir-204	156	24.325395	N
hsa-mir-205	207	32.277928	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	1	0.155932	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	6224	970.520896	N
hsa-mir-20b	187	29.159288	N
hsa-mir-21	2012645	313835.801399	N
hsa-mir-210	2245	350.067386	N
hsa-mir-211	12	1.871184	N
hsa-mir-2110	181	28.223696	N
hsa-mir-2113	1	0.155932	N
hsa-mir-2114	10	1.559320	N
hsa-mir-2115	42	6.549145	N
hsa-mir-2116	8	1.247456	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	535	83.423631	N
hsa-mir-214	1046	163.104893	N
hsa-mir-215	115	17.932182	Y
hsa-mir-216a	3	0.467796	N
hsa-mir-216b	17	2.650844	N
