miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	158672	16251.494208	N
hsa-let-7a-2	156743	16053.922284	Y
hsa-let-7a-3	156586	16037.842039	N
hsa-let-7b	44484	4556.137619	N
hsa-let-7c	13073	1338.962034	Y
hsa-let-7d	21549	2207.090405	N
hsa-let-7e	13023	1333.840936	N
hsa-let-7f-1	155965	15974.238014	N
hsa-let-7f-2	163261	16721.508495	N
hsa-let-7g	252876	25900.050730	N
hsa-let-7i	62627	6414.378893	N
hsa-mir-1-1	5615	575.099198	N
hsa-mir-1-2	5938	608.181485	N
hsa-mir-100	67091	6871.590438	Y
hsa-mir-101-1	43115	4415.921982	N
hsa-mir-101-2	45768	4687.647392	N
hsa-mir-103a-1	57318	5870.620809	Y
hsa-mir-103a-2	59435	6087.448058	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.102422	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	265	27.141814	Y
hsa-mir-106b	13515	1384.232531	N
hsa-mir-107	5520	565.369114	Y
hsa-mir-10a	61896	6339.508455	N
hsa-mir-10b	448223	45907.869621	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.716954	N
hsa-mir-1180	561	57.458709	N
hsa-mir-1181	3	0.307266	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.409688	N
hsa-mir-1185-2	1	0.102422	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.409688	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	4302	440.619190	N
hsa-mir-1224	1	0.102422	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	26	2.662970	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	22	2.253283	N
hsa-mir-1229	10	1.024219	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	6	0.614532	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	3	0.307266	N
hsa-mir-124-2	2	0.204844	N
hsa-mir-124-3	4	0.409688	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.102422	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	3	0.307266	N
hsa-mir-1248	5	0.512110	N
hsa-mir-1249	102	10.447038	N
hsa-mir-1250	17	1.741173	N
hsa-mir-1251	3	0.307266	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.409688	N
hsa-mir-1254-2	8	0.819376	N
hsa-mir-1255a	9	0.921797	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	166986	17103.030225	N
hsa-mir-125b-1	36470	3735.328185	N
hsa-mir-125b-2	37341	3824.537696	N
hsa-mir-126	110890	11357.569028	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	17	1.741173	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	11	1.126641	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	1	0.102422	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.102422	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	610	62.477384	N
hsa-mir-1270	263	26.936970	N
hsa-mir-1271	4391	449.734743	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.102422	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.102422	N
hsa-mir-1275	2	0.204844	N
hsa-mir-1276	4	0.409688	N
hsa-mir-1277	7	0.716954	N
hsa-mir-1278	24	2.458127	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3159	323.550911	N
hsa-mir-128-2	2106	215.700608	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	25	2.560549	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	26	2.662970	N
hsa-mir-1288	1	0.102422	N
hsa-mir-1289-1	3	0.307266	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	25	2.560549	N
hsa-mir-129-2	25	2.560549	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	20	2.048439	N
hsa-mir-1292	44	4.506565	N
hsa-mir-1293	3	0.307266	N
hsa-mir-1294	13	1.331485	N
hsa-mir-1295a	40	4.096878	N
hsa-mir-1295b	4	0.409688	N
hsa-mir-1296	193	19.767435	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	4	0.409688	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	653	66.881527	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	8	0.819376	N
hsa-mir-1304	11	1.126641	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	67	6.862270	N
hsa-mir-1307	820	83.985992	N
hsa-mir-130a	568	58.175662	N
hsa-mir-130b	642	65.754886	N
hsa-mir-132	1120	114.712574	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	877	89.824042	Y
hsa-mir-133a-2	754	77.226143	Y
hsa-mir-133b	5	0.512110	Y
hsa-mir-134	36	3.687190	N
hsa-mir-1343	7	0.716954	N
hsa-mir-135a-1	1942	198.903409	N
hsa-mir-135a-2	2212	226.557333	N
hsa-mir-135b	618	63.296759	N
hsa-mir-136	98	10.037350	N
hsa-mir-137	3	0.307266	N
hsa-mir-138-1	13	1.331485	N
hsa-mir-138-2	10	1.024219	N
hsa-mir-139	1933	197.981612	N
hsa-mir-140	62405	6391.641222	N
hsa-mir-141	9	0.921797	N
hsa-mir-142	8516	872.225249	N
hsa-mir-143	608873	62361.954428	N
hsa-mir-144	4790	490.601097	N
hsa-mir-145	47729	4888.496818	N
hsa-mir-1468	167	17.104464	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	5201	532.696515	N
hsa-mir-146b	98688	10107.816505	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	20	2.048439	N
hsa-mir-148a	33456	3426.628455	N
hsa-mir-148b	5998	614.326802	N
hsa-mir-149	153	15.670557	N
hsa-mir-150	7749	793.667620	N
hsa-mir-151a	23282	2384.587628	N
hsa-mir-151b	235	24.069156	N
hsa-mir-152	4866	498.385164	N
hsa-mir-153-1	2	0.204844	N
hsa-mir-153-2	1	0.102422	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	9	0.921797	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	56	5.735629	N
hsa-mir-155	25761	2638.491620	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1720	176.165738	N
hsa-mir-15b	11586	1186.660607	N
hsa-mir-16-1	29035	2973.821054	N
hsa-mir-16-2	30551	3129.092717	N
hsa-mir-17	2184	223.689519	Y
hsa-mir-181a-1	20244	2073.429772	N
hsa-mir-181a-2	20347	2083.979232	N
hsa-mir-181b-1	4947	506.681342	N
hsa-mir-181b-2	5693	583.088110	N
hsa-mir-181c	809	82.859350	N
hsa-mir-181d	566	57.970819	N
hsa-mir-182	1832	187.636996	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	1051	107.645460	N
hsa-mir-184	4	0.409688	N
hsa-mir-185	3175	325.189662	N
hsa-mir-186	13567	1389.558472	N
hsa-mir-187	10	1.024219	N
hsa-mir-188	13	1.331485	N
hsa-mir-18a	240	24.581266	N
