miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	96391	13381.141601	N
hsa-let-7a-2	93374	12962.317186	Y
hsa-let-7a-3	93692	13006.462418	N
hsa-let-7b	26424	3668.218876	N
hsa-let-7c	21347	2963.422205	Y
hsa-let-7d	21009	2916.500544	N
hsa-let-7e	10568	1467.065436	N
hsa-let-7f-1	134529	18675.515333	N
hsa-let-7f-2	142886	19835.646469	N
hsa-let-7g	134348	18650.388645	N
hsa-let-7i	63309	8788.649289	N
hsa-mir-1-1	591	82.043497	N
hsa-mir-1-2	630	87.457535	N
hsa-mir-100	19036	2642.605757	Y
hsa-mir-101-1	20571	2855.696734	N
hsa-mir-101-2	22063	3062.818387	N
hsa-mir-103a-1	59165	8213.373062	Y
hsa-mir-103a-2	61774	8575.558312	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	4	0.555286	N
hsa-mir-105-2	1	0.138821	N
hsa-mir-106a	262	36.371229	Y
hsa-mir-106b	11038	1532.311533	N
hsa-mir-107	6904	958.423521	Y
hsa-mir-10a	63370	8797.117400	N
hsa-mir-10b	183149	25425.015853	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	9	1.249393	N
hsa-mir-1180	332	46.088732	N
hsa-mir-1181	1	0.138821	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.416464	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.416464	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
