miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	221191	28672.300510	N
hsa-let-7a-2	213487	27673.654982	Y
hsa-let-7a-3	214678	27828.040603	N
hsa-let-7b	73820	9569.056714	N
hsa-let-7c	17958	2327.839616	Y
hsa-let-7d	44672	5790.692245	N
hsa-let-7e	18930	2453.836949	N
hsa-let-7f-1	147501	19120.095291	N
hsa-let-7f-2	161055	20877.058102	N
hsa-let-7g	136997	17758.494482	N
hsa-let-7i	39325	5097.577286	N
hsa-mir-1-1	268	34.740005	N
hsa-mir-1-2	256	33.184483	N
hsa-mir-100	53220	6898.742865	Y
hsa-mir-101-1	28714	3722.106401	N
hsa-mir-101-2	30968	4014.285401	N
hsa-mir-103a-1	72656	9418.171019	Y
hsa-mir-103a-2	75063	9730.182933	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	449	58.202472	Y
hsa-mir-106b	12772	1655.594586	N
hsa-mir-107	14915	1933.385003	Y
hsa-mir-10a	25835	3348.910596	N
hsa-mir-10b	349155	45259.875333	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	12	1.555523	N
hsa-mir-1180	934	121.071511	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	10	1.296269	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.388881	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1594	206.625256	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.259254	N
hsa-mir-1226	46	5.962837	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	27	3.499926	N
hsa-mir-1229	25	3.240672	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	11	1.425896	N
hsa-mir-124-2	6	0.777761	N
hsa-mir-124-3	10	1.296269	N
hsa-mir-1243	2	0.259254	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	65	8.425748	N
hsa-mir-1248	18	2.333284	N
hsa-mir-1249	268	34.740005	N
hsa-mir-1250	5	0.648134	N
hsa-mir-1251	1	0.129627	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	0.907388	N
hsa-mir-1254-2	7	0.907388	N
hsa-mir-1255a	16	2.074030	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	4	0.518508	N
hsa-mir-1257	2	0.259254	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	244294	31667.070454	N
hsa-mir-125b-1	43352	5619.584756	N
hsa-mir-125b-2	43075	5583.678108	N
hsa-mir-126	126300	16371.875684	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	14	1.814776	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	15	1.944403	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.388881	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.129627	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	992	128.589871	N
hsa-mir-1270	487	63.128293	N
hsa-mir-1271	1288	166.959429	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	8	1.037015	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	3	0.388881	N
hsa-mir-1275	1	0.129627	N
hsa-mir-1276	1	0.129627	N
hsa-mir-1277	5	0.648134	N
hsa-mir-1278	15	1.944403	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3712	481.175000	N
hsa-mir-128-2	2304	298.660345	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	3	0.388881	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.129627	N
hsa-mir-1287	45	5.833210	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	8	1.037015	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	3	0.388881	N
hsa-mir-129-2	8	1.037015	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	76	9.851643	N
hsa-mir-1292	34	4.407314	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	68	8.814628	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	191	24.758735	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1091	141.422932	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	5	0.648134	N
hsa-mir-1302-5	4	0.518508	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	3	0.388881	N
hsa-mir-1304	27	3.499926	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	252	32.665975	N
hsa-mir-1307	1190	154.255994	N
hsa-mir-130a	769	99.683075	N
hsa-mir-130b	917	118.867854	N
hsa-mir-132	1166	151.144949	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	3	0.388881	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	80	10.370151	N
hsa-mir-133a-2	94	12.184927	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	49	6.351717	N
hsa-mir-1343	25	3.240672	N
hsa-mir-135a-1	893	115.756809	N
hsa-mir-135a-2	914	118.478974	N
hsa-mir-135b	1187	153.867114	N
hsa-mir-136	102	13.221942	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	1	0.129627	N
hsa-mir-139	5184	671.985776	N
hsa-mir-140	46493	6026.742804	N
hsa-mir-141	14	1.814776	N
hsa-mir-142	1970	255.364965	N
hsa-mir-143	195258	25310.686479	N
hsa-mir-144	420	54.443292	N
hsa-mir-145	45791	5935.744730	N
hsa-mir-1468	415	53.795158	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	6216	805.760723	N
hsa-mir-146b	49339	6395.660921	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	12	1.555523	N
hsa-mir-148a	25395	3291.874766	N
hsa-mir-148b	6319	819.112292	N
hsa-mir-149	153	19.832914	N
hsa-mir-150	4197	544.044040	N
hsa-mir-151a	29505	3824.641267	N
hsa-mir-151b	268	34.740005	N
hsa-mir-152	1390	180.181371	N
hsa-mir-153-1	4	0.518508	N
hsa-mir-153-2	2	0.259254	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	3	0.388881	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	55	7.129479	N
hsa-mir-155	6925	897.666185	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2685	348.048189	N
hsa-mir-15b	28136	3647.182061	N
hsa-mir-16-1	35837	4645.438709	N
hsa-mir-16-2	37992	4924.784648	N
hsa-mir-17	3050	395.362002	Y
hsa-mir-181a-1	58676	7605.987155	N
hsa-mir-181a-2	59606	7726.540159	N
hsa-mir-181b-1	8660	1122.568832	N
hsa-mir-181b-2	10432	1352.267673	N
hsa-mir-181c	453	58.720979	N
hsa-mir-181d	199	25.795750	N
hsa-mir-182	1481	191.977418	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	1074	139.219275	N
hsa-mir-184	23	2.981418	N
hsa-mir-185	2506	324.844976	N
hsa-mir-186	14477	1876.608427	N
hsa-mir-187	3	0.388881	N
hsa-mir-188	24	3.111045	N
hsa-mir-18a	238	30.851199	Y
hsa-mir-18b	2	0.259254	Y
hsa-mir-1908	15	1.944403	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	1686	218.550930	N
hsa-mir-190b	43	5.573956	N
hsa-mir-191	61193	7932.258026	N
hsa-mir-1910	1	0.129627	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	2	0.259254	N
hsa-mir-1914	2	0.259254	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	136778	17730.106194	Y
hsa-mir-193a	4776	619.098007	N
hsa-mir-193b	964	124.960318	N
hsa-mir-194-1	22630	2933.456427	N
hsa-mir-194-2	84141	10906.935803	N
hsa-mir-195	16068	2082.844802	N
hsa-mir-196a-1	773	100.201583	N
hsa-mir-196a-2	2319	300.604748	N
hsa-mir-196b	671	86.979640	N
hsa-mir-197	3771	488.822987	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	39	5.055449	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	4213	546.118070	Y
hsa-mir-199a-2	7016	909.462231	Y
hsa-mir-199b	8761	1135.661147	Y
hsa-mir-19a	541	70.128145	N
hsa-mir-19b-1	1883	244.087426	N
hsa-mir-19b-2	1903	246.679964	N
hsa-mir-200a	15814	2049.919573	N
hsa-mir-200b	34894	4523.200555	N
hsa-mir-200c	675	87.498148	N
hsa-mir-202	7	0.907388	N
hsa-mir-203a	1237	160.348458	N
hsa-mir-203b	0	0.000000	N
hsa-mir-204	128440	16649.277220	N
hsa-mir-205	158	20.481048	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	7649	991.516050	N
hsa-mir-20b	278	36.036274	N
hsa-mir-21	834969	108234.431260	N
hsa-mir-210	2930	379.806776	N
hsa-mir-211	161	20.869929	N
hsa-mir-2110	336	43.554634	N
hsa-mir-2113	3	0.388881	N
hsa-mir-2114	20	2.592538	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	24	3.111045	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	81	10.499778	N
hsa-mir-214	2110	273.512729	N
hsa-mir-215	78	10.110897	Y
hsa-mir-216a	0	0.000000	N
hsa-mir-216b	3	0.388881	N
