miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	206551	24794.651344	N
hsa-let-7a-2	205226	24635.596616	N
hsa-let-7a-3	207583	24918.533969	N
hsa-let-7b	56144	6739.598961	N
hsa-let-7c	94777	11377.154651	N
hsa-let-7d	2097	251.726614	N
hsa-let-7e	33995	4080.804123	N
hsa-let-7f-1	35502	4261.706368	N
hsa-let-7f-2	36893	4428.683822	N
hsa-let-7g	5405	648.823247	N
hsa-let-7i	3054	366.606142	N
hsa-mir-1-1	60	7.202478	N
hsa-mir-1-2	47	5.641941	N
hsa-mir-100	119479	14342.414938	Y
hsa-mir-101-1	32535	3905.543820	N
hsa-mir-101-2	33403	4009.739671	N
hsa-mir-103a-1	329357	39536.443700	Y
hsa-mir-103a-2	329039	39498.270565	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.240083	N
hsa-mir-105-2	1	0.120041	N
hsa-mir-106a	99	11.884089	Y
hsa-mir-106b	12484	1498.595637	N
hsa-mir-107	2181	261.810084	Y
hsa-mir-10a	321075	38542.261621	N
hsa-mir-10b	194605	23360.637928	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.120041	N
hsa-mir-1180	982	117.880560	N
hsa-mir-1181	5	0.600207	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.360124	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.120041	N
hsa-mir-1225	2	0.240083	N
hsa-mir-1226	34	4.081404	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	21	2.520867	N
hsa-mir-1229	1	0.120041	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	2	0.240083	N
hsa-mir-1237	0	0.000000	N
