miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	151821	14330.974808	N
hsa-let-7a-2	148828	14048.453894	Y
hsa-let-7a-3	149090	14073.185093	N
hsa-let-7b	63210	5966.637801	N
hsa-let-7c	9665	912.316949	Y
hsa-let-7d	17195	1623.102942	N
hsa-let-7e	6301	594.775902	N
hsa-let-7f-1	124021	11706.824659	N
hsa-let-7f-2	130511	12319.441007	N
hsa-let-7g	186991	17650.807927	N
hsa-let-7i	63463	5990.519455	N
hsa-mir-1-1	342	32.282710	N
hsa-mir-1-2	328	30.961196	N
hsa-mir-100	181155	17099.925183	Y
hsa-mir-101-1	52007	4909.143049	N
hsa-mir-101-2	55197	5210.259559	N
hsa-mir-103a-1	40259	3800.203626	Y
hsa-mir-103a-2	41973	3961.994754	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	280	26.430289	Y
hsa-mir-106b	13575	1281.397060	N
hsa-mir-107	5395	509.255038	Y
hsa-mir-10a	141190	13327.473361	N
hsa-mir-10b	324040	30587.396188	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	9	0.849545	N
hsa-mir-1180	427	40.306191	N
hsa-mir-1181	1	0.094394	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.094394	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2062	194.640202	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	36	3.398180	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	40	3.775756	N
hsa-mir-1229	10	0.943939	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.283182	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	4	0.377576	N
hsa-mir-124-2	4	0.377576	N
hsa-mir-124-3	3	0.283182	N
hsa-mir-1243	1	0.094394	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	2	0.188788	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	7	0.660757	N
hsa-mir-1248	75	7.079542	N
hsa-mir-1249	179	16.896506	N
hsa-mir-1250	17	1.604696	N
hsa-mir-1251	6	0.566363	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	12	1.132727	N
hsa-mir-1254-2	9	0.849545	N
hsa-mir-1255a	27	2.548635	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.094394	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	132310	12489.255615	N
hsa-mir-125b-1	58188	5492.591684	N
hsa-mir-125b-2	58252	5498.632893	N
hsa-mir-126	69830	6591.525354	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.094394	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	25	2.359847	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.283182	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	137	12.931963	N
hsa-mir-1269b	1	0.094394	N
hsa-mir-127	287	27.091046	N
hsa-mir-1270	579	54.654062	N
hsa-mir-1271	7209	680.485555	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	3	0.283182	N
hsa-mir-1275	25	2.359847	N
hsa-mir-1276	4	0.377576	N
hsa-mir-1277	1	0.094394	N
hsa-mir-1278	12	1.132727	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3080	290.733182	N
hsa-mir-128-2	2289	216.067615	N
hsa-mir-1281	1	0.094394	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	17	1.604696	N
