miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	151329	18721.558859	N
hsa-let-7a-2	146789	18159.896011	Y
hsa-let-7a-3	147548	18253.795152	N
hsa-let-7b	46246	5721.290771	N
hsa-let-7c	30699	3797.904800	Y
hsa-let-7d	22672	2804.850243	N
hsa-let-7e	12819	1585.893405	N
hsa-let-7f-1	154941	19168.414853	N
hsa-let-7f-2	165514	20476.445976	N
hsa-let-7g	196323	24287.959346	N
hsa-let-7i	62244	7700.471883	N
hsa-mir-1-1	1074	132.869141	N
hsa-mir-1-2	1156	143.013712	N
hsa-mir-100	43859	5425.984775	Y
hsa-mir-101-1	44850	5548.585630	N
hsa-mir-101-2	46875	5799.107055	N
hsa-mir-103a-1	66030	8168.854162	Y
hsa-mir-103a-2	69603	8610.885298	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	473	58.516856	Y
hsa-mir-106b	18455	2283.147108	N
hsa-mir-107	10001	1237.266553	Y
hsa-mir-10a	112050	13862.185504	N
hsa-mir-10b	296933	36734.853444	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.618571	N
hsa-mir-1180	802	99.218856	N
hsa-mir-1181	4	0.494857	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.618571	N
hsa-mir-1185-2	3	0.371143	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.247429	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3415	422.484279	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	45	5.567143	N
hsa-mir-1227	2	0.247429	N
hsa-mir-1228	13	1.608286	N
hsa-mir-1229	10	1.237143	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.618571	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.247429	N
hsa-mir-124-2	8	0.989714	N
hsa-mir-124-3	6	0.742286	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.123714	N
hsa-mir-1245b	1	0.123714	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	60	7.422857	N
hsa-mir-1248	20	2.474286	N
hsa-mir-1249	115	14.227143	N
hsa-mir-1250	9	1.113429	N
hsa-mir-1251	2	0.247429	N
hsa-mir-1252	1	0.123714	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	11	1.360857	N
hsa-mir-1254-2	8	0.989714	N
hsa-mir-1255a	24	2.969143	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	5	0.618571	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.123714	N
hsa-mir-125a	161557	19986.908554	N
hsa-mir-125b-1	42747	5288.414491	N
hsa-mir-125b-2	43873	5427.716775	N
hsa-mir-126	131497	16268.057182	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	4	0.494857	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.618571	N
hsa-mir-1263	3	0.371143	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	140	17.320000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	398	49.238285	N
hsa-mir-1270	268	33.155428	N
hsa-mir-1271	1345	166.395712	N
hsa-mir-1272	2	0.247429	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.123714	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.247429	N
hsa-mir-1276	1	0.123714	N
hsa-mir-1277	3	0.371143	N
hsa-mir-1278	16	1.979429	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	16241	2009.243684	N
hsa-mir-128-2	8423	1042.045413	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	14	1.732000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.123714	N
hsa-mir-1287	53	6.556857	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	5	0.618571	N
hsa-mir-1289-2	1	0.123714	N
hsa-mir-129-1	1	0.123714	N
hsa-mir-129-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	65	8.041428	N
hsa-mir-1292	25	3.092857	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	6	0.742286	N
hsa-mir-1295a	24	2.969143	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	242	29.938857	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	3	0.371143	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	987	122.105998	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	1	0.123714	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	5	0.618571	N
hsa-mir-1304	24	2.969143	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	76	9.402286	N
hsa-mir-1307	1400	173.199997	N
hsa-mir-130a	449	55.547713	N
hsa-mir-130b	986	121.982284	N
hsa-mir-132	1282	158.601712	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	2	0.247429	N
hsa-mir-1324	0	0.000000	N
