miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	192693	20591.241213	N
hsa-let-7a-2	189576	20258.157505	Y
hsa-let-7a-3	189840	20286.368637	N
hsa-let-7b	46313	4949.023339	N
hsa-let-7c	13878	1483.007922	Y
hsa-let-7d	37044	3958.534765	N
hsa-let-7e	15047	1607.927670	N
hsa-let-7f-1	220230	23533.854641	N
hsa-let-7f-2	234869	25098.183289	N
hsa-let-7g	209133	22348.025349	N
hsa-let-7i	69829	7461.951304	N
hsa-mir-1-1	2132	227.826264	N
hsa-mir-1-2	2313	247.167987	N
hsa-mir-100	32706	3494.974572	Y
hsa-mir-101-1	31040	3316.945230	N
hsa-mir-101-2	33791	3610.918050	N
hsa-mir-103a-1	63245	6758.382767	Y
hsa-mir-103a-2	65290	6976.912180	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	434	46.377391	Y
hsa-mir-106b	15880	1696.942341	N
hsa-mir-107	6889	736.160944	Y
hsa-mir-10a	125647	13426.682260	N
hsa-mir-10b	391887	41877.181554	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	12	1.282324	N
hsa-mir-1180	681	72.771898	N
hsa-mir-1181	2	0.213721	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
