miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	243371	17145.170678	N
hsa-let-7a-2	239511	16873.238694	Y
hsa-let-7a-3	240908	16971.655529	N
hsa-let-7b	70968	4999.603374	N
hsa-let-7c	26379	1858.366269	Y
hsa-let-7d	43045	3032.464311	N
hsa-let-7e	17833	1256.311675	N
hsa-let-7f-1	286726	20199.474086	N
hsa-let-7f-2	299555	21103.260464	N
hsa-let-7g	304234	21432.889934	N
hsa-let-7i	110062	7753.724869	N
hsa-mir-1-1	1564	110.181768	N
hsa-mir-1-2	1685	118.706060	N
hsa-mir-100	161019	11343.579298	Y
hsa-mir-101-1	106247	7484.963077	N
hsa-mir-101-2	112611	7933.298607	N
hsa-mir-103a-1	75953	5350.790146	Y
hsa-mir-103a-2	79198	5579.396179	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	672	47.341527	Y
hsa-mir-106b	35127	2474.651501	N
hsa-mir-107	8390	591.064597	Y
hsa-mir-10a	131913	9293.099423	N
hsa-mir-10b	402891	28383.147375	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	17	1.197628	N
hsa-mir-1180	765	53.893256	N
hsa-mir-1181	1	0.070449	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.070449	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	0.352244	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	7908	557.108323	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	61	4.297371	N
hsa-mir-1227	3	0.211346	N
hsa-mir-1228	64	4.508717	N
hsa-mir-1229	11	0.774936	N
hsa-mir-1231	1	0.070449	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	6	0.422692	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	65	4.579166	N
hsa-mir-124-2	66	4.649614	N
hsa-mir-124-3	52	3.663332	N
hsa-mir-1243	1	0.070449	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.140897	N
hsa-mir-1245b	4	0.281795	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	29	2.043012	N
hsa-mir-1248	139	9.792369	N
hsa-mir-1249	273	19.232495	N
hsa-mir-1250	24	1.690769	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	28	1.972564	N
hsa-mir-1254-2	22	1.549871	N
hsa-mir-1255a	36	2.536153	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	4	0.281795	N
hsa-mir-1257	2	0.140897	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	242496	17083.528065	N
hsa-mir-125b-1	67964	4787.975478	N
hsa-mir-125b-2	68607	4833.273992	N
hsa-mir-126	132976	9367.986392	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	26	1.831666	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	67	4.720063	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	2	0.140897	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	0.422692	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	15	1.056731	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	247	17.400829	N
hsa-mir-1270	1303	91.794657	N
hsa-mir-1271	5121	360.767795	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
