miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	242443	29329.750190	N
hsa-let-7a-2	237214	28697.167423	Y
hsa-let-7a-3	240736	29123.244398	N
hsa-let-7b	93978	11369.069279	N
hsa-let-7c	4458	539.310380	Y
hsa-let-7d	95470	11549.565261	N
hsa-let-7e	62588	7571.637065	N
hsa-let-7f-1	205173	24820.979924	N
hsa-let-7f-2	214694	25972.791078	N
hsa-let-7g	222786	26951.727729	N
hsa-let-7i	89164	10786.691494	N
hsa-mir-1-1	547	66.173795	N
hsa-mir-1-2	569	68.835264	N
hsa-mir-100	17421	2107.520440	N
hsa-mir-101-1	27558	3333.852723	N
hsa-mir-101-2	29686	3591.289351	N
hsa-mir-103a-1	91033	11012.795375	Y
hsa-mir-103a-2	93568	11319.469177	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1273	154.002269	Y
hsa-mir-106b	49959	6043.832941	N
hsa-mir-107	10482	1268.068954	Y
hsa-mir-10a	368581	44589.403095	N
hsa-mir-10b	1382080	167198.315242	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	16	1.935614	N
hsa-mir-1180	2378	287.680593	N
hsa-mir-1181	2	0.241952	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	17	2.056590	N
hsa-mir-1185-2	3	0.362928	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	18	2.177565	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	110	13.307344	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.241952	N
hsa-mir-1226	151	18.267355	N
hsa-mir-1227	6	0.725855	N
hsa-mir-1228	35	4.234155	N
hsa-mir-1229	42	5.080986	N
hsa-mir-1231	1	0.120976	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.604879	N
hsa-mir-1236	4	0.483903	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.120976	N
hsa-mir-124-1	1	0.120976	N
hsa-mir-124-2	2	0.241952	N
hsa-mir-124-3	3	0.362928	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	11	1.330734	N
hsa-mir-1245b	3	0.362928	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	31	3.750252	N
hsa-mir-1248	176	21.291751	N
hsa-mir-1249	85	10.282948	N
hsa-mir-1250	111	13.428320	N
hsa-mir-1251	2	0.241952	N
hsa-mir-1252	9	1.088783	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	23	2.782445	N
hsa-mir-1254-2	21	2.540493	N
hsa-mir-1255a	43	5.201962	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.120976	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	279122	33767.023723	N
hsa-mir-125b-1	20410	2469.117283	N
hsa-mir-125b-2	20240	2448.551387	N
hsa-mir-126	36507	4416.465685	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	24	2.903421	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	12	1.451710	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
