miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	186570	12080.073072	N
hsa-let-7a-2	185929	12038.569471	Y
hsa-let-7a-3	187572	12144.950776	N
hsa-let-7b	63624	4119.539954	N
hsa-let-7c	70909	4591.230645	Y
hsa-let-7d	44980	2912.374373	N
hsa-let-7e	77832	5039.482486	N
hsa-let-7f-1	206326	13359.238659	N
hsa-let-7f-2	217796	14101.900599	N
hsa-let-7g	311268	20154.045050	N
hsa-let-7i	206405	13364.353768	N
hsa-mir-1-1	21578	1397.136821	N
hsa-mir-1-2	22079	1429.575673	N
hsa-mir-100	121383	7859.331670	Y
hsa-mir-101-1	61735	3997.230590	N
hsa-mir-101-2	62653	4056.669444	N
hsa-mir-103a-1	142385	9219.173524	Y
hsa-mir-103a-2	144823	9377.029654	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.064748	N
hsa-mir-105-2	2	0.129496	N
hsa-mir-106a	1487	96.280585	Y
hsa-mir-106b	80219	5194.036457	N
hsa-mir-107	10181	659.201501	Y
hsa-mir-10a	1516614	98198.037961	N
hsa-mir-10b	1007641	65242.948548	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	68	4.402878	N
hsa-mir-1180	1977	128.007206	N
hsa-mir-1181	5	0.323741	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	755	48.884897	N
hsa-mir-1185-2	255	16.510793	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	204	13.208634	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	21	1.359712	N
hsa-mir-1224	5	0.323741	N
