miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	236596	16514.098295	N
hsa-let-7a-2	234158	16343.929012	Y
hsa-let-7a-3	233950	16329.410878	N
hsa-let-7b	83723	5843.758354	N
hsa-let-7c	8458	590.357586	Y
hsa-let-7d	46781	3265.253987	N
hsa-let-7e	15759	1099.958051	N
hsa-let-7f-1	256944	17934.362678	N
hsa-let-7f-2	268007	18706.545933	N
hsa-let-7g	303243	21165.973682	N
hsa-let-7i	93704	6540.419393	N
hsa-mir-1-1	2170	151.463225	N
hsa-mir-1-2	2406	167.935724	N
hsa-mir-100	45757	3193.780096	Y
hsa-mir-101-1	36563	2552.050652	N
hsa-mir-101-2	37664	2628.899044	N
hsa-mir-103a-1	111610	7790.235298	Y
hsa-mir-103a-2	117242	8183.341698	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.209396	N
hsa-mir-105-2	1	0.069799	N
hsa-mir-106a	378	26.383917	Y
hsa-mir-106b	25024	1746.643205	N
hsa-mir-107	18725	1306.981059	Y
hsa-mir-10a	81315	5675.683033	N
hsa-mir-10b	238862	16672.262198	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	15	1.046981	N
hsa-mir-1180	642	44.810779	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.418792	N
hsa-mir-1185-2	4	0.279195	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5262	367.280872	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	128	8.934236	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	143	9.981217	N
hsa-mir-1229	85	5.932891	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	12	0.837585	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.069799	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	128	8.934236	N
hsa-mir-124-2	141	9.841620	N
hsa-mir-124-3	142	9.911418	N
hsa-mir-1243	4	0.279195	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.139597	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	0	0.000000	N
hsa-mir-1248	20	1.395974	N
hsa-mir-1249	439	30.641639	N
hsa-mir-1250	66	4.606716	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	43	3.001345	N
hsa-mir-1254-2	39	2.722150	N
hsa-mir-1255a	27	1.884565	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	10	0.697987	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	214474	14970.010979	N
hsa-mir-125b-1	38262	2670.638679	N
hsa-mir-125b-2	38324	2674.966200	N
hsa-mir-126	106989	7467.695407	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	34	2.373157	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
