miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	266027	20451.924750	N
hsa-let-7a-2	261019	20066.914059	Y
hsa-let-7a-3	261220	20082.366764	N
hsa-let-7b	112734	8666.892025	N
hsa-let-7c	38863	2987.753692	Y
hsa-let-7d	39268	3018.889741	N
hsa-let-7e	30322	2331.129029	N
hsa-let-7f-1	201013	15453.704886	N
hsa-let-7f-2	212257	16318.133842	N
hsa-let-7g	250482	19256.838649	Y
hsa-let-7i	117097	9002.315676	Y
hsa-mir-1-1	4221	324.506815	N
hsa-mir-1-2	4497	345.725455	N
hsa-mir-100	194046	14918.087976	Y
hsa-mir-101-1	13540	1040.943442	N
hsa-mir-101-2	14329	1101.601077	N
hsa-mir-103a-1	96375	7409.226311	Y
hsa-mir-103a-2	100660	7738.653390	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.153758	N
hsa-mir-105-2	2	0.153758	N
hsa-mir-106a	293	22.525586	Y
hsa-mir-106b	12572	966.524443	N
hsa-mir-107	11202	861.200033	Y
hsa-mir-10a	182255	14011.606135	N
hsa-mir-10b	440275	33847.959678	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.230637	N
hsa-mir-1180	624	47.972578	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	38	2.921407	N
hsa-mir-1185-2	22	1.691341	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.076879	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	17481	1343.924100	N
hsa-mir-1224	3	0.230637	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	21	1.614462	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	56	4.305231	N
hsa-mir-1229	13	0.999429	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.384396	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	200	15.375826	N
hsa-mir-124-2	237	18.220354	N
hsa-mir-124-3	200	15.375826	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	14	1.076308	N
hsa-mir-1245b	6	0.461275	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	2915	224.102669	N
hsa-mir-1248	16	1.230066	N
hsa-mir-1249	163	12.531298	N
hsa-mir-1250	29	2.229495	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	10	0.768791	N
hsa-mir-1254-2	13	0.999429	N
hsa-mir-1255a	16	1.230066	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.153758	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	348593	26799.527132	N
hsa-mir-125b-1	220158	16925.555861	N
hsa-mir-125b-2	220925	16984.522155	N
hsa-mir-126	125212	9626.189829	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	20	1.537583	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	0.538154	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.230637	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
