miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	167572	16480.973933	N
hsa-let-7a-2	164818	16210.113632	Y
hsa-let-7a-3	164801	16208.441655	N
hsa-let-7b	73140	7193.435857	N
hsa-let-7c	13250	1303.158670	Y
hsa-let-7d	24578	2417.285569	N
hsa-let-7e	19418	1909.791324	N
hsa-let-7f-1	146019	14361.201947	N
hsa-let-7f-2	154135	15159.423514	N
hsa-let-7g	170453	16764.324886	N
hsa-let-7i	87132	8569.571412	N
hsa-mir-1-1	3550	349.148172	N
hsa-mir-1-2	3668	360.753660	N
hsa-mir-100	69642	6849.401968	Y
hsa-mir-101-1	6935	682.068330	N
hsa-mir-101-2	7561	743.636430	N
hsa-mir-103a-1	40006	3934.654018	Y
hsa-mir-103a-2	41187	4050.807255	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	186	18.293397	Y
hsa-mir-106b	7096	697.902937	N
hsa-mir-107	3807	374.424533	Y
hsa-mir-10a	249905	24578.556027	N
hsa-mir-10b	213620	21009.868304	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	12	1.180219	N
hsa-mir-1180	209	20.555484	N
hsa-mir-1181	2	0.196703	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.590110	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.393406	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	14	1.376922	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	6	0.590110	N
hsa-mir-1226	10	0.983516	N
hsa-mir-1227	1	0.098352	N
hsa-mir-1228	5	0.491758	N
hsa-mir-1229	2	0.196703	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.098352	N
hsa-mir-1236	2	0.196703	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.098352	N
hsa-mir-124-3	2	0.196703	N
hsa-mir-1243	4	0.393406	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.295055	N
hsa-mir-1245b	6	0.590110	N
hsa-mir-1246	7	0.688461	N
hsa-mir-1247	14	1.376922	N
hsa-mir-1248	58	5.704393	N
hsa-mir-1249	60	5.901096	N
hsa-mir-1250	15	1.475274	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	0.590110	N
hsa-mir-1254-2	14	1.376922	N
hsa-mir-1255a	18	1.770329	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.196703	N
hsa-mir-125a	130386	12823.671420	N
hsa-mir-125b-1	38946	3830.401325	N
hsa-mir-125b-2	39831	3917.442489	N
hsa-mir-126	11711	1151.795561	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	34	3.343954	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.196703	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	4	0.393406	N
hsa-mir-1266	7	0.688461	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	495	48.684041	N
hsa-mir-1269b	355	34.914817	N
hsa-mir-127	2095	206.046597	N
hsa-mir-1270	95	9.343402	N
hsa-mir-1271	3948	388.292108	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	4	0.393406	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.098352	N
hsa-mir-1276	4	0.393406	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	10	0.983516	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2247	220.996040	N
hsa-mir-128-2	1506	148.117506	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	7	0.688461	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	25	2.458790	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	3	0.295055	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	9	0.885164	N
hsa-mir-129-2	5	0.491758	N
