miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	129613	11317.761795	N
hsa-let-7a-2	128590	11228.433793	Y
hsa-let-7a-3	128335	11206.167282	N
hsa-let-7b	55107	4811.923952	N
hsa-let-7c	12900	1126.423485	Y
hsa-let-7d	22134	1932.733133	N
hsa-let-7e	9517	831.021109	N
hsa-let-7f-1	154113	13457.093220	N
hsa-let-7f-2	161652	14115.396061	N
hsa-let-7g	189831	16575.976478	N
hsa-let-7i	75019	6550.632823	N
hsa-mir-1-1	1314	114.738020	N
hsa-mir-1-2	1358	118.580085	N
hsa-mir-100	115557	10090.396794	Y
hsa-mir-101-1	24008	2096.370157	N
hsa-mir-101-2	25166	2197.486312	N
hsa-mir-103a-1	54345	4745.386379	Y
hsa-mir-103a-2	56712	4952.071991	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	411	35.888376	Y
hsa-mir-106b	16706	1458.762073	N
hsa-mir-107	5357	467.771365	Y
hsa-mir-10a	66744	5828.062719	N
hsa-mir-10b	139933	12218.900583	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	12	1.047836	N
hsa-mir-1180	447	39.031884	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.261959	N
hsa-mir-1185-2	1	0.087320	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1031	90.026559	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	11	0.960516	N
hsa-mir-1227	5	0.436598	N
hsa-mir-1228	80	6.985572	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	6	0.523918	N
hsa-mir-124-2	6	0.523918	N
hsa-mir-124-3	7	0.611238	N
hsa-mir-1243	6	0.523918	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.087320	N
hsa-mir-1245b	3	0.261959	N
hsa-mir-1246	5	0.436598	N
hsa-mir-1247	26	2.270311	N
hsa-mir-1248	139	12.137431	N
hsa-mir-1249	135	11.788153	N
hsa-mir-1250	30	2.619589	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	8	0.698557	N
hsa-mir-1254-2	9	0.785877	N
hsa-mir-1255a	32	2.794229	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.174639	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	62125	5424.733256	N
hsa-mir-125b-1	25275	2207.004154	N
hsa-mir-125b-2	25897	2261.316976	N
hsa-mir-126	53116	4638.070529	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	17	1.484434	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	26	2.270311	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	11	0.960516	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	1	0.087320	N
hsa-mir-127	685	59.813960	N
hsa-mir-1270	490	42.786628	N
hsa-mir-1271	4112	359.058401	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.174639	N
hsa-mir-1275	2	0.174639	N
hsa-mir-1276	8	0.698557	N
hsa-mir-1277	8	0.698557	N
hsa-mir-1278	20	1.746393	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2926	255.497296	N
hsa-mir-128-2	2127	185.728896	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	19	1.659073	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	39	3.405466	N
hsa-mir-1288	2	0.174639	N
hsa-mir-1289-1	2	0.174639	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	10	0.873196	N
hsa-mir-129-2	14	1.222475	N
hsa-mir-1290	1	0.087320	N
hsa-mir-1291	41	3.580106	N
hsa-mir-1292	44	3.842065	N
hsa-mir-1293	6	0.523918	N
hsa-mir-1294	6	0.523918	N
hsa-mir-1295a	118	10.303719	N
