miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	192333	17750.683072	N
hsa-let-7a-2	188490	17396.007197	N
hsa-let-7a-3	189766	17513.771031	N
hsa-let-7b	42449	3917.677911	N
hsa-let-7c	5171	477.238863	N
hsa-let-7d	128490	11858.522811	N
hsa-let-7e	35149	3243.950644	N
hsa-let-7f-1	219622	20269.223262	N
hsa-let-7f-2	230023	21229.146180	N
hsa-let-7g	235041	21692.264457	N
hsa-let-7i	170121	15700.706352	N
hsa-mir-1-1	3181	293.578964	N
hsa-mir-1-2	3293	303.915601	N
hsa-mir-100	9888	912.577427	N
hsa-mir-101-1	28242	2606.493900	N
hsa-mir-101-2	29102	2685.864510	N
hsa-mir-103a-1	137053	12648.814125	Y
hsa-mir-103a-2	140164	12935.932690	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1609	148.496873	Y
hsa-mir-106b	53092	4899.935350	N
hsa-mir-107	17957	1657.276785	Y
hsa-mir-10a	1275886	117753.313377	N
hsa-mir-10b	2253109	207942.598437	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	27	2.491868	N
hsa-mir-1180	2720	251.032625	N
hsa-mir-1181	3	0.276874	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	54	4.983736	N
hsa-mir-1185-2	38	3.507073	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	75	6.921855	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	92	8.490809	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.184583	N
hsa-mir-1226	220	20.304109	N
hsa-mir-1227	2	0.184583	N
hsa-mir-1228	25	2.307285	N
hsa-mir-1229	21	1.938120	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	8	0.738331	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.184583	N
hsa-mir-124-2	1	0.092291	N
hsa-mir-124-3	1	0.092291	N
hsa-mir-1243	1	0.092291	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	0.461457	N
hsa-mir-1245b	3	0.276874	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	90	8.306227	N
hsa-mir-1248	29	2.676451	N
hsa-mir-1249	101	9.321432	N
hsa-mir-1250	45	4.153113	N
hsa-mir-1251	5	0.461457	N
hsa-mir-1252	3	0.276874	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	28	2.584159	N
hsa-mir-1254-2	26	2.399577	N
hsa-mir-1255a	12	1.107497	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.184583	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	141437	13053.419650	N
hsa-mir-125b-1	9799	904.363492	N
hsa-mir-125b-2	9665	891.996443	N
hsa-mir-126	40919	3776.472059	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	29	2.676451	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	9	0.830623	N
hsa-mir-1263	1	0.092291	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	3	0.276874	N
hsa-mir-1266	1	0.092291	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.184583	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	3802	350.891927	N
hsa-mir-1270	7	0.646040	N
hsa-mir-1271	742	68.480224	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.092291	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	5	0.461457	N
hsa-mir-1276	60	5.537484	N
hsa-mir-1277	7	0.646040	N
hsa-mir-1278	20	1.845828	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	11025	1017.512756	N
hsa-mir-128-2	7781	718.119433	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.092291	N
hsa-mir-1283-2	1	0.092291	N
hsa-mir-1284	10	0.922914	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	3	0.276874	N
hsa-mir-1287	195	17.996824	N
hsa-mir-1288	1	0.092291	N
hsa-mir-1289-1	8	0.738331	N
hsa-mir-1289-2	1	0.092291	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-129-2	2	0.184583	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	10	0.922914	N
hsa-mir-1292	113	10.428929	N
hsa-mir-1293	2	0.184583	N
hsa-mir-1294	5	0.461457	N
hsa-mir-1295a	55	5.076027	N
hsa-mir-1295b	1	0.092291	N
hsa-mir-1296	1229	113.426138	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	38	3.507073	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1868	172.400347	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	1	0.092291	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	12	1.107497	N
hsa-mir-1304	12	1.107497	N
hsa-mir-1305	10	0.922914	N
hsa-mir-1306	514	47.437783	N
hsa-mir-1307	4415	407.466559	N
hsa-mir-130a	3887	358.736697	N
hsa-mir-130b	17748	1637.987881	N
hsa-mir-132	2973	274.382351	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	17	1.568954	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	732	67.557310	Y
hsa-mir-133a-2	801	73.925417	Y
hsa-mir-133b	17	1.568954	Y
hsa-mir-134	349	32.209701	N
hsa-mir-1343	21	1.938120	N
hsa-mir-135a-1	653	60.266288	N
hsa-mir-135a-2	664	61.281494	N
hsa-mir-135b	15171	1400.152927	N
hsa-mir-136	415	38.300934	N
hsa-mir-137	75	6.921855	N
hsa-mir-138-1	17	1.568954	N
hsa-mir-138-2	4	0.369166	N
hsa-mir-139	749	69.126263	N
hsa-mir-140	15907	1468.079402	N
hsa-mir-141	24	2.214994	N
hsa-mir-142	412	38.024059	N
hsa-mir-143	77627	7164.305006	N
hsa-mir-144	238	21.965355	N
hsa-mir-145	9250	853.695509	N
hsa-mir-1468	36	3.322491	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	887	81.862477	N
hsa-mir-146b	73788	6809.998297	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	12	1.107497	N
hsa-mir-148a	10652	983.088061	N
hsa-mir-148b	5320	490.990282	N
hsa-mir-149	5640	520.523532	N
hsa-mir-150	743	68.572515	N
hsa-mir-151a	31765	2931.636525	N
hsa-mir-151b	29	2.676451	N
hsa-mir-152	858	79.186027	N
hsa-mir-153-1	1	0.092291	N
hsa-mir-153-2	1	0.092291	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	4	0.369166	N
hsa-mir-1539	3	0.276874	N
hsa-mir-154	233	21.503898	N
hsa-mir-155	2443	225.467906	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	793	73.187085	N
hsa-mir-15b	21119	1949.102212	N
hsa-mir-16-1	18487	1706.191231	N
hsa-mir-16-2	22763	2100.829284	N
hsa-mir-17	18190	1678.780683	Y
hsa-mir-181a-1	104967	9687.552058	Y
hsa-mir-181a-2	113202	10447.571790	N
hsa-mir-181b-1	31716	2927.114246	N
hsa-mir-181b-2	42497	3922.107899	N
hsa-mir-181c	757	69.864595	Y
hsa-mir-181d	311	28.702627	N
hsa-mir-182	24450	2256.524887	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	18678	1723.818889	N
hsa-mir-184	3	0.276874	N
hsa-mir-185	1519	140.190646	N
hsa-mir-186	12444	1148.474262	N
hsa-mir-187	0	0.000000	N
hsa-mir-188	35	3.230199	N
hsa-mir-18a	2316	213.746897	Y
hsa-mir-18b	28	2.584159	Y
hsa-mir-1908	48	4.429988	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	102	9.413723	N
hsa-mir-190b	55	5.076027	N
hsa-mir-191	66817	6166.634903	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	5	0.461457	N
hsa-mir-1912	3	0.276874	N
hsa-mir-1913	1	0.092291	N
hsa-mir-1914	10	0.922914	N
hsa-mir-1915	4	0.369166	N
hsa-mir-192	920	84.908094	N
hsa-mir-193a	483	44.576749	N
hsa-mir-193b	198	18.273698	N
hsa-mir-194-1	291	26.856799	N
hsa-mir-194-2	1023	94.414109	N
hsa-mir-195	2091	192.981331	N
hsa-mir-196a-1	99	9.136849	N
hsa-mir-196a-2	107	9.875180	N
hsa-mir-196b	10621	980.227028	N
hsa-mir-197	4385	404.697817	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	11	1.015205	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	126737	11696.735976	Y
hsa-mir-199a-2	228734	21110.182557	Y
hsa-mir-199b	343641	31715.111195	Y
hsa-mir-19a	4286	395.560968	N
hsa-mir-19b-1	10555	974.135795	N
hsa-mir-19b-2	10944	1010.037152	N
hsa-mir-200a	471	43.469252	N
hsa-mir-200b	2316	213.746897	N
hsa-mir-200c	2176	200.826100	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	91	8.398518	N
hsa-mir-203b	0	0.000000	N
hsa-mir-204	105	9.690598	N
hsa-mir-205	22	2.030411	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	124	11.444134	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	47301	4365.475815	N
hsa-mir-20b	653	60.266288	N
hsa-mir-21	253725	23416.637095	N
hsa-mir-210	269	24.826388	N
hsa-mir-211	1	0.092291	N
hsa-mir-2110	275	25.380137	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	4	0.369166	N
hsa-mir-2115	78	7.198730	N
hsa-mir-2116	31	2.861034	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	345	31.840535	N
hsa-mir-214	37539	3464.527106	N
hsa-mir-215	15	1.384371	N
hsa-mir-216a	0	0.000000	N
hsa-mir-216b	19	1.753537	N
hsa-mir-217	8	0.738331	N
hsa-mir-218-1	38200	3525.531725	N
hsa-mir-218-2	37164	3429.917828	N
hsa-mir-219a-1	12	1.107497	N
hsa-mir-219a-2	93	8.583101	N
hsa-mir-219b	21	1.938120	N
hsa-mir-22	929	85.738717	N
hsa-mir-221	19089	1761.750657	N
hsa-mir-222	11763	1085.623814	N
hsa-mir-223	1264	116.656338	N
hsa-mir-224	1665	153.665192	N
hsa-mir-2276	4	0.369166	N
hsa-mir-2277	68	6.275816	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	223	20.580984	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	57866	5340.534524	Y
hsa-mir-23b	193352	17844.728015	Y
hsa-mir-23c	1	0.092291	N
hsa-mir-24-1	20408	1883.483022	N
hsa-mir-24-2	19671	1815.464256	N
hsa-mir-2467	5	0.461457	N
hsa-mir-25	71717	6618.862795	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	416270	38418.143752	N
hsa-mir-26a-2	424612	39188.038665	N
hsa-mir-26b	97861	9031.729324	N
hsa-mir-27a	6092	562.239248	Y
hsa-mir-27b	244558	22570.601772	Y
hsa-mir-28	5696	525.691851	N
