miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	88475	12837.327160	N
hsa-let-7a-2	87031	12627.809213	Y
hsa-let-7a-3	87566	12705.435322	N
hsa-let-7b	20571	2984.760181	N
hsa-let-7c	21844	3169.466793	Y
hsa-let-7d	13143	1906.990572	N
hsa-let-7e	33210	4818.622605	N
hsa-let-7f-1	66032	9580.948144	N
hsa-let-7f-2	69978	10153.495112	N
hsa-let-7g	91232	13237.355541	N
hsa-let-7i	24098	3496.512121	N
hsa-mir-1-1	1390	201.682789	N
hsa-mir-1-2	1471	213.435527	N
hsa-mir-100	19120	2774.226565	Y
hsa-mir-101-1	31624	4588.501092	N
hsa-mir-101-2	32908	4774.803755	N
hsa-mir-103a-1	94495	13710.802261	Y
hsa-mir-103a-2	96897	14059.321728	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1582	229.541131	Y
hsa-mir-106b	68502	9939.334107	N
hsa-mir-107	11343	1645.818615	Y
hsa-mir-10a	514579	74663.113567	N
hsa-mir-10b	837627	121535.934867	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	13	1.886242	N
hsa-mir-1180	960	139.291710	N
hsa-mir-1181	2	0.290191	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	27	3.917579	N
hsa-mir-1185-2	7	1.015669	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	19	2.756815	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	70	10.156687	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.145096	N
hsa-mir-1226	95	13.784076	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	38	5.513630	N
hsa-mir-1229	8	1.160764	N
hsa-mir-1231	2	0.290191	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.145096	N
hsa-mir-1236	2	0.290191	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.145096	N
hsa-mir-124-2	2	0.290191	N
hsa-mir-124-3	5	0.725478	N
hsa-mir-1243	1	0.145096	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	13	1.886242	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.145096	N
hsa-mir-1247	91	13.203693	N
hsa-mir-1248	122	17.701655	N
hsa-mir-1249	104	15.089935	N
hsa-mir-1250	51	7.399872	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	32	4.643057	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	9	1.305860	N
hsa-mir-1254-2	11	1.596051	N
hsa-mir-1255a	26	3.772484	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	140984	20456.148430	N
hsa-mir-125b-1	28455	4128.693352	N
hsa-mir-125b-2	28803	4179.186597	N
hsa-mir-126	68215	9897.691690	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	18	2.611720	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	11	1.596051	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	1	0.145096	N
hsa-mir-1266	3	0.435287	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	542	78.641778	N
hsa-mir-1269b	529	76.755536	N
hsa-mir-127	1249	181.224319	N
hsa-mir-1270	14	2.031337	N
hsa-mir-1271	1447	209.953234	N
hsa-mir-1272	5	0.725478	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.290191	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	65	9.431210	N
hsa-mir-1277	3	0.435287	N
hsa-mir-1278	17	2.466624	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	8566	1242.888324	N
hsa-mir-128-2	5797	841.118797	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	2	0.290191	N
hsa-mir-1284	47	6.819490	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	8	1.160764	N
hsa-mir-1287	40	5.803821	N
hsa-mir-1288	4	0.580382	N
hsa-mir-1289-1	7	1.015669	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	7	1.015669	N
hsa-mir-129-2	4	0.580382	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	55	7.980254	N
hsa-mir-1292	69	10.011592	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	4	0.580382	N
hsa-mir-1295a	5	0.725478	N
hsa-mir-1295b	1	0.145096	N
hsa-mir-1296	3208	465.466465	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	13	1.886242	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1134	164.538333	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	56	8.125350	N
hsa-mir-1305	27	3.917579	N
hsa-mir-1306	292	42.367895	N
hsa-mir-1307	2076	301.218324	N
hsa-mir-130a	2845	412.796787	N
hsa-mir-130b	18654	2706.612047	N
hsa-mir-132	2081	301.943801	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	2	0.290191	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	294	42.658086	Y
hsa-mir-133a-2	288	41.787513	Y
hsa-mir-133b	8	1.160764	Y
hsa-mir-134	92	13.348789	N
