miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	290169	24115.082620	N
hsa-let-7a-2	291041	24187.551947	Y
hsa-let-7a-3	289753	24080.510098	N
hsa-let-7b	222800	18516.245387	N
hsa-let-7c	323961	26923.435242	Y
hsa-let-7d	8168	678.818188	N
hsa-let-7e	43226	3592.384305	N
hsa-let-7f-1	102384	8508.829748	N
hsa-let-7f-2	105516	8769.120953	N
hsa-let-7g	13142	1092.192535	N
hsa-let-7i	3920	325.779542	N
hsa-mir-1-1	13	1.080391	N
hsa-mir-1-2	20	1.662141	N
hsa-mir-100	589468	48988.932388	Y
hsa-mir-101-1	27242	2264.001602	N
hsa-mir-101-2	28295	2351.513300	N
hsa-mir-103a-1	137642	11439.017269	Y
hsa-mir-103a-2	137527	11429.459961	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.083107	N
hsa-mir-105-2	1	0.083107	N
hsa-mir-106a	70	5.817492	Y
hsa-mir-106b	9086	755.110438	N
hsa-mir-107	841	69.893009	Y
hsa-mir-10a	24092	2002.214470	N
hsa-mir-10b	2951409	245282.824429	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	0.498642	N
hsa-mir-1180	750	62.330269	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.498642	N
hsa-mir-1185-2	1	0.083107	N
hsa-mir-1193	3	0.249321	N
hsa-mir-1197	1	0.083107	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	1	0.083107	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	9	0.747963	N
hsa-mir-1225	2	0.166214	N
hsa-mir-1226	24	1.994569	N
hsa-mir-1227	1	0.083107	N
hsa-mir-1228	1	0.083107	N
hsa-mir-1229	1	0.083107	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.249321	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	2	0.166214	N
hsa-mir-124-1	2	0.166214	N
hsa-mir-124-2	1	0.083107	N
hsa-mir-124-3	1	0.083107	N
hsa-mir-1243	51	4.238458	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	18	1.495926	N
hsa-mir-1245b	1	0.083107	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	2	0.166214	N
hsa-mir-1248	7	0.581749	N
hsa-mir-1249	17	1.412819	N
hsa-mir-1250	1	0.083107	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	4	0.332428	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	13	1.080391	N
hsa-mir-1254-2	17	1.412819	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	21909	1820.791832	N
hsa-mir-125b-1	63911	5311.453137	N
hsa-mir-125b-2	66693	5542.656883	N
hsa-mir-126	13566	1127.429914	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.083107	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	170	14.128194	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3	0.249321	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	12578	1045.320173	N
hsa-mir-1270	47	3.906030	N
hsa-mir-1271	120	9.972843	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.083107	N
hsa-mir-1276	9	0.747963	N
hsa-mir-1277	4	0.332428	N
hsa-mir-1278	4	0.332428	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2527	210.011455	N
hsa-mir-128-2	1665	138.373198	N
hsa-mir-1281	1	0.083107	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.083107	N
hsa-mir-1284	1	0.083107	N
hsa-mir-1285-1	1	0.083107	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.166214	N
hsa-mir-1287	190	15.790335	N
hsa-mir-1288	4	0.332428	N
hsa-mir-1289-1	0	0.000000	N
