miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	305852	32754.073189	N
hsa-let-7a-2	296089	31708.541309	Y
hsa-let-7a-3	296383	31740.026137	N
hsa-let-7b	123046	13177.150026	N
hsa-let-7c	60347	6462.635702	Y
hsa-let-7d	52282	5598.944766	N
hsa-let-7e	24652	2640.013511	N
hsa-let-7f-1	220190	23580.422477	N
hsa-let-7f-2	233658	25022.727441	N
hsa-let-7g	246421	26389.533073	N
hsa-let-7i	83719	8965.572412	N
hsa-mir-1-1	9300	995.948631	N
hsa-mir-1-2	9875	1057.526100	N
hsa-mir-100	67583	7237.547992	Y
hsa-mir-101-1	13977	1496.814410	N
hsa-mir-101-2	15385	1647.598891	N
hsa-mir-103a-1	78301	8385.352016	Y
hsa-mir-103a-2	82006	8782.125100	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1083	115.979824	Y
hsa-mir-106b	14813	1586.342696	N
hsa-mir-107	12041	1289.485749	Y
hsa-mir-10a	168533	18048.409743	N
hsa-mir-10b	344076	36847.529153	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	10	1.070913	N
hsa-mir-1180	633	67.788762	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	1	0.107091	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.214183	N
hsa-mir-1185-2	3	0.321274	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3734	399.878730	N
hsa-mir-1224	1	0.107091	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	21	2.248916	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	26	2.784373	N
hsa-mir-1229	8	0.856730	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.107091	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	5	0.535456	N
hsa-mir-124-2	2	0.214183	N
hsa-mir-124-3	6	0.642548	N
hsa-mir-1243	2	0.214183	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	8	0.856730	N
hsa-mir-1245b	5	0.535456	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	132	14.136045	N
hsa-mir-1248	9	0.963821	N
hsa-mir-1249	136	14.564410	N
hsa-mir-1250	6	0.642548	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	16	1.713460	N
hsa-mir-1254-2	17	1.820551	N
hsa-mir-1255a	28	2.998555	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.107091	N
hsa-mir-125a	305513	32717.769255	N
hsa-mir-125b-1	94498	10119.909002	N
hsa-mir-125b-2	95361	10212.328752	N
hsa-mir-126	47279	5063.167239	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	13	1.392186	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	29	3.105646	N
hsa-mir-1263	1	0.107091	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	9	0.963821	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1307	139.968265	N
hsa-mir-1270	103	11.030399	N
hsa-mir-1271	1464	156.781591	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.107091	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.107091	N
hsa-mir-1276	3	0.321274	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	9	0.963821	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	8824	944.973196	N
hsa-mir-128-2	4607	493.369392	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	21	2.248916	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	49	5.247471	N
hsa-mir-1288	1	0.107091	N
hsa-mir-1289-1	3	0.321274	N
hsa-mir-1289-2	1	0.107091	N
hsa-mir-129-1	22	2.356008	N
hsa-mir-129-2	33	3.534011	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	26	2.784373	N
hsa-mir-1292	46	4.926198	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	22	2.356008	N
hsa-mir-1295a	28	2.998555	N
hsa-mir-1295b	17	1.820551	N
hsa-mir-1296	445	47.655607	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	7	0.749639	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	573	61.363287	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	1	0.107091	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	31	3.319829	N
hsa-mir-1305	1	0.107091	N
hsa-mir-1306	113	12.101311	N
hsa-mir-1307	751	80.425529	N
hsa-mir-130a	677	72.500777	N
hsa-mir-130b	613	65.646937	N
hsa-mir-132	1576	168.775811	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	2022	216.538509	Y
hsa-mir-133a-2	2075	222.214345	Y
hsa-mir-133b	32	3.426920	Y
hsa-mir-134	98	10.494943	N
hsa-mir-1343	17	1.820551	N
hsa-mir-135a-1	417	44.657052	N
hsa-mir-135a-2	441	47.227242	N
hsa-mir-135b	910	97.453038	N
hsa-mir-136	77	8.246026	N
hsa-mir-137	1	0.107091	N
hsa-mir-138-1	37	3.962376	N
hsa-mir-138-2	6	0.642548	N
hsa-mir-139	4205	450.318709	N
hsa-mir-140	77193	8266.694910	N
hsa-mir-141	27	2.891464	N
hsa-mir-142	3074	329.198504	N
hsa-mir-143	629555	67419.832293	N
hsa-mir-144	8015	858.336374	N
hsa-mir-145	159665	17098.724532	N
hsa-mir-1468	103	11.030399	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	5667	606.886117	N
hsa-mir-146b	26689	2858.158388	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	4	0.428365	N
hsa-mir-148a	9253	990.915342	N
hsa-mir-148b	4490	480.839715	N
hsa-mir-149	626	67.039123	N
hsa-mir-150	8062	863.369663	N
hsa-mir-151a	23681	2536.027906	N
hsa-mir-151b	206	22.060798	N
hsa-mir-152	4124	441.644318	N
hsa-mir-153-1	3	0.321274	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	3	0.321274	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	79	8.460209	N
hsa-mir-155	5951	637.300033	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1982	212.254859	N
hsa-mir-15b	37092	3972.228669	N
hsa-mir-16-1	40699	4358.506810	N
hsa-mir-16-2	45013	4820.498465	N
hsa-mir-17	4044	433.077018	Y
hsa-mir-181a-1	27457	2940.404469	N
hsa-mir-181a-2	28297	3030.361119	N
hsa-mir-181b-1	4908	525.603858	N
hsa-mir-181b-2	6111	654.434633	N
hsa-mir-181c	627	67.146214	N
hsa-mir-181d	338	36.196843	N
hsa-mir-182	10478	1122.102124	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	4244	454.495268	N
hsa-mir-184	12	1.285095	N
hsa-mir-185	11474	1228.765010	N
hsa-mir-186	12777	1368.304909	N
hsa-mir-187	12	1.285095	N
hsa-mir-188	14	1.499278	N
hsa-mir-18a	345	36.946481	Y
hsa-mir-18b	37	3.962376	Y
hsa-mir-1908	7	0.749639	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	360	38.552850	N
hsa-mir-190b	42	4.497833	N
hsa-mir-191	78713	8429.473611	N
hsa-mir-1910	1	0.107091	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	2	0.214183	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	13416	1436.736219	Y
hsa-mir-193a	2583	276.616700	N
hsa-mir-193b	1264	135.363341	N
hsa-mir-194-1	2037	218.144878	N
hsa-mir-194-2	6658	713.013547	N
hsa-mir-195	14266	1527.763782	N
hsa-mir-196a-1	4163	445.820876	N
hsa-mir-196a-2	10649	1140.414728	N
hsa-mir-196b	2726	291.930749	N
hsa-mir-197	5188	555.589408	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	32	3.426920	N
hsa-mir-198	1	0.107091	N
hsa-mir-199a-1	33300	3566.138646	Y
hsa-mir-199a-2	57736	6183.020447	Y
hsa-mir-199b	76448	8186.911928	Y
hsa-mir-19a	368	39.409580	N
hsa-mir-19b-1	1451	155.389405	N
hsa-mir-19b-2	1504	161.065241	N
hsa-mir-200a	6321	676.923795	N
hsa-mir-200b	41807	4477.163915	N
hsa-mir-200c	5201	556.981595	N
hsa-mir-202	9	0.963821	N
hsa-mir-203a	1002	107.305433	N
hsa-mir-203b	8	0.856730	N
hsa-mir-204	27224	2915.452207	N
hsa-mir-205	192	20.561520	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	7	0.749639	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	10092	1080.764901	N
hsa-mir-20b	1063	113.837999	N
hsa-mir-21	808875	86623.435357	N
hsa-mir-210	1381	147.893017	N
hsa-mir-211	4	0.428365	N
hsa-mir-2110	265	28.379181	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	103	11.030399	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	127	13.600589	N
hsa-mir-214	8379	897.317589	N
hsa-mir-215	12	1.285095	Y
hsa-mir-216a	42	4.497833	N
hsa-mir-216b	13	1.392186	N
hsa-mir-217	170	18.205513	N
hsa-mir-218-1	1213	129.901687	N
hsa-mir-218-2	1010	108.162163	N
hsa-mir-219a-1	9	0.963821	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	1	0.107091	N
hsa-mir-22	7821	837.560671	N
hsa-mir-221	28479	3049.851727	N
hsa-mir-222	12239	1310.689817	N
hsa-mir-223	13880	1486.426559	N
hsa-mir-224	6639	710.978813	N
hsa-mir-2276	8	0.856730	N
hsa-mir-2277	38	4.069468	N
hsa-mir-2278	1	0.107091	N
hsa-mir-2355	180	19.276425	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	199715	21387.729120	Y
hsa-mir-23b	109868	11765.901525	Y
hsa-mir-23c	10	1.070913	N
hsa-mir-24-1	15996	1713.031645	N
hsa-mir-24-2	16469	1763.685807	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	40696	4358.185536	N
hsa-mir-2681	6	0.642548	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	479506	51350.897227	N
hsa-mir-26a-2	491145	52597.332293	N
hsa-mir-26b	177771	19037.718716	N
hsa-mir-27a	15732	1684.759555	Y
hsa-mir-27b	131667	14100.383697	Y
hsa-mir-28	14664	1570.386099	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	107	11.458764	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	62	6.639658	N
hsa-mir-29a	45847	4909.812568	N
hsa-mir-29b-1	687	73.571689	Y
hsa-mir-29b-2	1171	125.403854	Y
