miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	126117	9200.129908	N
hsa-let-7a-2	123695	9023.447029	Y
hsa-let-7a-3	124046	9049.052186	N
hsa-let-7b	21134	1541.707664	N
hsa-let-7c	5964	435.068823	Y
hsa-let-7d	14659	1069.361817	N
hsa-let-7e	42690	3114.199876	N
hsa-let-7f-1	77620	5662.314228	N
hsa-let-7f-2	82714	6033.917277	N
hsa-let-7g	119517	8718.665415	N
hsa-let-7i	36443	2658.486439	N
hsa-mir-1-1	8912	650.122963	N
hsa-mir-1-2	9436	688.348326	N
hsa-mir-100	27721	2022.223817	Y
hsa-mir-101-1	60638	4423.491499	N
hsa-mir-101-2	64541	4708.212092	N
hsa-mir-103a-1	233483	17032.390013	Y
hsa-mir-103a-2	239868	17498.170435	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	30	2.188475	N
hsa-mir-105-2	32	2.334373	N
hsa-mir-106a	3838	279.978897	Y
hsa-mir-106b	88861	6482.335797	N
hsa-mir-107	25860	1886.465420	Y
hsa-mir-10a	1819678	132743.991615	N
hsa-mir-10b	1672641	122017.765164	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	22	1.604882	N
hsa-mir-1180	3246	236.792991	N
hsa-mir-1181	1	0.072949	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	36	2.626170	N
hsa-mir-1185-2	22	1.604882	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	23	1.677831	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.145898	N
hsa-mir-1224	6	0.437695	N
hsa-mir-1225	8	0.583593	N
hsa-mir-1226	172	12.547256	N
hsa-mir-1227	3	0.218847	N
hsa-mir-1228	34	2.480272	N
hsa-mir-1229	18	1.313085	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.145898	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	3	0.218847	N
hsa-mir-124-1	7	0.510644	N
hsa-mir-124-2	2	0.145898	N
hsa-mir-124-3	9	0.656542	N
hsa-mir-1243	12	0.875390	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	0.364746	N
hsa-mir-1245b	6	0.437695	N
hsa-mir-1246	2	0.145898	N
hsa-mir-1247	30	2.188475	N
hsa-mir-1248	159	11.598917	N
hsa-mir-1249	114	8.316205	N
hsa-mir-1250	41	2.990916	N
hsa-mir-1251	20	1.458983	N
