miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	144118	22664.980766	N
hsa-let-7a-2	141546	22260.490484	Y
hsa-let-7a-3	142404	22395.425422	N
hsa-let-7b	39187	6162.815202	N
hsa-let-7c	18302	2878.297492	Y
hsa-let-7d	24895	3915.157691	N
hsa-let-7e	20987	3300.558926	N
hsa-let-7f-1	102257	16081.634065	N
hsa-let-7f-2	108390	17046.151523	N
hsa-let-7g	99704	15680.131853	N
hsa-let-7i	79517	12505.386389	N
hsa-mir-1-1	600	94.360097	N
hsa-mir-1-2	612	96.247299	N
hsa-mir-100	21118	3321.160881	Y
hsa-mir-101-1	21834	3433.763930	N
hsa-mir-101-2	22859	3594.962429	N
hsa-mir-103a-1	57191	8994.247179	Y
hsa-mir-103a-2	59195	9309.409903	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	6	0.943601	N
hsa-mir-105-2	5	0.786334	N
hsa-mir-106a	1563	245.808053	Y
hsa-mir-106b	16533	2600.092473	N
hsa-mir-107	5776	908.373200	Y
hsa-mir-10a	95838	15072.138294	N
hsa-mir-10b	500418	78699.151703	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.629067	N
hsa-mir-1180	143	22.489156	N
hsa-mir-1181	1	0.157267	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	35	5.504339	N
hsa-mir-1185-2	18	2.830803	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	57	8.964209	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	4	0.629067	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	604	94.989164	N
hsa-mir-1227	5	0.786334	N
hsa-mir-1228	836	131.475068	N
hsa-mir-1229	55	8.649676	N
hsa-mir-1231	6	0.943601	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	11	1.729935	N
hsa-mir-1236	3	0.471800	N
hsa-mir-1237	1	0.157267	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	3	0.471800	N
hsa-mir-124-3	3	0.471800	N
hsa-mir-1243	3	0.471800	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	10	1.572668	N
hsa-mir-1245b	4	0.629067	N
hsa-mir-1246	2	0.314534	N
hsa-mir-1247	37	5.818873	N
hsa-mir-1248	67	10.536877	N
hsa-mir-1249	116	18.242952	N
hsa-mir-1250	9	1.415401	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	32	5.032539	N
hsa-mir-1254-2	34	5.347072	N
hsa-mir-1255a	15	2.359002	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.314534	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	339468	53387.055682	N
hsa-mir-125b-1	68651	10796.525032	N
hsa-mir-125b-2	68474	10768.688804	N
hsa-mir-126	156177	24561.461449	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	64	10.065077	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.471800	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.471800	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	6	0.943601	N
hsa-mir-1269b	14	2.201736	N
hsa-mir-127	3118	490.357971	N
hsa-mir-1270	21	3.302603	N
hsa-mir-1271	569	89.484825	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.157267	N
hsa-mir-1276	3	0.471800	N
hsa-mir-1277	6	0.943601	N
hsa-mir-1278	14	2.201736	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5755	905.070597	N
hsa-mir-128-2	5124	805.835228	N
hsa-mir-1281	4	0.629067	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	7	1.100868	N
hsa-mir-1283-2	5	0.786334	N
hsa-mir-1284	4	0.629067	N
hsa-mir-1285-1	1	0.157267	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	31	4.875272	N
hsa-mir-1288	8	1.258135	N
hsa-mir-1289-1	11	1.729935	N
