miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	305922	21341.641860	N
hsa-let-7a-2	306597	21388.731014	Y
hsa-let-7a-3	306037	21349.664457	N
hsa-let-7b	195063	13607.928446	N
hsa-let-7c	900580	62826.000831	Y
hsa-let-7d	13235	923.296232	N
hsa-let-7e	45159	3150.369064	N
hsa-let-7f-1	169023	11791.333517	N
hsa-let-7f-2	177853	12407.329416	N
hsa-let-7g	17325	1208.621627	N
hsa-let-7i	4461	311.206989	N
hsa-mir-1-1	38	2.650945	N
hsa-mir-1-2	43	2.999754	N
hsa-mir-100	399765	27888.290016	Y
hsa-mir-101-1	39335	2744.076865	N
hsa-mir-101-2	40245	2807.560021	N
hsa-mir-103a-1	376725	26280.980216	Y
hsa-mir-103a-2	376859	26290.328285	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	5	0.348809	N
hsa-mir-105-2	7	0.488332	N
hsa-mir-106a	183	12.766393	Y
hsa-mir-106b	9731	678.851200	N
hsa-mir-107	1446	100.875433	Y
hsa-mir-10a	468080	32654.061237	N
hsa-mir-10b	2862451	199689.476676	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.488332	N
hsa-mir-1180	1761	122.850371	N
hsa-mir-1181	6	0.418570	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	41	2.860230	N
hsa-mir-1185-2	14	0.976664	N
hsa-mir-1193	1	0.069762	N
hsa-mir-1197	22	1.534758	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	5	0.348809	N
hsa-mir-1225	1	0.069762	N
hsa-mir-1226	37	2.581183	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.139523	N
hsa-mir-1229	4	0.279047	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.069762	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2354	164.219065	N
hsa-mir-124-2	2392	166.870010	N
hsa-mir-124-3	2338	163.102878	N
hsa-mir-1243	19	1.325472	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	1	0.069762	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.139523	N
hsa-mir-1245b	1	0.069762	N
hsa-mir-1246	5	0.348809	N
hsa-mir-1247	50	3.488086	N
hsa-mir-1248	38	2.650945	N
hsa-mir-1249	9	0.627855	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.139523	N
hsa-mir-1252	3	0.209285	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	30	2.092851	N
hsa-mir-1254-2	27	1.883566	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.139523	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	22571	1574.591557	N
hsa-mir-125b-1	111965	7810.869865	N
hsa-mir-125b-2	116754	8144.958694	N
hsa-mir-126	35077	2447.031503	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.279047	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	13	0.906902	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	8	0.558094	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	76132	5311.098509	N
hsa-mir-1270	152	10.603780	N
hsa-mir-1271	219	15.277814	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	8	0.558094	N
hsa-mir-1277	11	0.767379	N
hsa-mir-1278	1	0.069762	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4291	299.347498	N
hsa-mir-128-2	2506	174.822845	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	3	0.209285	N
hsa-mir-1283-2	4	0.279047	Y
hsa-mir-1284	1	0.069762	N
hsa-mir-1285-1	1	0.069762	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.139523	N
hsa-mir-1287	49	3.418324	N
hsa-mir-1288	9	0.627855	N
hsa-mir-1289-1	2	0.139523	N
hsa-mir-1289-2	1	0.069762	N
hsa-mir-129-1	235	16.394002	N
hsa-mir-129-2	286	19.951849	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	13	0.906902	N
hsa-mir-1292	14	0.976664	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.069762	N
hsa-mir-1295a	6	0.418570	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	547	38.159655	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	300	20.928513	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	481	33.555383	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
