miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	194145	23645.627261	N
hsa-let-7a-2	184876	22516.721963	Y
hsa-let-7a-3	185626	22608.067197	N
hsa-let-7b	50056	6096.502708	N
hsa-let-7c	8717	1061.675206	Y
hsa-let-7d	24092	2934.252502	N
hsa-let-7e	25178	3066.520401	N
hsa-let-7f-1	179299	21837.478803	N
hsa-let-7f-2	191954	23378.777384	N
hsa-let-7g	195363	23793.971921	N
hsa-let-7i	99080	12067.314373	N
hsa-mir-1-1	1482	180.498182	N
hsa-mir-1-2	1490	181.472531	N
hsa-mir-100	31044	3780.961924	Y
hsa-mir-101-1	12171	1482.350457	N
hsa-mir-101-2	13197	1607.310737	N
hsa-mir-103a-1	67621	8235.808087	Y
hsa-mir-103a-2	69406	8453.209744	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	436	53.102029	Y
hsa-mir-106b	16270	1981.582609	N
hsa-mir-107	4879	594.231195	Y
hsa-mir-10a	193631	23583.025327	N
hsa-mir-10b	396216	48256.590954	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	0.730762	N
hsa-mir-1180	325	39.582935	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.852556	N
hsa-mir-1185-2	6	0.730762	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.243587	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	14588	1776.725697	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	29	3.532016	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	25	3.044841	N
hsa-mir-1229	13	1.583317	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.243587	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.243587	N
hsa-mir-124-2	1	0.121794	N
hsa-mir-124-3	1	0.121794	N
hsa-mir-1243	4	0.487175	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.243587	N
hsa-mir-1245b	2	0.243587	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	27	3.288428	N
hsa-mir-1248	18	2.192286	N
hsa-mir-1249	103	12.544745	N
hsa-mir-1250	11	1.339730	N
hsa-mir-1251	3	0.365381	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.608968	N
hsa-mir-1254-2	13	1.583317	N
hsa-mir-1255a	20	2.435873	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.365381	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	210174	25597.857601	N
hsa-mir-125b-1	30309	3691.443595	N
hsa-mir-125b-2	30673	3735.776481	N
hsa-mir-126	97192	11837.367971	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	16	1.948698	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.243587	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	1	0.121794	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3018	367.573221	N
hsa-mir-1269b	0	0.000000	N
