miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	48056	4925.679192	N
hsa-let-7a-2	46571	4773.468572	Y
hsa-let-7a-3	47011	4818.568015	N
hsa-let-7b	7531	771.917971	N
hsa-let-7c	5254	538.528352	Y
hsa-let-7d	7523	771.097981	N
hsa-let-7e	44210	4531.469059	N
hsa-let-7f-1	36620	3753.503663	N
hsa-let-7f-2	39106	4008.315517	N
hsa-let-7g	63372	6495.549812	N
hsa-let-7i	20792	2131.153691	N
hsa-mir-1-1	298	30.544623	N
hsa-mir-1-2	344	35.259565	N
hsa-mir-100	12027	1232.752282	Y
hsa-mir-101-1	44715	4583.230920	N
hsa-mir-101-2	46913	4808.523139	N
hsa-mir-103a-1	123028	12610.214327	Y
hsa-mir-103a-2	126697	12986.282184	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	2473	253.479371	Y
hsa-mir-106b	98025	10047.438464	N
hsa-mir-107	13049	1337.505988	Y
hsa-mir-10a	1436695	147259.419582	N
hsa-mir-10b	1327533	136070.452710	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.717491	N
hsa-mir-1180	1740	178.347798	N
hsa-mir-1181	1	0.102499	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	84	8.609894	N
hsa-mir-1185-2	41	4.202448	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	83	8.507395	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.204997	N
hsa-mir-1226	289	29.622134	N
hsa-mir-1227	4	0.409995	N
hsa-mir-1228	42	4.304947	N
hsa-mir-1229	16	1.639980	N
hsa-mir-1231	2	0.204997	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	8	0.819990	N
hsa-mir-1236	2	0.204997	N
hsa-mir-1237	2	0.204997	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	7	0.717491	N
hsa-mir-124-2	11	1.127486	N
hsa-mir-124-3	15	1.537481	N
hsa-mir-1243	9	0.922489	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.409995	N
hsa-mir-1245b	2	0.204997	N
hsa-mir-1246	1	0.102499	N
hsa-mir-1247	165	16.912291	N
hsa-mir-1248	132	13.529833	N
hsa-mir-1249	65	6.662418	N
hsa-mir-1250	17	1.742478	N
hsa-mir-1251	1	0.102499	N
hsa-mir-1252	23	2.357471	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	23	2.357471	N
hsa-mir-1254-2	20	2.049975	N
hsa-mir-1255a	60	6.149924	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	8	0.819990	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	182618	18718.113925	N
hsa-mir-125b-1	18100	1855.227097	N
hsa-mir-125b-2	17762	1820.582525	N
hsa-mir-126	45115	4624.230414	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	51	5.227435	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	20	2.049975	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	3	0.307496	N
hsa-mir-1266	1	0.102499	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3570	365.920483	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	3963	406.202485	N
hsa-mir-1270	8	0.819990	N
hsa-mir-1271	1782	182.652745	N
hsa-mir-1272	1	0.102499	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.102499	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.102499	N
hsa-mir-1276	140	14.349823	N
hsa-mir-1277	7	0.717491	N
hsa-mir-1278	37	3.792453	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	15085	1546.193412	N
hsa-mir-128-2	9853	1009.920033	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	54	5.534932	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.102499	N
hsa-mir-1287	78	7.994901	N
hsa-mir-1288	2	0.204997	N
hsa-mir-1289-1	2	0.204997	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	7	0.717491	N
hsa-mir-129-2	13	1.332484	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	44	4.509944	N
hsa-mir-1292	138	14.144825	N
hsa-mir-1293	1	0.102499	N
hsa-mir-1294	5	0.512494	N
hsa-mir-1295a	134	13.734830	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	2179	223.344743	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	2398	245.791966	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
