miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	223624	24134.635226	N
hsa-let-7a-2	213827	23077.293343	Y
hsa-let-7a-3	214389	23137.947231	N
hsa-let-7b	53096	5730.389368	N
hsa-let-7c	17644	1904.229886	Y
hsa-let-7d	52862	5705.134902	N
hsa-let-7e	24256	2617.830430	N
hsa-let-7f-1	220471	23794.347489	N
hsa-let-7f-2	238169	25704.405329	N
hsa-let-7g	156137	16851.096216	N
hsa-let-7i	57971	6256.524070	N
hsa-mir-1-1	2060	222.325638	N
hsa-mir-1-2	2198	237.219298	N
hsa-mir-100	121213	13081.921170	Y
hsa-mir-101-1	40815	4404.961618	N
hsa-mir-101-2	43969	4745.357279	N
hsa-mir-103a-1	73521	7934.758865	Y
hsa-mir-103a-2	76183	8222.055394	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	432	46.623629	Y
hsa-mir-106b	18760	2024.674261	N
hsa-mir-107	11300	1219.553259	Y
hsa-mir-10a	181433	19581.168716	N
hsa-mir-10b	307476	33184.367961	N
hsa-mir-1178	1	0.107925	N
hsa-mir-1179	1	0.107925	N
hsa-mir-1180	847	91.412532	N
hsa-mir-1181	5	0.539625	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	10	1.079251	N
hsa-mir-1185-2	7	0.755475	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.107925	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	15986	1725.290124	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	29	3.129827	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	32	3.453602	N
hsa-mir-1229	11	1.187176	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.107925	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	5	0.539625	N
hsa-mir-124-2	4	0.431700	N
hsa-mir-124-3	2	0.215850	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.323775	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	64	6.907204	N
hsa-mir-1248	12	1.295101	N
hsa-mir-1249	167	18.023486	N
hsa-mir-1250	24	2.590202	N
hsa-mir-1251	5	0.539625	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	9	0.971326	N
hsa-mir-1254-2	13	1.403026	N
hsa-mir-1255a	10	1.079251	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	197735	21340.563162	N
hsa-mir-125b-1	52729	5690.780868	N
hsa-mir-125b-2	52458	5661.533175	N
hsa-mir-126	91780	9905.362667	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	15	1.618876	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	14	1.510951	N
hsa-mir-1263	7	0.755475	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	8	0.863401	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	105	11.332132	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	523	56.444810	N
hsa-mir-1270	472	50.940632	N
hsa-mir-1271	3931	424.253439	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.215850	N
hsa-mir-1276	6	0.647550	N
hsa-mir-1277	12	1.295101	N
hsa-mir-1278	20	2.158501	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	21784	2351.039664	N
hsa-mir-128-2	11139	1202.177323	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	10	1.079251	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	48	5.180403	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4	0.431700	N
hsa-mir-129-2	6	0.647550	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	15	1.618876	N
hsa-mir-1292	56	6.043804	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	7	0.755475	N
hsa-mir-1295a	157	16.944236	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	142	15.325360	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1401	151.203019	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	18	1.942651	N
hsa-mir-1305	5	0.539625	N
hsa-mir-1306	167	18.023486	N
hsa-mir-1307	1364	147.209792	N
hsa-mir-130a	566	61.085588	N
hsa-mir-130b	612	66.050141	N
hsa-mir-132	994	107.277517	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	256	27.628817	Y
hsa-mir-133a-2	237	25.578241	Y
hsa-mir-133b	4	0.431700	Y
hsa-mir-134	45	4.856628	N
hsa-mir-1343	31	3.345677	N
hsa-mir-135a-1	969	104.579390	N
hsa-mir-135a-2	1344	145.051290	N
hsa-mir-135b	1625	175.378234	N
hsa-mir-136	95	10.252881	N
hsa-mir-137	17	1.834726	N
hsa-mir-138-1	49	5.288328	N
hsa-mir-138-2	24	2.590202	N
hsa-mir-139	4353	469.797817	N
hsa-mir-140	63326	6834.462805	N
hsa-mir-141	6	0.647550	N
hsa-mir-142	3522	380.112087	N
hsa-mir-143	263801	28470.740651	N
hsa-mir-144	2258	243.694802	N
hsa-mir-145	35600	3842.132392	N
hsa-mir-1468	156	16.836310	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	2588	279.310074	N
hsa-mir-146b	70002	7554.970554	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	22	2.374351	N
hsa-mir-148a	11777	1271.033516	N
hsa-mir-148b	4604	496.887009	N
hsa-mir-149	265	28.600143	N
