miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	347312	18960.093630	N
hsa-let-7a-2	342151	18678.349713	Y
hsa-let-7a-3	340803	18604.761106	N
hsa-let-7b	111173	6069.040198	N
hsa-let-7c	31876	1740.141269	Y
hsa-let-7d	76323	4166.545429	N
hsa-let-7e	20246	1105.248467	N
hsa-let-7f-1	346698	18926.574784	N
hsa-let-7f-2	362557	19792.332733	N
hsa-let-7g	412371	22511.726546	N
hsa-let-7i	162654	8879.437132	N
hsa-mir-1-1	1506	82.213978	N
hsa-mir-1-2	1677	91.549031	N
hsa-mir-100	64880	3541.861136	Y
hsa-mir-101-1	39215	2140.784285	N
hsa-mir-101-2	41869	2285.668679	N
hsa-mir-103a-1	170606	9313.544403	Y
hsa-mir-103a-2	186218	10165.818387	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.054591	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	2165	118.189417	Y
hsa-mir-106b	57243	3124.950015	N
hsa-mir-107	47126	2572.653327	Y
hsa-mir-10a	151146	8251.204427	N
hsa-mir-10b	325185	17752.159577	N
hsa-mir-1178	3	0.163773	N
hsa-mir-1179	26	1.419365	N
hsa-mir-1180	1159	63.270916	N
hsa-mir-1181	1	0.054591	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	14	0.764273	N
hsa-mir-1185-2	6	0.327546	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.109182	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	4463	243.639430	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.109182	N
hsa-mir-1226	50	2.729548	N
