miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	129743	16926.465510	N
hsa-let-7a-2	129508	16895.807059	Y
hsa-let-7a-3	129859	16941.599043	N
hsa-let-7b	99441	12973.221343	N
hsa-let-7c	369427	48195.998042	Y
hsa-let-7d	4775	622.953630	N
hsa-let-7e	47622	6212.837228	N
hsa-let-7f-1	67822	8848.159391	N
hsa-let-7f-2	71697	9353.697677	N
hsa-let-7g	7055	920.405834	N
hsa-let-7i	4747	619.300708	N
hsa-mir-1-1	10	1.304615	N
hsa-mir-1-2	17	2.217845	N
hsa-mir-100	111140	14499.490352	N
hsa-mir-101-1	26560	3465.057259	N
hsa-mir-101-2	27085	3533.549543	N
hsa-mir-103a-1	156746	20449.317210	Y
hsa-mir-103a-2	156704	20443.837827	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	4	0.521846	N
hsa-mir-105-2	7	0.913230	N
hsa-mir-106a	85	11.089227	Y
hsa-mir-106b	4655	607.298251	N
hsa-mir-107	947	123.547034	Y
hsa-mir-10a	642638	83839.513055	N
hsa-mir-10b	523014	68233.187395	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.130461	N
hsa-mir-1180	437	57.011673	N
hsa-mir-1181	1	0.130461	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	20	2.609230	N
hsa-mir-1185-2	4	0.521846	N
hsa-mir-1193	3	0.391384	N
hsa-mir-1197	25	3.261537	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	3	0.391384	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	21	2.739691	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	2	0.260923	N
hsa-mir-1231	1	0.130461	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.130461	N
hsa-mir-124-1	47	6.131690	N
hsa-mir-124-2	28	3.652922	N
hsa-mir-124-3	42	5.479383	N
hsa-mir-1243	6	0.782769	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	85	11.089227	N
hsa-mir-1245b	1	0.130461	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	263	34.311373	N
hsa-mir-1248	23	3.000614	N
hsa-mir-1249	3	0.391384	N
hsa-mir-1250	2	0.260923	N
hsa-mir-1251	1	0.130461	N
hsa-mir-1252	1	0.130461	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	10	1.304615	N
hsa-mir-1254-2	14	1.826461	N
hsa-mir-1255a	1	0.130461	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.391384	N
