miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	173953	14856.447514	N
hsa-let-7a-2	172454	14728.425492	Y
hsa-let-7a-3	172168	14703.999676	N
hsa-let-7b	68265	5830.169009	N
hsa-let-7c	28667	2448.303742	Y
hsa-let-7d	25626	2188.587285	N
hsa-let-7e	13693	1169.450000	N
hsa-let-7f-1	174447	14898.637560	N
hsa-let-7f-2	184127	15725.357490	N
hsa-let-7g	278650	23798.089713	N
hsa-let-7i	80405	6866.985119	N
hsa-mir-1-1	4972	424.633418	N
hsa-mir-1-2	5359	457.685135	N
hsa-mir-100	57392	4901.560972	Y
hsa-mir-101-1	50997	4355.396308	N
hsa-mir-101-2	53295	4551.656886	N
hsa-mir-103a-1	69586	5942.988950	Y
hsa-mir-103a-2	72534	6194.762746	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	530	45.264624	Y
hsa-mir-106b	14759	1260.491678	N
hsa-mir-107	8631	737.130136	Y
hsa-mir-10a	175365	14977.039306	N
hsa-mir-10b	466486	39840.214168	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.597835	N
hsa-mir-1180	669	57.135913	N
hsa-mir-1181	4	0.341620	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	10	0.854050	N
hsa-mir-1185-2	4	0.341620	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	0.427025	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	438	37.407369	N
hsa-mir-1224	2	0.170810	N
hsa-mir-1225	2	0.170810	N
hsa-mir-1226	35	2.989173	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	42	3.587008	N
hsa-mir-1229	17	1.451884	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	24	2.049719	N
hsa-mir-124-2	32	2.732958	N
hsa-mir-124-3	18	1.537289	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	0.512430	N
hsa-mir-1245b	4	0.341620	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	100	8.540495	N
hsa-mir-1248	28	2.391339	N
hsa-mir-1249	238	20.326378	N
hsa-mir-1250	13	1.110264	N
hsa-mir-1251	6	0.512430	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.170810	N
hsa-mir-1254-2	1	0.085405	N
hsa-mir-1255a	12	1.024859	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	212510	18149.406226	N
hsa-mir-125b-1	73978	6318.087496	N
hsa-mir-125b-2	75299	6430.907437	N
hsa-mir-126	109971	9392.067913	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	22	1.878909	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	19	1.622694	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.256215	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	47	4.014033	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1565	133.658749	N
hsa-mir-1270	240	20.497188	N
hsa-mir-1271	2103	179.606613	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.085405	N
hsa-mir-1276	6	0.512430	N
hsa-mir-1277	8	0.683240	N
hsa-mir-1278	20	1.708099	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4429	378.258530	N
hsa-mir-128-2	2919	249.297053	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	13	1.110264	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	45	3.843223	N
hsa-mir-1288	2	0.170810	N
hsa-mir-1289-1	4	0.341620	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	42	3.587008	N
hsa-mir-129-2	31	2.647553	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	29	2.476744	N
hsa-mir-1292	32	2.732958	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	11	0.939454	N
hsa-mir-1295a	42	3.587008	N
hsa-mir-1295b	2	0.170810	N
hsa-mir-1296	468	39.969517	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	6	0.512430	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	931	79.512010	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	3	0.256215	N
hsa-mir-1304	19	1.622694	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	120	10.248594	N
hsa-mir-1307	1708	145.871657	N
hsa-mir-130a	603	51.499186	N
hsa-mir-130b	885	75.583382	N
hsa-mir-132	2009	171.578547	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	3	0.256215	N
hsa-mir-1323	1	0.085405	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	657	56.111053	Y
hsa-mir-133a-2	736	62.858044	Y
hsa-mir-133b	4	0.341620	Y
hsa-mir-134	85	7.259421	N
hsa-mir-1343	11	0.939454	N
hsa-mir-135a-1	3650	311.728073	N
hsa-mir-135a-2	4106	350.672731	N
hsa-mir-135b	1760	150.312714	N
hsa-mir-136	245	20.924213	N
hsa-mir-137	7	0.597835	N
hsa-mir-138-1	104	8.882115	N
hsa-mir-138-2	50	4.270248	N
hsa-mir-139	3682	314.461031	N
hsa-mir-140	67938	5802.241590	N
hsa-mir-141	117	9.992379	N
hsa-mir-142	15353	1311.222219	N
hsa-mir-143	679020	57991.670113	N
hsa-mir-144	9322	796.144957	N
hsa-mir-145	57922	4946.825596	N
hsa-mir-1468	112	9.565355	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	10478	894.873081	N
hsa-mir-146b	81727	6979.890465	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	4	0.341620	N
hsa-mir-148a	27846	2378.186277	N
hsa-mir-148b	9808	837.651764	N
hsa-mir-149	578	49.364062	N
hsa-mir-150	15635	1335.306415	N
hsa-mir-151a	24869	2123.935737	N
hsa-mir-151b	102	8.711305	N
hsa-mir-152	7781	664.535927	N
hsa-mir-153-1	1	0.085405	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	1	0.085405	N
hsa-mir-1538	1	0.085405	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	113	9.650760	N
hsa-mir-155	35416	3024.701760	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2180	186.182794	N
hsa-mir-15b	22392	1912.387672	N
hsa-mir-16-1	36718	3135.899006	N
hsa-mir-16-2	39642	3385.623084	N
hsa-mir-17	2592	221.369634	Y
hsa-mir-181a-1	17453	1490.572617	N
hsa-mir-181a-2	18508	1580.674841	N
hsa-mir-181b-1	3608	308.141065	N
hsa-mir-181b-2	4378	373.902877	N
hsa-mir-181c	394	33.649551	N
hsa-mir-181d	255	21.778263	N
hsa-mir-182	13808	1179.271569	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	4	0.341620	N
hsa-mir-183	10933	933.732334	N
hsa-mir-184	62	5.295107	N
hsa-mir-185	6198	529.339889	N
hsa-mir-186	16853	1439.329646	N
hsa-mir-187	31	2.647553	N
hsa-mir-188	33	2.818363	N
hsa-mir-18a	291	24.852841	N
hsa-mir-18b	22	1.878909	N
hsa-mir-1908	16	1.366479	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	921	78.657960	N
hsa-mir-190b	15	1.281074	N
hsa-mir-191	68850	5880.130905	N
hsa-mir-1910	9	0.768645	N
hsa-mir-1911	1	0.085405	N
hsa-mir-1912	1	0.085405	N
hsa-mir-1913	2	0.170810	N
hsa-mir-1914	1	0.085405	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	35819	3059.119955	Y
hsa-mir-193a	2055	175.507175	N
hsa-mir-193b	505	43.129500	N
hsa-mir-194-1	7987	682.129347	N
hsa-mir-194-2	24295	2074.913295	N
hsa-mir-195	11662	995.992543	N
hsa-mir-196a-1	2678	228.714460	N
hsa-mir-196a-2	5347	456.660275	N
hsa-mir-196b	3051	260.570507	N
hsa-mir-197	3091	263.986705	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	47	4.014033	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	35332	3017.527744	Y
hsa-mir-199a-2	60795	5192.194022	Y
hsa-mir-199b	79995	6831.969089	Y
hsa-mir-19a	632	53.975929	N
hsa-mir-19b-1	2111	180.289852	N
hsa-mir-19b-2	2288	195.406529	N
hsa-mir-200a	14567	1244.093927	N
hsa-mir-200b	68117	5817.529076	N
hsa-mir-200c	7406	632.509070	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	1304	111.368057	N
hsa-mir-203b	23	1.964314	N
hsa-mir-204	21936	1873.443014	N
hsa-mir-205	56	4.782677	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	16	1.366479	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	8700	743.023077	N
hsa-mir-20b	425	36.297104	N
hsa-mir-21	3331483	284525.143773	N
hsa-mir-210	1872	159.878069	N
hsa-mir-211	33	2.818363	N
hsa-mir-2110	222	18.959899	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	3	0.256215	N
hsa-mir-2116	46	3.928628	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	203	17.337205	N
hsa-mir-214	4292	366.558051	N
hsa-mir-215	82	7.003206	Y
hsa-mir-216a	54	4.611867	N
hsa-mir-216b	56	4.782677	N
hsa-mir-217	132	11.273454	N
hsa-mir-218-1	1552	132.548485	N
hsa-mir-218-2	1443	123.239345	N
hsa-mir-219a-1	6	0.512430	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	0	0.000000	N
hsa-mir-22	17453	1490.572617	N
hsa-mir-221	22970	1961.751734	N
hsa-mir-222	15316	1308.062236	N
hsa-mir-223	7235	617.904824	N
hsa-mir-224	5536	472.801811	N
hsa-mir-2276	3	0.256215	N
hsa-mir-2277	22	1.878909	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	373	31.856047	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	204576	17471.803342	Y
hsa-mir-23b	88829	7586.436430	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	24712	2110.527160	N
hsa-mir-24-2	25586	2185.171087	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	26900	2297.393193	N
hsa-mir-2681	9	0.768645	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	392250	33500.092195	N
hsa-mir-26a-2	398449	34029.517489	N
hsa-mir-26b	176990	15115.822352	N
hsa-mir-27a	36732	3137.094676	Y
hsa-mir-27b	189179	16156.823305	Y
hsa-mir-28	16101	1375.105123	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	86	7.344826	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	37	3.159983	N
hsa-mir-29a	78824	6731.959891	N
hsa-mir-29b-1	1493	127.509592	Y
hsa-mir-29b-2	1955	166.966680	Y
hsa-mir-29c	4885	417.203188	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	101	8.625900	N
hsa-mir-301b	5	0.427025	N
hsa-mir-302a	4	0.341620	N
hsa-mir-302b	2	0.170810	N
hsa-mir-302c	5	0.427025	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	34	2.903768	N
hsa-mir-3065	219	18.703684	N
hsa-mir-3074	13	1.110264	N
hsa-mir-30a	673031	57480.179859	Y
hsa-mir-30b	26994	2305.421259	Y
hsa-mir-30c-1	81295	6942.995526	Y
hsa-mir-30c-2	84611	7226.198345	Y
hsa-mir-30d	246785	21076.660936	N
hsa-mir-30e	30295	2587.343003	Y
hsa-mir-31	785	67.042887	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	13	1.110264	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	7	0.597835	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	4	0.341620	N
hsa-mir-3127	3	0.256215	N
hsa-mir-3128	8	0.683240	N
hsa-mir-3129	12	1.024859	N
hsa-mir-3130-1	1	0.085405	N
hsa-mir-3130-2	1	0.085405	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	2	0.170810	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	9	0.768645	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	16	1.366479	N
hsa-mir-3144	7	0.597835	N
hsa-mir-3145	7	0.597835	N
hsa-mir-3146	1	0.085405	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	2	0.170810	N
hsa-mir-3150a	3	0.256215	N
hsa-mir-3150b	5	0.427025	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	3	0.256215	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	1	0.085405	N
hsa-mir-3155a	2	0.170810	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	2	0.170810	N
hsa-mir-3158-1	8	0.683240	N
hsa-mir-3158-2	4	0.341620	N
hsa-mir-3159	1	0.085405	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	0	0.000000	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	0	0.000000	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	4	0.341620	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	11	0.939454	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	26	2.220529	N
hsa-mir-3174	10	0.854050	N
hsa-mir-3175	0	0.000000	N
hsa-mir-3176	3	0.256215	N
hsa-mir-3177	14	1.195669	N
hsa-mir-3178	1	0.085405	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3179-4	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N
hsa-mir-3180-4	0	0.000000	N
hsa-mir-3180-5	0	0.000000	N
hsa-mir-3181	0	0.000000	N
hsa-mir-3182	0	0.000000	N
hsa-mir-3183	0	0.000000	N
hsa-mir-3184	0	0.000000	N
hsa-mir-3185	0	0.000000	N
hsa-mir-3186	0	0.000000	N
hsa-mir-3187	4	0.341620	N
hsa-mir-3188	1	0.085405	N
hsa-mir-3189	0	0.000000	N
hsa-mir-3190	0	0.000000	N
hsa-mir-3191	0	0.000000	N
hsa-mir-3192	0	0.000000	N
hsa-mir-3193	4	0.341620	N
hsa-mir-3194	6	0.512430	N
hsa-mir-3195	0	0.000000	N
hsa-mir-3196	0	0.000000	N
hsa-mir-3197	0	0.000000	N
hsa-mir-3198-1	0	0.000000	N
hsa-mir-3198-2	0	0.000000	N
hsa-mir-3199-1	17	1.451884	N
hsa-mir-3199-2	20	1.708099	N
hsa-mir-32	547	46.716508	N
hsa-mir-3200	29	2.476744	N
hsa-mir-3201	0	0.000000	N
hsa-mir-3202-1	2	0.170810	N
hsa-mir-3202-2	4	0.341620	N
hsa-mir-320a	20793	1775.825155	Y
hsa-mir-320b-1	158	13.493982	Y
hsa-mir-320b-2	230	19.643139	Y
hsa-mir-320c-1	7	0.597835	N
hsa-mir-320c-2	16	1.366479	N
