miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	164837	22690.409714	N
hsa-let-7a-2	156106	21488.555960	Y
hsa-let-7a-3	157687	21706.186333	N
hsa-let-7b	41775	5750.479964	N
hsa-let-7c	24089	3315.938045	Y
hsa-let-7d	30122	4146.402333	N
hsa-let-7e	13814	1901.547103	N
hsa-let-7f-1	172513	23747.038899	N
hsa-let-7f-2	185433	25525.523665	N
hsa-let-7g	139467	19198.137381	N
hsa-let-7i	49026	6748.606360	N
hsa-mir-1-1	254	34.964019	N
hsa-mir-1-2	263	36.202902	N
hsa-mir-100	51397	7074.983093	Y
hsa-mir-101-1	40618	5591.214726	N
hsa-mir-101-2	42966	5914.425425	N
hsa-mir-103a-1	71956	9905.003860	Y
hsa-mir-103a-2	75031	10328.288741	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.137654	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	446	61.393514	Y
hsa-mir-106b	14776	2033.969885	N
hsa-mir-107	12007	1652.807012	Y
hsa-mir-10a	35488	4885.051657	N
hsa-mir-10b	260355	35838.808162	N
hsa-mir-1178	1	0.137654	N
hsa-mir-1179	2	0.275307	N
hsa-mir-1180	738	101.588371	N
hsa-mir-1181	1	0.137654	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.137654	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.412961	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2442	336.150139	N
hsa-mir-1224	1	0.137654	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	39	5.368491	N
hsa-mir-1227	1	0.137654	N
hsa-mir-1228	40	5.506145	N
hsa-mir-1229	15	2.064804	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.550614	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.275307	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	66	9.085139	N
hsa-mir-124-2	66	9.085139	N
hsa-mir-124-3	82	11.287597	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.137654	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	46	6.332067	N
hsa-mir-1248	9	1.238883	N
hsa-mir-1249	154	21.198657	N
hsa-mir-1250	5	0.688268	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	11	1.514190	N
hsa-mir-1254-2	15	2.064804	N
hsa-mir-1255a	16	2.202458	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.137654	N
hsa-mir-1257	1	0.137654	N
hsa-mir-1258	4	0.550614	N
hsa-mir-125a	136293	18761.224792	N
