miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	238249	22517.832166	N
hsa-let-7a-2	232489	21973.432344	Y
hsa-let-7a-3	231581	21887.613760	N
hsa-let-7b	71152	6724.850028	N
hsa-let-7c	29103	2750.636811	Y
hsa-let-7d	58076	5488.986820	N
hsa-let-7e	25284	2389.688387	N
hsa-let-7f-1	272858	25788.862279	N
hsa-let-7f-2	297858	28151.708730	N
hsa-let-7g	256640	24256.036529	N
hsa-let-7i	75311	7117.933163	N
hsa-mir-1-1	590	55.763176	N
hsa-mir-1-2	632	59.732758	N
hsa-mir-100	84679	8003.338986	Y
hsa-mir-101-1	84060	7944.834907	N
hsa-mir-101-2	89519	8460.786059	N
hsa-mir-103a-1	118933	11240.816679	Y
hsa-mir-103a-2	123384	11661.497861	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	437	41.302556	Y
hsa-mir-106b	27040	2555.654722	N
hsa-mir-107	16086	1520.349921	Y
hsa-mir-10a	141255	13350.555018	N
hsa-mir-10b	283913	26833.712980	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.378055	N
hsa-mir-1180	1028	97.160246	N
hsa-mir-1181	1	0.094514	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	2	0.189028	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.094514	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1590	150.277034	N
hsa-mir-1224	2	0.189028	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	60	5.670831	N
hsa-mir-1227	1	0.094514	N
hsa-mir-1228	37	3.497013	N
hsa-mir-1229	26	2.457360	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	12	1.134166	N
hsa-mir-124-2	6	0.567083	N
hsa-mir-124-3	23	2.173819	N
hsa-mir-1243	7	0.661597	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.094514	N
hsa-mir-1245b	1	0.094514	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	7	0.661597	N
hsa-mir-1248	21	1.984791	N
hsa-mir-1249	283	26.747422	N
hsa-mir-1250	27	2.551874	N
hsa-mir-1251	3	0.283542	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	11	1.039652	N
hsa-mir-1254-2	19	1.795763	N
hsa-mir-1255a	25	2.362846	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.189028	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	185010	17486.008877	N
hsa-mir-125b-1	80391	7598.063562	N
hsa-mir-125b-2	80101	7570.654543	N
hsa-mir-126	117607	11115.491303	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	16	1.512222	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	26	2.457360	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	4	0.378055	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.094514	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	105	9.923955	N
hsa-mir-1270	1220	115.306907	N
hsa-mir-1271	1847	174.567096	N
hsa-mir-1272	3	0.283542	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	4	0.378055	N
hsa-mir-1275	9	0.850625	N
hsa-mir-1276	2	0.189028	N
hsa-mir-1277	6	0.567083	N
hsa-mir-1278	35	3.307985	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4739	447.901173	N
hsa-mir-128-2	3038	287.133101	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	28	2.646388	N
hsa-mir-1285-1	1	0.094514	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	58	5.481804	N
hsa-mir-1288	1	0.094514	N
hsa-mir-1289-1	3	0.283542	N
hsa-mir-1289-2	2	0.189028	N
hsa-mir-129-1	2	0.189028	N
hsa-mir-129-2	12	1.134166	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	34	3.213471	N
hsa-mir-1292	58	5.481804	N
hsa-mir-1293	7	0.661597	N
hsa-mir-1294	2	0.189028	N
hsa-mir-1295a	189	17.863119	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	181	17.107008	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	2	0.189028	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1535	145.078772	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	11	1.039652	N
hsa-mir-1304	31	2.929930	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	175	16.539925	N
hsa-mir-1307	2216	209.442709	N
hsa-mir-130a	1774	167.667584	N
hsa-mir-130b	1164	110.014131	N
hsa-mir-132	2458	232.315063	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.094514	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	83	7.844650	N
hsa-mir-133a-2	74	6.994025	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	4	0.378055	N
hsa-mir-1343	29	2.740902	N
hsa-mir-135a-1	411	38.845196	N
hsa-mir-135a-2	881	83.266709	N
hsa-mir-135b	604	57.086370	N
hsa-mir-136	27	2.551874	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	17	1.606736	N
hsa-mir-138-2	11	1.039652	N
hsa-mir-139	2427	229.385133	N
hsa-mir-140	46660	4410.016616	N
hsa-mir-141	19	1.795763	N
hsa-mir-142	4226	399.415564	N
hsa-mir-143	298749	28235.920578	N
hsa-mir-144	925	87.425319	N
hsa-mir-145	40459	3823.936183	N
hsa-mir-1468	181	17.107008	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	6553	619.349312	N
