miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	258207	17381.915570	N
hsa-let-7a-2	253591	17071.176813	Y
hsa-let-7a-3	257327	17322.675945	N
hsa-let-7b	22155	1491.424862	N
hsa-let-7c	41083	2765.615329	Y
hsa-let-7d	36187	2436.027601	N
hsa-let-7e	113257	7624.206980	N
hsa-let-7f-1	95186	6407.707829	N
hsa-let-7f-2	101606	6839.887816	N
hsa-let-7g	202630	13640.596699	N
hsa-let-7i	84206	5668.558879	N
hsa-mir-1-1	5464	367.824213	N
hsa-mir-1-2	5694	383.307297	N
hsa-mir-100	45172	3040.877630	Y
hsa-mir-101-1	43608	2935.592661	N
hsa-mir-101-2	45749	3079.719974	N
hsa-mir-103a-1	149598	10070.601515	Y
hsa-mir-103a-2	151598	10205.237025	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	7	0.471224	N
hsa-mir-105-2	6	0.403907	N
hsa-mir-106a	2206	148.502968	Y
hsa-mir-106b	67537	4546.439221	N
hsa-mir-107	14617	983.983625	Y
hsa-mir-10a	1230358	82824.938428	N
hsa-mir-10b	2986869	201069.315611	N
hsa-mir-1178	1	0.067318	N
hsa-mir-1179	6	0.403907	N
hsa-mir-1180	4573	307.844094	N
hsa-mir-1181	2	0.134636	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	81	5.452738	N
hsa-mir-1185-2	33	2.221486	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	48	3.231252	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	101	6.799093	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.134636	N
hsa-mir-1226	224	15.079177	N
hsa-mir-1227	2	0.134636	N
hsa-mir-1228	58	3.904430	N
hsa-mir-1229	11	0.740495	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.201953	N
hsa-mir-1236	2	0.134636	N
hsa-mir-1237	2	0.134636	N
hsa-mir-1238	2	0.134636	N
hsa-mir-124-1	1	0.067318	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	1	0.067318	N
hsa-mir-1243	1	0.067318	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	29	1.952215	N
hsa-mir-1245b	2	0.134636	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	363	24.436345	N
hsa-mir-1248	24	1.615626	N
hsa-mir-1249	168	11.309383	N
hsa-mir-1250	194	13.059644	N
hsa-mir-1251	11	0.740495	N
hsa-mir-1252	17	1.144402	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	17	1.144402	N
hsa-mir-1254-2	19	1.279037	N
hsa-mir-1255a	10	0.673178	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	15	1.009766	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.134636	N
hsa-mir-125a	550498	37058.289502	N
hsa-mir-125b-1	185649	12497.473901	N
hsa-mir-125b-2	181207	12198.448433	N
hsa-mir-126	54504	3669.086919	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	39	2.625392	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	13	0.875131	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	12	0.807813	N
hsa-mir-1267	1	0.067318	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	4721	317.807121	N
hsa-mir-1269b	28	1.884897	N
hsa-mir-127	5417	364.660279	N
hsa-mir-1270	191	12.857691	N
hsa-mir-1271	1451	97.678063	N
hsa-mir-1272	4	0.269271	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.067318	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	3	0.201953	N
hsa-mir-1275	6	0.403907	N
hsa-mir-1276	90	6.058598	N
hsa-mir-1277	9	0.605860	N
hsa-mir-1278	25	1.682944	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	37872	2549.458018	N
hsa-mir-128-2	21831	1469.613910	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	60	4.039065	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	5	0.336589	N
hsa-mir-1287	268	18.041158	N
hsa-mir-1288	4	0.269271	N
hsa-mir-1289-1	9	0.605860	N
hsa-mir-1289-2	1	0.067318	N
hsa-mir-129-1	22	1.480991	N
hsa-mir-129-2	35	2.356121	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	20	1.346355	N
hsa-mir-1292	130	8.751308	N
hsa-mir-1293	3	0.201953	N
hsa-mir-1294	21	1.413673	N
hsa-mir-1295a	25	1.682944	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	2472	166.409490	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	14	0.942449	N
hsa-mir-1299	1	0.067318	N
hsa-mir-1301	3035	204.309386	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	1	0.067318	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	7	0.471224	N
hsa-mir-1304	30	2.019533	N
hsa-mir-1305	21	1.413673	N
hsa-mir-1306	1503	101.178586	N
hsa-mir-1307	3603	242.545871	N
hsa-mir-130a	7099	477.888743	N
hsa-mir-130b	35247	2372.748911	N
hsa-mir-132	11763	791.858752	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	3	0.201953	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	1283	86.368680	Y
hsa-mir-133a-2	1158	77.953960	Y
hsa-mir-133b	394	26.523195	Y
hsa-mir-134	488	32.851064	N
hsa-mir-1343	95	6.395187	N
hsa-mir-135a-1	3102	208.819676	N
hsa-mir-135a-2	3080	207.338685	N
hsa-mir-135b	10697	720.098025	N
hsa-mir-136	724	48.738055	N
hsa-mir-137	20	1.346355	N
hsa-mir-138-1	141	9.491803	N
hsa-mir-138-2	48	3.231252	N
hsa-mir-139	779	52.440531	N
hsa-mir-140	13982	941.236851	N
hsa-mir-141	37	2.490757	N
hsa-mir-142	546	36.755494	N
hsa-mir-143	301038	20265.202335	N
