miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	421263	28718.020105	N
hsa-let-7a-2	415551	28328.625996	Y
hsa-let-7a-3	415547	28328.353311	N
hsa-let-7b	110558	7536.875697	N
hsa-let-7c	135865	9262.085210	Y
hsa-let-7d	52905	3606.599330	N
hsa-let-7e	21813	1487.019208	N
hsa-let-7f-1	306804	20915.208410	N
hsa-let-7f-2	332736	22683.024946	N
hsa-let-7g	351208	23942.284049	N
hsa-let-7i	90656	6180.131725	N
hsa-mir-1-1	123811	8440.349110	N
hsa-mir-1-2	124959	8518.609691	N
hsa-mir-100	277507	18917.995659	Y
hsa-mir-101-1	65979	4497.870092	N
hsa-mir-101-2	73247	4993.338648	N
hsa-mir-103a-1	70347	4795.642058	Y
hsa-mir-103a-2	72506	4942.823760	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1007	68.648436	Y
hsa-mir-106b	14531	990.596255	N
hsa-mir-107	6965	474.812671	Y
hsa-mir-10a	97714	6661.284320	N
hsa-mir-10b	1133321	77259.895277	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	18	1.227082	N
hsa-mir-1180	615	41.925311	N
hsa-mir-1181	2	0.136342	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	134	9.134946	N
hsa-mir-1185-2	59	4.022103	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	109	7.430665	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	10	0.681712	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	11	0.749884	N
hsa-mir-1226	45	3.067706	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	18	1.227082	N
hsa-mir-1229	2	0.136342	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.068171	N
hsa-mir-1236	1	0.068171	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.068171	N
hsa-mir-124-3	1	0.068171	N
hsa-mir-1243	2	0.136342	N
hsa-mir-1244-1	1	0.068171	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	24	1.636110	N
hsa-mir-1245b	4	0.272685	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	177	12.066309	N
hsa-mir-1248	161	10.975569	N
hsa-mir-1249	98	6.680781	N
hsa-mir-1250	10	0.681712	N
hsa-mir-1251	9	0.613541	N
hsa-mir-1252	7	0.477199	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.272685	N
hsa-mir-1254-2	3	0.204514	N
hsa-mir-1255a	22	1.499767	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.136342	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	391884	26715.217313	N
hsa-mir-125b-1	319798	21801.025473	N
hsa-mir-125b-2	317196	21623.643912	N
hsa-mir-126	67509	4602.172086	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	9	0.613541	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	48	3.272219	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	1	0.068171	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	512	34.903674	N
hsa-mir-1269b	1717	117.050015	N
hsa-mir-127	23629	1610.818176	N
hsa-mir-1270	248	16.906467	N
hsa-mir-1271	1973	134.501852	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.204514	N
hsa-mir-1276	12	0.818055	N
hsa-mir-1277	10	0.681712	N
hsa-mir-1278	26	1.772452	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	40864	2785.749457	N
hsa-mir-128-2	27765	1892.774415	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	25	1.704281	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.068171	N
hsa-mir-1287	95	6.476268	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	2	0.136342	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	18	1.227082	N
hsa-mir-129-2	25	1.704281	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	36	2.454165	N
hsa-mir-1292	14	0.954397	N
hsa-mir-1293	1	0.068171	N
hsa-mir-1294	5	0.340856	N
hsa-mir-1295a	118	8.044206	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	1127	76.828985	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	19	1.295254	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	574	39.130290	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	9	0.613541	N
hsa-mir-1304	18	1.227082	N
hsa-mir-1305	6	0.409027	N
hsa-mir-1306	234	15.952070	N
hsa-mir-1307	683	46.560955	N
hsa-mir-130a	2889	196.946706	N
hsa-mir-130b	1863	127.003016	N
hsa-mir-132	5884	401.119563	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	1	0.068171	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	19435	1324.908005	Y
hsa-mir-133a-2	18519	1262.463151	Y
hsa-mir-133b	4504	307.043255	Y
hsa-mir-134	590	40.221030	N
